state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
IL,Decatur Herald and Review,111300,1960,IL,bond,,"Universities Bond Issue for Permanent Improvements at State-Owned Educational Institutions ($195,000,000)",1,Editorial recommends voting YES; voters urged to mark bond issue ballots first,0.97
IL,Decatur Herald and Review,111300,1960,IL,bond,,"Mental Health and Other State-Owned Public Welfare Institutions Bond Issue for Permanent Improvements ($150,000,000)",1,Editorial recommends voting YES on both bond issues,0.97
IL,Decatur Herald and Review,111300,1962,IL,tax,,Macon County Tuberculosis Sanatorium tax levy extension (not to exceed 0.075%),1,Vote YES on the special yellow ballot to continue the TB San tax,0.98
IL,Decatur Herald and Review,111300,1962,IL,tax,,Establish Macon County Health Department with additional annual tax not to exceed 0.05%,1,Editorial recommends YES on Macon County Health Department referendum (green ballot),0.98
IL,Decatur Herald and Review,111300,1962,IL,amendment,,Judicial Amendment to Article VI of Illinois Constitution (Blue Ballot),1,Editorial 'For the Judicial Amendment'; will simplify and modernize state court system,0.97
IL,Decatur Herald and Review,111300,1962,IL,amendment,,"Illinois Banking Act amendment (sections 5, 13, 18, 34, 48, 51) effective Jan. 1, 1963",1,Editorial 'For Bank Act Amendment' supports passage,0.92
IL,Decatur Herald and Review,111300,1966,IL,amendment,,County Officers Succession Amendment - allow sheriffs and treasurers to succeed themselves (Blue Ballot),1,Editorial 'County Officers Amendment Merits Support' recommends YES vote,0.97
IL,Decatur Herald and Review,111300,1966,IL,amendment,,Illinois Banking Act amendments (Pink Ballot) - drive-up facilities and bank/trust commission,1,Editorial 'Banking Act Amendment Deserves Passage' endorses YES,0.97
IL,Decatur Herald and Review,111300,1966,IL,tax,,Moultrie County mental health tax referendum (annual tax not to exceed 0.1%),1,Editorial 'Moultrie Should Say Yes' recommends YES vote on mental health referendum,0.97
IL,Decatur Herald and Review,111300,1970,IL,BOND,,Anti-pollution Bond Issue,1,Yes vote endorsed,0.95
IL,Decatur Herald and Review,111300,1970,IL,AMENDMENT,,Constitutional amendment to abolish personal property taxes,0,Editorial urges voters to reject the amendment; encourages waiting until new constitution vote Dec. 15,0.93
IL,Decatur Herald and Review,111300,1970,IL,BOND,,$750 million anti-pollution bond issue,1,Editorial warns local taxpayers will suffer if not approved; would attract federal aid,0.94
IL,Decatur Herald and Review,111300,1974,IL,AMENDMENT,,Amendment to alter the veto power of the governor,0,Urged 'no' vote to retain authority vested in governor by 1970 Constitution,0.94
IL,Decatur Herald and Review,111300,1980,IL,amendment,,Reduce Illinois House size by one-third and end cumulative voting (Cutback Amendment),1,'Approve plan to cut House size' editorial - yes vote recommended,0.97
IL,Decatur Herald and Review,111300,1980,IL,amendment,,"Allow General Assembly to reduce scavenger sale property transfer deadline from two years to 90 days (commercial/industrial property only; homes, residences, farms exempt)",1,'Tax delinquency plan seems reasonable' editorial - yes recommended,0.95
IL,Decatur Herald and Review,111300,1982,IL,amendment,,Constitutional amendment to deny bond in cases where life sentences are likely,0,'should be rejected by voters. State judges already have sufficient power to deny bond and need to retain discretionary authority',0.97
IL,Decatur Herald and Review,111300,1984,IL,tax,,Macon County tax not to exceed .03% of equalized valuation of all taxable property for police protection by Sheriff's Department,1,Referendum endorsed: Yes,0.97
IL,Decatur Herald and Review,111300,1986,IL,constitutional amendment,,Two constitutional questions on the November 1986 ballot,0,Editorial recommends 'Vote no on both constitutional questions',0.95
IL,Decatur Herald and Review,111300,1988,IL,constitutional convention,,Calling of an Illinois state constitutional convention (Con-Con),1,Editorial 'Con-Con campaign annoys'; 'The Herald & Review has endorsed a yes vote'; risks overblown,0.95
IL,Decatur Herald and Review,111300,1988,IL,constitutional convention,,Calling of a state Constitutional Convention,1,Final recap: 'Yes' endorsed,0.95
IL,Decatur Herald and Review,111300,1990,IL,constitutional amendment,,Delinquent property constitutional amendment (shortens redemption period for tax-delinquent investment properties of 7+ unit apartments and commercial/industrial properties to six months),1,Editorial 'Vote yes' on the delinquent property amendment,0.97
IL,Decatur Herald and Review,111300,1990,IL,constitutional amendment,,Constitutional Amendment on Delinquent Property,1,Final recap: 'Yes',0.97
IL,Decatur Herald and Review,111300,1992,IL,constitutional amendment,,Education funding constitutional amendment (changing 'primary' to 'preponderant' state responsibility for education funding),0,"Editorial 'Edgar's right on amendment' supports Gov. Edgar's absentee no vote against the proposed education funding amendment; H&R critical of amendment, citing necessary tax increases and judicial-defined 'quality education'",0.85
IL,Decatur Herald and Review,111300,1992,IL,constitutional amendment,,Education funding proposal,0,Final recap: 'Education funding proposal — No',0.97
IL,Decatur Herald and Review,111300,1992,IL,advisory referendum,,Advisory referendum on Local Mandates,1,Final recap: 'Advisory referendum on Local Mandates — Yes',0.95
IL,Decatur Herald and Review,111300,1994,IL,PARK DISTRICT,,"Establish Niantic-Harristown Park District (covering Pritchett Park, Harristown park, possibly Lincoln Trail Homestead State Park)",1,Endorsed as sign of civic progress; would not just save Niantic Swim Club but plan for parks/recreation in western Macon County.,0.95
IL,Decatur Herald and Review,111300,1996,IL,EMERGENCY SERVICES,,Macon County E-911 enhanced 911 system (initial cost $1.25/month per phone line),1,Endorsed; system flashes caller's address on monitor for faster emergency response.,0.95
IL,Decatur Herald and Review,111300,1996,IL,SCHOOL BOND,,Maroa-Forsyth School District $10.3 million for new high school,1,Endorsed as part of general support for school referenda 'unless there are overwhelming reasons to vote no'.,0.85
IL,Decatur Herald and Review,111300,1996,IL,SCHOOL BOND,,"Effingham $14.8 million for new high school for 1,200 students",1,Endorsed as part of general support for school referenda.,0.85
IL,Decatur Herald and Review,111300,1996,IL,SCHOOL BOND,,Pana $6 million for new junior high school addition,1,Endorsed as part of general support for school referenda.,0.85
IL,Decatur Herald and Review,111300,1996,IL,SCHOOL BOND,,Shelbyville $5.1 million for new K-5 building,1,Endorsed as part of general support for school referenda.,0.85
IL,Decatur Herald and Review,111300,1996,IL,SCHOOL BOND,,Cumberland County $1.8 million for six classrooms and a gym at elementary school,1,Endorsed as part of general support for school referenda.,0.85
