state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IN,Evansville Courier and Press,113150,1982,ASSESSOR,,VANDERBURGH COUNTY,IN,"HANSEN, KEN",Republican,1,,,,,
IN,Evansville Courier and Press,113150,1982,AUDITOR,,VANDERBURGH COUNTY,IN,"MCBRIDE, ALICE",Democrat,1,,,,,
IN,Evansville Courier and Press,113150,1982,CITY COUNCIL,1,VANDERBURGH COUNTY,IN,"BUCK, HAROLD",Republican,1,,,,VANDERBURGH COUNTY COUNCIL FIRST DISTRICT,
IN,Evansville Courier and Press,113150,1982,CITY COUNCIL,2,VANDERBURGH COUNTY,IN,"FORD, CLIFFORD H. JR.",Democrat,1,,,,VANDERBURGH COUNTY COUNCIL SECOND DISTRICT,
IN,Evansville Courier and Press,113150,1982,CITY COUNCIL,4,VANDERBURGH COUNTY,IN,"SCHUETZ, FRANK",Republican,1,,,,VANDERBURGH COUNTY COUNCIL FOURTH DISTRICT,
IN,Evansville Courier and Press,113150,1982,CITY COUNCIL,3,VANDERBURGH COUNTY,IN,"TAYLOR, HAROLD",Republican,1,,,,VANDERBURGH COUNTY COUNCIL THIRD DISTRICT,
IN,Evansville Courier and Press,113150,1982,CNTY COMM,2,VANDERBURGH COUNTY,IN,"WILLNER, ROBERT",Democrat,1,,,,,
IN,Evansville Courier and Press,113150,1982,DA/PROSECUTOR,,VANDERBURGH COUNTY,IN,"PIGMAN, ROBERT",Republican,1,,,,,
IN,Evansville Courier and Press,113150,1982,H,8,,IN,"DECKARD, JOEL",Republican,1,,1,,,
IN,Evansville Courier and Press,113150,1982,JUDGE,,VANDERBURGH COUNTY,IN,"LENSING, ROBERT",,1,,,,SUPERIOR COURT JUDGES,
IN,Evansville Courier and Press,113150,1982,JUDGE,,VANDERBURGH COUNTY,IN,"O'CONNOR, MAURICE",,1,,,,SUPERIOR COURT JUDGES,
IN,Evansville Courier and Press,113150,1982,JUDGE,,VANDERBURGH COUNTY,IN,"SHEPARD, RANDALL",,1,,,,SUPERIOR COURT JUDGES,
IN,Evansville Courier and Press,113150,1982,SCHOOL BOARD,,VANDERBURGH COUNTY,IN,"AARSTAD, ARTHUR",,1,,,,EVANSVILLE-VANDERBURGH SCHOOL BOARD,
IN,Evansville Courier and Press,113150,1982,SCHOOL BOARD,,VANDERBURGH COUNTY,IN,"AMERSON, ELAINE",,1,,,,EVANSVILLE-VANDERBURGH SCHOOL BOARD,
IN,Evansville Courier and Press,113150,1982,SCHOOL BOARD,,VANDERBURGH COUNTY,IN,"FREEMAN, LONIE",,1,,,,EVANSVILLE-VANDERBURGH SCHOOL BOARD,
IN,Evansville Courier and Press,113150,1982,SCHOOL BOARD,,VANDERBURGH COUNTY,IN,"LYLES, CARL",,1,,,,EVANSVILLE-VANDERBURGH SCHOOL BOARD,
IN,Evansville Courier and Press,113150,1982,SENATOR,,,IN,"LUGAR, RICHARD",Republican,1,,1,,,
IN,Evansville Courier and Press,113150,1982,SHERIFF,,VANDERBURGH COUNTY,IN,"SHEPARD, CLARENCE",Democrat,1,,,,,
IN,Evansville Courier and Press,113150,1982,STATE REP,75,,IN,"AVERY, DENNIS",Democrat,1,,,,,
IN,Evansville Courier and Press,113150,1982,STATE REP,75,,IN,"BECKER, VANETA",Republican,1,,,,,
