state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
IN,Evansville Courier and Press,113150,1988,IN,AMENDMENT,,EVANSVILLE-VANDERBURGH SCHOOL CORP. AMENDMENT,1,YES,0.85
IN,Evansville Courier and Press,113150,1988,IN,PROPOSITION,1,PROPOSITION 1,1,YES,0.85
IN,Evansville Courier and Press,113150,1988,IN,PROPOSITION,2,PROPOSITION 2,1,YES,0.85
IN,Evansville Courier and Press,113150,1988,IN,PROPOSITION,3,PROPOSITION 3,0,NO,0.85
IN,Evansville Courier and Press,113150,1996,IN,PROPOSITION,1,PUBLIC QUESTION NO. 1 ON VICTIMS' RIGHTS,0,NO,0.85
IN,Evansville Courier and Press,113150,1996,IN,PROPOSITION,2,PUBLIC QUESTION NO. 2 ON INVESTING RETIREMENT FUNDS,1,YES,0.85
IN,Evansville Courier and Press,113150,1998,IN,AMENDMENT,,CONSTITUTIONAL QUESTION TO PERMIT RESIDENTS TO MOVE WITHIN 30 DAYS OF AN ELECTION AND STILL VOTE,1,YES,0.85
IN,Evansville Courier and Press,113150,2000,IN,AMENDMENT,1,CONSTITUTIONAL AMENDMENT TO ALLOW CRIMINAL APPEALS WITH SENTENCES OF MORE THAN 50 YEARS TO BEGIN IN THE COURT OF APPEALS RATHER THAN THE INDIANA SUPREME COURT,1,PUBLIC QUESTION ONE - ENDORSED WITH 'YES',0.85
IN,Evansville Courier and Press,113150,2004,IN,PROPOSITION,1,QUESTION 1 - WOULD MAKE CERTAIN PROPERTY EXEMPT FROM PROPERTY TAXES,1,YES,0.85
IN,Evansville Courier and Press,113150,2004,IN,PROPOSITION,2,QUESTION 2 - WOULD ESTABLISH A UNIFORM DATE FOR BEGINNING THE TERMS OF SOME COUNTY OFFICES,1,YES,0.85
IN,Evansville Courier and Press,113150,2004,IN,PROPOSITION,3,QUESTION 3 - WOULD ALLOW FOR A LINE OF SUCCESSION IF THE GOVERNOR AND LIEUTENANT GOVERNOR CANNOT SERVE,1,YES,0.85
IN,Evansville Courier and Press,113150,2008,IN,BOND,,"$149 MILLION BOND ISSUE FOR EVANSVILLE VANDERBURGH SCHOOL CORP TO BUILD TWO NEW SCHOOLS, IMPROVE OTHERS, AND OPEN THREE EARLY CHILDHOOD LEARNING CENTERS",1,RECOMMEND YES,0.95
IN,Evansville Courier and Press,113150,2010,IN,AMENDMENT,1,CONSTITUTIONAL AMENDMENT TO INCLUDE PROPERTY TAX CAPS IN THE STATE CONSTITUTION,1,PUBLIC QUESTION NUMBER 1 - VOTE YES,0.95
IN,Evansville Courier and Press,113150,2012,IN,REFERENDUM,,CONSOLIDATION OF EVANSVILLE AND VANDERBURGH COUNTY,1,VOTE YES,0.95
IN,Evansville Courier and Press,113150,1998,IN,AMENDMENT,,Indiana constitutional question: allow elected state officials to reside outside Indianapolis,1,"V9 image-verified add: 1998 ""we recommend yes votes on the two constitutional questions"" (2nd one)",0.88
IN,Evansville Courier and Press,113150,2008,IN,REFERENDUM,,"Eliminate township assessor positions in Knight, Pigeon and Center townships",1,"V9 image-verified add: 2008 image: ""yes"" on township-assessor referendum",0.88
