state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IN,Evansville Courier,113151,1918,DA/PROSECUTOR,,,IN,"NOLAN, VAL F.",,1,,,,SINGLE OUT FOR MERIT - CLEAN ENERGETIC PATRIOTIC YOUNG MAN,0.85
IN,Evansville Courier,113151,1918,AUDITOR,,,IN,"SPIEGEL, LEO",,1,,,,DEPUTY AUDITOR - REGARDED AS BEST COUNTY AUDITOR IN STATE,0.9
IN,Evansville Courier,113151,1918,H,1,,IN,"DENTON, GEORGE K.",Democrat,1,1,,,STOOD BY PRESIDENT ON EVERY ISSUE; EDITORIAL ARGUES AGAINST CHANGING CONGRESS DURING WARTIME,0.88
IN,Evansville Courier,113151,1918,TOWNSHIP TRUSTEE,,,IN,"WURM, SAMUEL A.",,1,,,,HONEST ECONOMICAL CONSCIENTIOUS - EARNESTLY TRIED TO RELIEVE POVERTY,0.95
IN,Evansville Courier,113151,1920,PRESIDENT,,,IN,"COX, JAMES M.",Democrat,1,,,,ENDORSED FOR PRESIDENT,0.95
IN,Evansville Courier,113151,1920,LT GOVERNOR,,,IN,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,ENDORSED FOR VICE PRESIDENT,0.95
IN,Evansville Courier,113151,1922,SENATOR,,,IN,"BEVERIDGE, ALBERT J.",Republican,0,,,,OPPOSED - REFUSES TO SUPPORT HARDING ADMINISTRATION; ANTAGONISTIC TO PARTY,0.75
IN,Evansville Courier,113151,1922,AUDITOR,,,IN,"SPIEGEL, LEO",,1,,,1,COUNTY AUDITOR - DEMOCRAT QUALIFIED FOR OFFICE,0.8
IN,Evansville Courier,113151,1922,H,1,,IN,"WILSON, WILLIAM E.",Democrat,1,,,,WILL MAKE ONE OF THE FINEST HARDEST WORKING MOST CONSCIENTIOUS CONGRESSMEN; PILLAR IN CHURCH FOR QUARTER CENTURY,0.9
IN,Evansville Courier,113151,1922,H,1,,IN,"LUHRING, OSCAR",Republican,0,,1,,OPPOSED; CRITICIZED FOR DOUBLE-CROSSING ON VOLSTEAD ACT VOTE; ANTI-SALOON LEAGUE CAMPAIGN FOR HIM DISMISSED,0.88
IN,Evansville Courier,113151,1924,JUDGE,,,IN,"DENTON, GEORGE K.",Democrat,1,,,,STATE SUPREME COURT - EMINENTLY QUALIFIED - LONG HONORABLE RECORD AS ATTORNEY - SERVED IN CONGRESS - HOME MAN,0.95
IN,Evansville Courier,113151,1924,JUDGE,,,IN,"SPENCER, JOHN W. SR.",Democrat,1,,,,CIRCUIT JUDGE - OVERSHADOWS IN EXPERIENCE AND ABILITY - WELL KNOWN ATTORNEY - SERVED STATE SUPREME COURT,0.9
IN,Evansville Courier,113151,1924,TREASURER,,,IN,"DRESS, WILLIAM H.",Democrat,1,,,,COUNTY TREASURER - WILL LEAD DEMOCRATIC COUNTY TICKET - POPULAR YOUNGER BUSINESSMAN - BANKING EXPERIENCE,0.92
IN,Evansville Courier,113151,1926,H,1,,IN,"WILSON, WILLIAM E.",Democrat,1,,,,ELECT WILSON; SERVED ONE TERM WITH CREDIT; ABLE CONSCIENTIOUS REPRESENTATIVE; MAN OF HIGH PRINCIPLES CAPABLE AND EFFICIENT; REPUBLICAN INCUMBENT ROWBOTTOM HANDICAPPED BY FACTIONAL STRIFE,0.95
IN,Evansville Courier,113151,1928,H,1,,IN,"BOEHNE, JOHN W. JR.",Democrat,1,,,,WE NEED A GOOD MAN AT WASHINGTON; JOHN W BOEHNE JR IS THE KIND OF MAN CITY NEEDS; BUSINESS TRAINING; THINKS CONSTRUCTIVELY; ANXIOUS TO SERVE AND MAKE HONORABLE RECORD,0.93
IN,Evansville Courier,113151,1928,STATE REP,,,IN,"KNECHT, KARL",,1,,,,STATE REPRESENTATIVE FROM VANDERBURGH - WOULD MAKE GREAT LEGISLATOR - CARTOONIST - KNOWN FOR 22 YEARS,0.75
IN,Evansville Courier,113151,1928,GOVERNOR,,,IN,"DAILEY, FRANK",Democrat,1,,,,VOTE FOR DECENCY IN GOVERNMENT - DEFEAT LESLIE - REPUDIATE STEPHENSON COFFINISM - HONEST AND DECENT POLITICS,0.93
IN,Evansville Courier,113151,1928,GOVERNOR,,,IN,"LESLIE, HARRY",Republican,0,,,,OPPOSED - REPUBLICAN CANDIDATE - ASSOCIATED WITH STEPHENSON GANG AND SHAME TO STATE,0.92
IN,Evansville Courier,113151,1928,PRESIDENT,,,IN,"SMITH, ALFRED E.",Democrat,1,,,,BIG ISSUE IS FARM PROBLEM - SMITH AND DEMOCRATIC PARTY ONLY STAND FOR AGRICULTURE - APPROVED BY AGRICULTURAL LEADERS,0.85
