state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
IN,Evansville Courier,113151,1968,IN,REFERENDUM,,PERMISSIVE REFERENDUM ON PARI-MUTUEL BETTING,0,COURIER RECOMMENDS A NO VOTE,0.85
IN,Evansville Courier,113151,1970,IN,AMENDMENT,,ANNUAL SESSIONS,1,VOTE YES,0.85
IN,Evansville Courier,113151,1970,IN,AMENDMENT,,COURT REFORM,1,VOTE YES,0.85
IN,Evansville Courier,113151,1970,IN,AMENDMENT,,"LONGER TERM FOR STATE SECRETARY, AUDITOR AND TREASURER",0,VOTE NO,0.85
IN,Evansville Courier,113151,1972,IN,AMENDMENT,1,TWO SUCCESSIVE TERMS FOR GOVERNOR,1,YES,0.85
IN,Evansville Courier,113151,1972,IN,AMENDMENT,2,PERMIT GENERAL ASSEMBLY TO ESTABLISH SELECTION AND TENURE OF STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,0,NO,0.85
IN,Evansville Courier,113151,1972,IN,AMENDMENT,3,CLARIFY GOVERNOR'S VETO PROCEDURES,1,YES,0.85
IN,Evansville Courier,113151,1972,IN,AMENDMENT,4,PERMIT COUNTY OFFICIALS TO SERVE UNLIMITED TERMS,1,YES,0.85
IN,Evansville Courier,113151,1972,IN,AMENDMENT,5,PERMIT GENERAL ASSEMBLY TO ESTABLISH METHOD OF FILLING VACANCIES IN GENERAL ASSEMBLY,0,NO,0.85
IN,Evansville Courier,113151,1974,IN,REFERENDUM,,VANDIGOV REFERENDUM TO MODERNIZE LOCAL GOVERNMENT,1,VOTE YES,0.85
IN,Evansville Courier,113151,1974,IN,AMENDMENT,1,"WORDING OF LEGISLATIVE ACTS TO CONSOLIDATE STATE STATUTES, MAKE THEM MORE COMPREHENSIBLE",1,VOTE YES,0.85
IN,Evansville Courier,113151,1974,IN,AMENDMENT,2,ELECT GOVERNOR AND LIEUTENANT GOVERNOR AS A TEAM,1,VOTE YES,0.85
IN,Evansville Courier,113151,1974,IN,AMENDMENT,3,"REDEFINE STATE MILITIA, UPDATE LANGUAGE AND CLARIFY DUTIES OF CITIZENS",1,VOTE YES,0.85
IN,Evansville Courier,113151,1988,IN,AMENDMENT,,EVANSVILLE-VANDERBURGH SCHOOL CORP. AMENDMENT,1,ENDORSED YES,0.85
IN,Evansville Courier,113151,1988,IN,PROPOSITION,1,PROPOSITION 1,1,ENDORSED YES,0.85
IN,Evansville Courier,113151,1988,IN,PROPOSITION,2,PROPOSITION 2,1,ENDORSED YES,0.85
IN,Evansville Courier,113151,1988,IN,PROPOSITION,3,PROPOSITION 3,0,ENDORSED NO,0.85
IN,Evansville Courier,113151,1996,IN,PROPOSITION,1,PUBLIC QUESTION NO. 1 ON VICTIMS' RIGHTS,0,ENDORSED NO,0.85
IN,Evansville Courier,113151,1996,IN,PROPOSITION,2,PUBLIC QUESTION NO. 2 ON INVESTING RETIREMENT FUNDS,1,ENDORSED YES,0.85
IN,Evansville Courier,113151,1998,IN,AMENDMENT,1,INDIANA CONSTITUTIONAL QUESTION - PERMIT RESIDENTS TO MOVE WITHIN 30 DAYS OF AN ELECTION AND STILL VOTE,1,ENDORSED YES,0.85
IN,Evansville Courier,113151,1998,IN,AMENDMENT,2,INDIANA CONSTITUTIONAL QUESTION - ALLOW ELECTED STATE OFFICIALS TO RESIDE OUTSIDE OF INDIANAPOLIS,1,ENDORSED YES,0.85
