state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IN,Evansville Press,113152,1918,H,,,IN,"DENTON, GEORGE K.",Republican,1,,,,"SOLDIER ADVOCATE, VOTED FOR SOLDIER BENEFITS",0.95
IN,Evansville Press,113152,1920,PRESIDENT,,,IN,"COX, JAMES M.",Democrat,1,,,,"LEAGUE OF NATIONS SUPPORTER, EXECUTIVE ABILITY",0.95
IN,Evansville Press,113152,1924,GOVERNOR,,,IN,"MCCULLOCH, CARLETON B.",Democrat,1,,,,ANTI-KKL POSITION,0.85
IN,Evansville Press,113152,1928,GOVERNOR,,,IN,"DAILEY, FRANK C.",Democrat,1,,,,"GOOD GOVERNMENT, OPPOSES LESLIE",0.85
IN,Evansville Press,113152,1928,DA/PROSECUTOR,,Vanderburgh,IN,LINDSEY,,1,,,,COUNTY PROSECUTOR ENDORSEMENT,0.75
IN,Evansville Press,113152,1928,PRESIDENT,,,IN,"HOOVER, HERBERT",Republican,1,,,,REPUBLICAN SUPPORT,0.75
IN,Evansville Press,113152,1928,H,,,IN,"ROWBOTTOM, HARRY",Republican,0,,1,,BAD CONGRESSIONAL RECORD,0.85
IN,Evansville Press,113152,1930,H,1,,IN,"ROWBOTTOM, HARRY G.",Republican,0,1,,,POOR CONGRESSIONAL RECORD,0.85
IN,Evansville Press,113152,1932,H,8,,IN,"BOEHNE, JOHN W. JR.",Democrat,1,,,,"INDEPENDENT VOTING, LEGISLATIVE ABILITY",0.9
IN,Evansville Press,113152,1932,SENATOR,,,IN,"WAGNER, ROBERT F.",Democrat,1,,,,UNEMPLOYMENT RELIEF ADVOCATE,0.9
IN,Evansville Press,113152,1932,PRESIDENT,,,IN,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,"DEPRESSION REMEDY, CHANCE FOR BETTER GOVERNMENT",0.95
IN,Evansville Press,113152,1934,SENATOR,,,IN,"MINTON, SHERMAN",Democrat,1,,,,"FRANKNESS AND COURAGE, NEW DEAL SUPPORT",0.9
IN,Evansville Press,113152,1936,H,8,,IN,"BOEHNE, JOHN W. JR.",Democrat,1,,,,"LEGISLATIVE ABILITY, NEW DEAL SUPPORT",0.9
IN,Evansville Press,113152,1936,PRESIDENT,,,IN,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,"FAIR ANSWER, RECOVERY AND LEADERSHIP",0.95
IN,Evansville Press,113152,1938,H,8,,IN,"BOEHNE, JOHN W. JR.",Democrat,1,1,,,"INDEPENDENT THINKING, GOOD RECORD",0.9
IN,Evansville Press,113152,1940,SENATOR,,,IN,"LA FOLLETTE JR., ROBERT M.",Republican,1,,,,"NEW DEAL SUPPORT, PROGRESSIVE RECORD",0.85
IN,Evansville Press,113152,1940,JUDGE,,Vanderburgh,IN,"VENEMAN, ALBERT J.",Democrat,1,1,,,"MATURE EXPERIENCE, SYMPATHY, COMMUNITY RESPECT",0.9
IN,Evansville Press,113152,1942,MAYOR,,Evansville,IN,"DRUSE, WILLIAM B.",Democrat,1,1,,,"ABLE, CONSCIENTIOUS, EXCELLENT RECORD",0.85
IN,Evansville Press,113152,1942,SEC OF STATE,,,IN,"DENTON, WINFIELD K.",Democrat,1,,,,"ABLE, CONSCIENTIOUS PUBLIC OFFICIAL",0.9
IN,Evansville Press,113152,1944,GOVERNOR,,,IN,"JACKSON, SAMUEL D.",Democrat,1,,,,"JUSTICE AND COMMON SENSE, GOOD GOVERNMENT",0.9
IN,Evansville Press,113152,1948,CNTY CLERK,,Vanderburgh,IN,"SAUER, ED J.",Democrat,1,,,,"FAITHFUL SERVICE, EXPERIENCE, ABILITY",0.9
IN,Evansville Press,113152,1948,H,8,,IN,"MITCHELL, ED",Republican,1,,,,"ANTI-COMMUNIST STANCE, STRONG MEASURES",0.85
IN,Evansville Press,113152,1952,PRESIDENT,,,IN,"EISENHOWER, DWIGHT D.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,SENATOR,,,IN,"SCHRICKER, HENRY F.",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,GOVERNOR,,,IN,"WATKINS, JOHN A.",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,H,8,,IN,"MERRILL, D. BAILEY",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,DA/PROSECUTOR,,Vanderburgh,IN,"WEVER, PAUL",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,CNTY CLERK,,Vanderburgh,IN,"SAUER, ED J.",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1952,TREASURER,,Vanderburgh,IN,"OVIATT, CLYDE",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,H,8,,IN,"MERRILL, D. BAILEY",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,JUDGE,,Vanderburgh,IN,"RAWLINGS, JOHN D.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,STATE SENATOR,,,IN,"INGLE, DONALD B.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,STATE REP,,,IN,"ACKER, W. J.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,STATE REP,,,IN,"AMOS, RUSSELL",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,STATE REP,,,IN,"MEHRLE JR., ARTHUR J.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,STATE REP,,,IN,"OURSLER, FLOYD F.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,AUDITOR,,Vanderburgh,IN,"SAUER, ED",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,RECORDER,,Vanderburgh,IN,"PADGETT, PAUL",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,SHERIFF,,Vanderburgh,IN,"MCDONALD, FRANK F.",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,CNTY COMM,3,,IN,"ELLSPERMANN, CHARLES J.",Democrat,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1954,CNTY COMM,1,,IN,"FERGUSON, ROY E.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,PRESIDENT,,,IN,"EISENHOWER, DWIGHT D.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,SENATOR,,,IN,"CAPEHART, HOMER E.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,GOVERNOR,,,IN,"HANDLEY, HAROLD W.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,LT GOVERNOR,,,IN,"PARKER, CRAWFORD F.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,SEC OF STATE,,,IN,"LEMON, URSCHLA L.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1956,AUDITOR,,,IN,"CAPLIN, ROY T.",Republican,1,,,,RE-ENDORSEMENT,0.95
IN,Evansville Press,113152,1958,STATE SENATOR,,,IN,"ROBERTS, KENNETH JR.",Democrat,1,,,,BETTER JOB,0.85
