state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
IN,Evansville Press,113152,1930,IN,AMENDMENT,,CONSTITUTIONAL AMENDMENT FOR STATE INCOME TAX,1,TAX RELIEF MEASURE,0.85
IN,Evansville Press,113152,1932,IN,AMENDMENT,,CONSTITUTIONAL AMENDMENT FOR STATE INCOME TAX,1,TAX REMEDY,0.85
IN,Evansville Press,113152,1952,IN,AMENDMENT,,"CONSTITUTIONAL AMENDMENTS FOR FOUR-YEAR TERMS FOR CORONER, SURVEYOR, TREASURER, PROSECUTOR",1,FOUR-YEAR TERMS FOR COUNTY OFFICES,0.85
IN,Evansville Press,113152,1952,IN,AMENDMENT,,"FOUR-YEAR TERMS OF OFFICE FOR COUNTY CORONER, SURVEYOR, TREASURER AND PROSECUTOR (CHANGE FROM TWO-YEAR TERMS)",1,PRESS URGES VOTERS APPROVE TWO PROPOSED CONSTITUTIONAL AMENDMENTS GIVING FOUR-YEAR TERMS,0.9
IN,Evansville Press,113152,1966,IN,AMENDMENT,1,"ELIMINATE TAXES ON HOUSEHOLD GOODS AND INTANGIBLES; PROVIDE FOR EXCISE TAX INSTEAD OF PROPERTY TAX ON MOTOR VEHICLES, MOBILE HOMES, AIRPLANES, BOATS AND SIMILAR PROPERTY",1,'WE BELIEVE BOTH SHOULD BE APPROVED',0.95
IN,Evansville Press,113152,1966,IN,AMENDMENT,2,ALLOW LEGISLATURE TO CONSIDER NEW AMENDMENTS TO STATE CONSTITUTION WHILE PREVIOUSLY PROPOSED AMENDMENTS WERE STILL PENDING,1,'WE BELIEVE BOTH SHOULD BE APPROVED',0.95
IN,Evansville Press,113152,1968,IN,REFERENDUM,,LEGALIZED PARI-MUTUEL BETTING ON HORSE RACES AT TRACKS (ADVISORY REFERENDUM),0,OPPOSED. 'WE WOULD ADVISE HANDING IT BACK WITH A NO VOTE',0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,1,"ALLOW THE LEGISLATURE TO MEET ANNUALLY, RATHER THAN EVERY TWO YEARS",1,'GOOD GOVERNMENT DICTATES A YES ANSWER TO ALL THREE QUESTIONS',0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,2,"REFORM STATE'S TWO HIGHEST COURTS, TAKING JUDGES OUT OF POLITICS AND ASSURING A NONPARTISAN SYSTEM OF JUSTICE",1,YES VOTE,0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,3,"EXTEND TERMS OF THREE STATE OFFICES (SECRETARY OF STATE, AUDITOR, TREASURER) FROM TWO TO FOUR YEARS",1,YES VOTE,0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,,FOR ANNUAL LEGISLATIVE SESSIONS,1,YES,0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,,FOR JUDICIAL REFORM,1,YES,0.95
IN,Evansville Press,113152,1970,IN,AMENDMENT,,FOR CHANGING THE TERMS OF SOME STATE OFFICES,1,YES,0.95
IN,Evansville Press,113152,1972,IN,PROPOSITION,1,"FOR STATE SUPREME COURT JUDGE, DONALD H. HUNTER",1,VOTE YES,0.95
IN,Evansville Press,113152,1972,IN,PROPOSITION,2,"FOR STATE APPEALS COURT JUDGE, JOE W. LOWDERMILK",1,VOTE YES,0.95
IN,Evansville Press,113152,1972,IN,PROPOSITION,3,"FOR SUPERIOR COURT JUDGE, MORRIS S. MERRELL",1,VOTE YES,0.95
IN,Evansville Press,113152,1972,IN,PROPOSITION,4,"FOR SUPERIOR COURT JUDGE, MORTON W. NEWMAN",1,VOTE YES,0.95
IN,Evansville Press,113152,1972,IN,AMENDMENT,5,CHANGE THE METHOD OF SELECTING THE STATE SCHOOL SUPERINTENDENT,1,VOTE YES,0.95
