state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IN,Indianapolis News,113651,1960,GOVERNOR,,,IN,"PARKER, CRAWFORD F.",Republican,1,,,,By far the better; supports without reservation,0.96
IN,Indianapolis News,113651,1960,GOVERNOR,,,IN,"WELSH, MATTHEW E.",Democrat,0,,,,Voted for 2c gas tax increase; trying to gloss over,0.94
IN,Indianapolis News,113651,1960,H,,,IN,"BARR, JOSEPH",Democrat,0,1,,,Gold Rush editorial criticizing Barr Democratic congressman,0.92
IN,Indianapolis News,113651,1960,H,,,IN,"BRUCE, DONALD",Republican,1,,,,Conviction strength understanding - opportunity for voters,0.95
IN,Indianapolis News,113651,1960,JUDGE,,Marion County Juvenile Court,IN,"FIELDS, HAROLD N.",Republican,1,,,1,Citizens Bipartisan Committee recommended; News concurs,0.93
IN,Indianapolis News,113651,1960,LT GOVERNOR,,,IN,"RISTINE, RICHARD",Republican,1,,,,Effective in countering Democratic propaganda,0.94
IN,Indianapolis News,113651,1960,PRESIDENT,,,IN,"KENNEDY, JOHN F.",Democrat,0,,,,Strong contrast on Quemoy/Matsu policies - Kennedy soft,0.90
IN,Indianapolis News,113651,1960,PRESIDENT,,,IN,"NIXON, RICHARD M.",Republican,1,,,,News throws hat into ring; strategy of peace; challenge of sixties,0.96
IN,Indianapolis News,113651,1960,SUPREME COURT,,,IN,"ACHOR, HAROLD E.",Republican,1,,,1,Wide experience; constructive attitude; recommend re-election,0.95
IN,Indianapolis News,113651,1960,TREASURER,,,IN,"HUGHES, ROBERT",Republican,1,,,,Yeoman job selling Republican story of freedom,0.93
IN,Indianapolis News,113651,1962,H,,,IN,"BRUCE, DONALD",Republican,1,,1,,He Kept His Word - critical election editorial,0.93
IN,Indianapolis News,113651,1962,JUDGE,,Marion County Circuit Court,IN,"NIBLACK, JOHN L.",Republican,1,,,1,Distinguished 65; arch-enemy of political buncombe,0.94
IN,Indianapolis News,113651,1962,TREASURER,,,IN,"HUGHES, ROBERT",Republican,1,,,1,Day of Decision; correctly characterized free market vs Communism,0.93
IN,Indianapolis News,113651,1964,H,,,IN,"TABBERT, DON A.",Republican,1,,,,Major issue is security - against Communist aggression and big government,0.93
IN,Indianapolis News,113651,1964,H,11,,IN,"TABBERT, DON A.",Republican,1,,,,Forthright conservative principles; limited government,0.94
IN,Indianapolis News,113651,1964,PRESIDENT,,,IN,"GOLDWATER, BARRY",Republican,1,,,,Peace through strength; standing firm against Communism,0.96
IN,Indianapolis News,113651,1964,PRESIDENT,,,IN,"JOHNSON, LYNDON",Democrat,0,1,,,Opposed; liberal smear campaign against Goldwater,0.94
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"BURNETT, MARTHA",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"CHAPPELL, ROBERT S.",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"CLAYCOMBE, ROBERT A.",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"HILL, W. W.",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"TOWNSEND, J. RUSSELL",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1964,STATE SENATOR,,Marion County,IN,"WILDHACK, WILLIAM A. JR.",Republican,1,,,,Pledged economy in government,0.90
IN,Indianapolis News,113651,1966,H,10,,IN,"ROUDEBUSH, RICHARD L.",Republican,1,,1,,Outstanding legislator; ADA zero rating; watchdog against waste,0.95
IN,Indianapolis News,113651,1966,H,10,,IN,"STATON, ROBERT H.",Democrat,0,,,,Opponent of Roudebush,0.85
IN,Indianapolis News,113651,1966,H,11,,IN,"JACOBS, ANDREW JR.",Democrat,0,1,,,ADA 92% pro-spending; ACA 4% anti-spending - lowest in state,0.94
IN,Indianapolis News,113651,1966,H,11,,IN,"OAKES, PAUL R.",Republican,1,,,,Hard-hitting campaign on cutting deficits,0.92
IN,Indianapolis News,113651,1966,H,6,,IN,"BRAY, WILLIAM G.",Republican,1,,1,,Outstanding legislator; ACA 100%; top-ranking Armed Services,0.95
IN,Indianapolis News,113651,1966,H,6,,IN,"NICHOLSON, JAMES M.",Democrat,0,,,,Opponent of Bray,0.85
IN,Indianapolis News,113651,1966,SUPERINTENDENT,,,IN,"WELLS, RICHARD D.",Republican,1,,,,Stop defaulting to Washington bureaucrats; State Superintendent,0.93
IN,Indianapolis News,113651,1968,GOVERNOR,,,IN,"WHITCOMB, EDGAR D.",Republican,1,,,,Energetic campaign; lid on taxes; firm against crime,0.96
IN,Indianapolis News,113651,1968,H,11,,IN,"HILL, W. W. JR.",Republican,1,,,,Opposition to aiding enemies; resistance to urban renewal,0.94
IN,Indianapolis News,113651,1970,H,,,IN,"DENNIS, DAVID W.",Republican,1,,1,,Dennis Is Right; opposed pork barrel water/sewer projects,0.93
IN,Indianapolis News,113651,1970,H,11,,IN,"BURTON, DAN",Republican,1,,,,Effective campaign; busing radical disruption law and order,0.94
IN,Indianapolis News,113651,1970,H,11,,IN,"JACOBS, ANDREW JR.",Democrat,0,1,,,Burton challenger,0.88
IN,Indianapolis News,113651,1970,SENATOR,,,IN,"HARTKE, VANCE",Democrat,0,1,,,Super-Spender; voted for inflation; rising prices,0.93
