state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IA,Cedar Rapids Gazette,114900,1960,H,2,,IA,"BROMWELL, JAMES",Republican,1,,,,"Sound positions on agriculture business and industrial development ROUND 2 FIX: name standardized to ""BROMWELL, JAMES"" (was ""BROMWELL, JAMES (JIM)"") to match 1962 record.",0.95
IA,Cedar Rapids Gazette,114900,1960,H,2,,IA,"WOLF, LEN",Democrat,0,1,,,Theatrical last-minute attempts; demagoguery,0.93
IA,Cedar Rapids Gazette,114900,1960,PRESIDENT,,,IA,"KENNEDY, JOHN F.",Democrat,0,,,,Boyish charm but loose-jointed program not thought through,0.93
IA,Cedar Rapids Gazette,114900,1960,PRESIDENT,,,IA,"NIXON, RICHARD",Republican,1,,,,Better choice; clear program; relatively clear path,0.95
IA,Cedar Rapids Gazette,114900,1962,CNTY COMM,,Linn County,IA,"HENDERSON, DUDLEY",Republican,1,,1,,Good grasp of county problems; enlightened concept of future,0.93
IA,Cedar Rapids Gazette,114900,1962,H,2,,IA,"BROMWELL, JAMES",Republican,1,,1,,Conscientious student of public affairs; courageous level-headed,0.95
IA,Cedar Rapids Gazette,114900,1962,H,2,,IA,"LESS, FRANK",Democrat,0,,,,Good man; dignified temperate campaign,0.90
IA,Cedar Rapids Gazette,114900,1962,SENATOR,,,IA,"HICKENLOOPER, BOURKE",Republican,1,,1,,Long service raised him to positions of important influence,0.96
IA,Cedar Rapids Gazette,114900,1962,SENATOR,,,IA,"SMITH, E. B.",Democrat,0,,,,Able articulate man; intelligent responsible campaign,0.92
IA,Cedar Rapids Gazette,114900,1962,STATE REP,,Linn County,IA,"ELY, JOHN JR.",Republican,1,,1,,Quick adaptation; conscientious effective,0.93
IA,Cedar Rapids Gazette,114900,1962,STATE REP,,Linn County,IA,"RILEY, TOM",Republican,1,,1,,Quick adaptation; conscientious effective,0.93
IA,Cedar Rapids Gazette,114900,1962,STATE SENATOR,,Linn County,IA,"WILEY, MARTIN",Republican,1,,1,,Measured up admirably to standards set by predecessor,0.93
IA,Cedar Rapids Gazette,114900,1966,GOVERNOR,,,IA,"HUGHES, HAROLD",Democrat,1,1,,,Outstanding leader; few mistakes; new impetus to progress,0.96
IA,Cedar Rapids Gazette,114900,1966,GOVERNOR,,,IA,"MURRAY, WILLIAM",Republican,0,,,,Strong campaign on Iowa basic problems but Hughes preferred,0.90
