state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,source_file
IA,Des Moines Register,115150,1960,PRESIDENT,,,IA,"NIXON, RICHARD M.",Republican,1,,,,DMR endorsement (1960),0.92,,115150_19601106.pdf
IA,Des Moines Register,115150,1962,GOVERNOR,,,IA,"ERBE, NORMAN A.",Republican,1,,1,,DMR endorsement (1962),0.85,,115150_19621028.pdf
IA,Des Moines Register,115150,1962,SENATOR,,,IA,"HICKENLOOPER, BOURKE B.",Republican,1,,1,,DMR endorsement (1962),0.9,,115150_19621028.pdf
IA,Des Moines Register,115150,1966,GOVERNOR,,,IA,"HUGHES, HAROLD E.",Democrat,1,1,,,DMR endorsement (1966),0.92,,115150_19661030.pdf
IA,Des Moines Register,115150,1966,SENATOR,,,IA,"MILLER, JACK",Republican,1,,1,,DMR endorsement (1966),0.92,,115150_19661030.pdf
IA,Des Moines Register,115150,1968,GOVERNOR,,,IA,"RAY, ROBERT",Republican,1,,,,DMR endorsement (1968),0.92,,115150_19681027.pdf
IA,Des Moines Register,115150,1968,SENATOR,,,IA,"HUGHES, HAROLD E.",Democrat,1,,,,DMR endorsement (1968),0.92,,115150_19681027.pdf
IA,Des Moines Register,115150,1970,GOVERNOR,,,IA,"FULTON, ROBERT",Democrat,0,,,,DMR opposed (1970),0.85,,115150_19701025.pdf
IA,Des Moines Register,115150,1970,GOVERNOR,,,IA,"RAY, ROBERT",Republican,1,,1,,Steadfast under pressure; vetoed wiretapping bill,0.92,,115150_19701025.pdf
IA,Des Moines Register,115150,1970,JUDGE,,Iowa District Court (Waterloo),IA,"WOOD, BLAIR",Nonpartisan,1,,,,Judicial retention; paper defends Wood's ruling against Waterloo movie pre-censorship ordinance,0.92,,115150_19701103.pdf
IA,Des Moines Register,115150,1972,SEC OF AGRICULTURE,,,IA,"LOUNSBERRY, ROBERT",Republican,0,,,,Deputy of Liddy; advocate of status quo,0.85,,115150_19721101.pdf
IA,Des Moines Register,115150,1972,SEC OF AGRICULTURE,,,IA,"OWEN, KENNETH",Democrat,1,,,,"Centerville farmer, former state ag secretary; favored sweeping changes",0.92,,115150_19721101.pdf
