state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
LA,Shreveport Journal,118401,1920,LA,CONSTITUTIONAL AMENDMENT,7,Constitutional amendment to grant tax exemption to new industries located on the Navigation Canal at New Orleans (Dock Board amendment),0,Journal endorses Dock Board's recommendation to vote against Amendment No. 7 due to defect in proposed amendment that could nullify existing tax exemptions,0.90
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,1,New Orleans school board amendment - removing school tax from city council and placing power of assessment elsewhere,0,Journal calls amendment dangerous and recommends rejection,0.90
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,10,Louisiana constitutional amendment - Journal opposes,0,Journal most urgently urges rejection - calls amendment 'a dangerous one',0.90
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,11,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,12,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,13,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,2,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,3,"Amendment compelling New Orleans / road project amendment (Tangipahoa, St. John, etc.) related to automobile license pledge",0,Journal recommends rejection - calls plan dangerous,0.85
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,4,Confederate Veterans' pension proposal - enables state pension board to borrow sufficient funds to meet pension demands,1,Journal especially supports this amendment for Confederate Veterans pension proposal,0.90
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,5,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.85
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,6,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.85
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,7,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,8,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1924,LA,CONSTITUTIONAL AMENDMENT,9,Louisiana constitutional amendment (one of 13),1,"Journal urges voters to support all amendments except Nos. 1, 3 and 10",0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,1,Louisiana constitutional amendment (one of 14 proposed),1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,10,Construction of combined system of levees - applies principally to South Louisiana,1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,11,"Caddo Parish road tax - 4 cents per gallon gasoline tax in addition to motor car license, for road purposes for fifteen years",1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,12,Authorizes Rapides parish to levy additional school tax for any school district,1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,13,Authorizes Governor to appoint a judge from same court when proper party would dissent from decision,1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,14,Louisiana constitutional amendment (one of 14 proposed),1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,2,Louisiana constitutional amendment (one of 14 proposed),1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,3,Louisiana constitutional amendment (one of 14 proposed),1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,4,Authorizes governor to appoint commission to formulate code of criminal procedure for Louisiana,1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,5,Authorizes Orleans parish school board to fix annual ad valorem tax for full ten months' salary for teachers,1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,6,"Increases bond of city tax collector for City of New Orleans from $50,000",1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,7,Louisiana constitutional amendment - Journal opposes,0,Vote against No. 7 - Journal explicitly recommends rejection,0.90
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,8,Louisiana constitutional amendment (one of 14 proposed),1,Journal endorses voting for all amendments except No. 7,0.80
LA,Shreveport Journal,118401,1926,LA,CONSTITUTIONAL AMENDMENT,9,Extension of jurisdiction of first city court of New Orleans,1,Journal endorses voting for all amendments except No. 7,0.85
LA,Shreveport Journal,118401,1928,LA,CONSTITUTIONAL AMENDMENT,2,Authorizes Shreveport to donate land to federal government for the Third Attack Wing aerial defense unit,1,"Journal endorses Amendment No. 2 - will help secure Third Attack Wing for Louisiana, primarily of local interest to Shreveport",0.95
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,1,"Highway construction bonding amendment - bond 2 cents of 4-cent gasoline tax to provide 3,300 miles of paved highways, 1,000 miles of graveled farm roads, and bridges including Red River bridges at Shreveport and Coushatta",1,Journal heartily urges support of all amendments though originally opposed some,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,2,"Increases state gasoline levy from 4 to 5 cents, with proceeds split between public schools in disadvantaged parishes and port development at New Orleans and Lake Charles",1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,3,"New state capitol at Baton Rouge to replace antiquated state house - $5,000,000 for 33-story building",1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,4,Authority for parishes and municipalities to exempt industries from taxation for five years to encourage industrial expansion,1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,5,Permits Orleans levee board to build a large airport on Lake Pontchartrain,1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,6,Enables City of New Orleans to be refinanced by issuance of bonds,1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,7,Constitutional authority for future legislatures to provide a public school fund equal to $12 per educable child,1,Journal heartily urges support of all amendments,0.85
LA,Shreveport Journal,118401,1930,LA,CONSTITUTIONAL AMENDMENT,8,Increases monthly pension of Confederate veterans and their widows from $30 to $60,1,Journal calls for unanimous approval as belated tribute to heroes of Civil War,0.95
LA,Shreveport Journal,118401,1932,LA,CONSTITUTIONAL AMENDMENT,1,Louisiana constitutional amendment (one of 15 proposed),1,Journal sees no reason to oppose - among 12 of 15 amendments favored,0.70
LA,Shreveport Journal,118401,1932,LA,CONSTITUTIONAL AMENDMENT,10,Louisiana constitutional amendment (one of 15 proposed),1,Journal sees no reason to oppose - among 12 of 15 amendments favored,0.70
