state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
LA,Shreveport Times,118400,1950,LA,,,,1,,
LA,Shreveport Times,118400,1950,LA,,,,0,,
LA,Shreveport Times,118400,1952,LA,,,,1,,
LA,Shreveport Times,118400,1952,LA,,,,0,,
LA,Shreveport Times,118400,1954,LA,,,,1,,
LA,Shreveport Times,118400,1954,LA,,,,0,,
LA,Shreveport Times,118400,1956,LA,,,,0,,
LA,Shreveport Times,118400,1956,LA,,,,1,,
LA,Shreveport Times,118400,1956,LA,,,,,,
LA,Shreveport Times,118400,1958,LA,,,,1,,
LA,Shreveport Times,118400,1958,LA,,,,,,
LA,Shreveport Times,118400,1958,LA,,,,0,,
LA,Shreveport Times,118400,1960,LA,,,,,,
LA,Shreveport Times,118400,1962,LA,,,,,,
LA,Shreveport Times,118400,1964,LA,,,,1,,
LA,Shreveport Times,118400,1964,LA,,,,0,,
LA,Shreveport Times,118400,1966,LA,,,,,,
LA,Shreveport Times,118400,1966,LA,,,,1,,
LA,Shreveport Times,118400,1966,LA,,,,0,,
LA,Shreveport Times,118400,1968,LA,,,,,,
LA,Shreveport Times,118400,1968,LA,AMENDMENT,1,PASSAGE OF AMENDMENT NO. 1 VITAL TO LOUISIANA'S FUTURE (DESCRIBED IN ARTICLE AS RELATING TO HIGHER EDUCATION/COLLEGES AND UNIVERSITIES).,1,FEATURED EDITORIAL ENDORSING AMENDMENT 1.,0.85
LA,Shreveport Times,118400,1970,LA,AMENDMENT,1,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 1 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.70
LA,Shreveport Times,118400,1970,LA,AMENDMENT,11,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 11 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,2,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 2 (1970 BALLOT).,0,TIMES 'HOW WE RECOMMEND' CHART: NO.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,22,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 22 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,23,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 23 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,26,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 26 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,27,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 27 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,3,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 3 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,4,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 4 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1970,LA,AMENDMENT,7,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 7 (1970 BALLOT).,1,TIMES 'HOW WE RECOMMEND' CHART: YES.,0.60
LA,Shreveport Times,118400,1972,LA,AMENDMENT,1,REPEAL STATE PROPERTY TAX.,1,TIMES: VOTE FOR.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,1,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 1 (1972 BALLOT).,1,TIMES RECOMMENDS CHART (ELECTION DAY): FOR.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,10,RELATIVE TO WOMEN'S JURY SERVICE.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,10,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 10 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,11,SPECIAL ELECTIONS FOR AMENDMENTS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,11,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 11 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,12,CIVIL SERVICE PREFERENCE FOR VIETNAM VETERANS.,1,TIMES: VOTE FOR.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,12,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 12 (1972 BALLOT).,1,TIMES RECOMMENDS CHART: FOR.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,13,RESIDENCY REQUIREMENTS FOR VOTING.,0,TIMES: VOTE AGAINST.,0.80
LA,Shreveport Times,118400,1972,LA,AMENDMENT,13,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 13 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,14,WRITE-IN CANDIDATES.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,14,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 14 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,15,ELECTION OF UNOPPOSED CANDIDATES.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,15,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 15 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,16,PROPERTY TAX ADJUSTMENTS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,16,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 16 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,17,5-MILL TAX FOR AMBULANCE SERVICE.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,17,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 17 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,18,AMBULANCE SERVICE DISTRICTS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,18,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 18 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,19,"TAX EXEMPTION, DIESEL SHRIMP AND OYSTER BOATS.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,19,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 19 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,2,ELIMINATE PROPERTY TAX RELIEF FUND.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,2,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 2 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,20,BAIL PENDING PRE-SENTENCE INVESTIGATION.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,20,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 20 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,21,"WATER, SEWER IMPROVEMENTS & SANITATION - NEW ORLEANS.",1,TIMES: VOTE FOR (21 & 22).,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,21,"LOUISIANA CONSTITUTIONAL AMENDMENT NO. 21 (1972 BALLOT) - WATER, SEWER IMPROVEMENTS, NEW ORLEANS.",1,NOV 5 EDITORIAL VOTED FOR; NOV 7 CHART AMBIGUOUS BUT EDITORIAL TEXT IS UNAMBIGUOUS.,0.70
LA,Shreveport Times,118400,1972,LA,AMENDMENT,22,"WATER, SEWER IMPROVEMENTS & SANITATION - NEW ORLEANS.",1,TIMES: VOTE FOR (21 & 22).,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,22,"LOUISIANA CONSTITUTIONAL AMENDMENT NO. 22 (1972 BALLOT) - WATER, SEWER IMPROVEMENTS, NEW ORLEANS.",1,NOV 5 EDITORIAL VOTED FOR; NOV 7 CHART AMBIGUOUS.,0.70
LA,Shreveport Times,118400,1972,LA,AMENDMENT,23,"PAVING ASSESSMENTS, NEW ORLEANS.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,23,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 23 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,24,"PARKING UTILITIES, NEW ORLEANS.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,24,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 24 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,25,"CORE AREA DEVELOPMENT DISTRICT, NEW ORLEANS.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,25,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 25 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,26,"CIVIL SERVICE, NEW ORLEANS CITY PARK.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,26,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 26 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,27,ORLEANS PARISH SCHOOL BOARD BONDS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,27,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 27 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,28,EAST BATON ROUGE FIRE PROTECTION DISTRICTS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,28,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 28 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,29,"ADDITIONAL GENERAL PROPERTY TAX, NEW ORLEANS.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,29,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 29 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,3,SPECIAL DEBT ASSUMPTION.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,3,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 3 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,30,"PUBLIC IMPROVEMENT DISTRICTS, KENNER.",0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,30,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 30 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,4,PROPERTY VALUATION FOR STATE AND LOCAL TAXATION.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,4,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 4 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,5,REPEAL CONSTITUTIONAL PROPERTY VALUATION REQUIREMENT.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,5,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 5 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,6,ORLEANS LEVEE DISTRICT HURRICANE PROTECTION.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,6,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 6 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
LA,Shreveport Times,118400,1972,LA,AMENDMENT,7,REVISION OF THE CONSTITUTIONAL ARTICLE ON ELECTIONS.,0,TIMES: VOTE AGAINST.,0.85
LA,Shreveport Times,118400,1972,LA,AMENDMENT,7,LOUISIANA CONSTITUTIONAL AMENDMENT NO. 7 (1972 BALLOT).,0,TIMES RECOMMENDS CHART: AGAINST.,0.95
