state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
MA,Boston Globe,119300,1966,SENATOR,,,MA,"BROOKE, EDWARD W.",Republican,1,,,,MA Attorney General; on Vietnam Brooke's posture seems the better way to get peace; close to draw on civil rights and performance in office; Globe rejects white backlash voting,0.95
MA,Boston Globe,119300,1966,SENATOR,,,MA,"PEABODY, ENDICOTT",Democrat,0,,,,former Governor; fine reform record but supports administration position on Vietnam including bombing/escalation; Globe sees Brooke's Vietnam position as better,0.95
MA,Boston Globe,119300,1974,GOVERNOR,,,MA,"SARGENT, FRANCIS W.",Republican,1,,1,,incumbent Governor; Globe endorsement in final review,0.95
MA,Boston Globe,119300,1974,ATTORNEY GENERAL,,,MA,"SPAULDING, JOSIAH A.",Republican,1,,,,Globe endorsement for Attorney General in final review,0.95
MA,Boston Globe,119300,1974,SEC OF STATE,,,MA,"GUZZI, PAUL H.",Democrat,1,,,,Globe endorsement for Secretary of State in final review,0.95
MA,Boston Globe,119300,1974,H,5,,MA,"TSONGAS, PAUL E.",Democrat,1,,,,Globe endorsement for Congress 5th District,0.95
MA,Boston Globe,119300,1974,SHERIFF,,Middlesex,MA,"BUCKLEY, JOHN J.",Democrat,1,,,,"Globe endorsement for Middlesex County Sheriff  | V9 2026-06-21 NOTE CORRECTION: John J. Buckley was the MIDDLESEX County Sheriff (1970-1980), elected to a full term in 1974 over Walter J. Sullivan (Wikipedia/Harvard Crimson) — dname=Middlesex is CORRECT; the prior note erroneously said ""Suffolk."" Party Democrat confirmed.",0.95
MA,Boston Globe,119300,1982,SENATOR,,,MA,"KENNEDY, EDWARD M.",Democrat,1,1,,,incumbent US Senator; Globe endorsed in summary recap,0.95
MA,Boston Globe,119300,1982,GOVERNOR,,,MA,"DUKAKIS, MICHAEL S.",Democrat,1,,,,former Governor seeking comeback; Globe endorsed; not incumbent in 1982 (King D was incumbent),0.95
MA,Boston Globe,119300,1982,H,4,,MA,"FRANK, BARNEY",Democrat,1,1,,,incumbent Congressman 4th District; Globe endorsed,0.95
MA,Boston Globe,119300,1982,H,6,,MA,"TRIMARCO, THOMAS H.",Republican,1,,,,Globe endorsed for 6th District; challenger against incumbent Nicholas Mavroules D,0.95
MA,Boston Globe,119300,1982,H,7,,MA,"MARKEY, EDWARD J.",Democrat,1,1,,,incumbent Congressman 7th District; Globe endorsed,0.95
MA,Boston Globe,119300,1982,H,8,,MA,"O'NEILL, THOMAS P., JR.",Democrat,1,1,,,incumbent Speaker of the House 8th District (Tip O'Neill); Globe endorsed,0.95
MA,Boston Globe,119300,1982,H,9,,MA,"MOAKLEY, J. JOSEPH",Democrat,1,1,,,incumbent Congressman 9th District; Globe endorsed,0.95
MA,Boston Globe,119300,1982,H,10,,MA,"STUDDS, GERRY E.",Democrat,1,1,,,incumbent Congressman 10th District; Globe endorsed,0.95
MA,Boston Globe,119300,1984,PRESIDENT,,,MA,"MONDALE, WALTER F.",Democrat,1,,,,Globe endorsed for President,0.95
MA,Boston Globe,119300,1984,VICE PRESIDENT,,,MA,"FERRARO, GERALDINE",Democrat,1,,,,Globe endorsed for Vice President,0.95
MA,Boston Globe,119300,1984,SENATOR,,,MA,"KERRY, JOHN F.",Democrat,1,,,,"Globe endorsed for US Senate (open seat, Tsongas retiring)",0.95
MA,Boston Globe,119300,1984,H,1,,MA,"CONTE, SILVIO O.",Republican,1,,1,,incumbent Congressman 1st District (of Pittsfield); Globe endorsed,0.95
