state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
MI,Detroit Free Press,121300,1968,PRESIDENT,,United States,MI,"NIXON, RICHARD M.",Republican,1,,,,Free Press recommends for President,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,2,U.S. House Michigan District 2,MI,"ESCH, MARVIN L.",Republican,1,,1,,Endorsed; incumbent,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,12,U.S. House Michigan District 12,MI,"O'HARA, JAMES G.",Democrat,1,,,,Endorsed [V2: party filled from MI political history],0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,13,U.S. House Michigan District 13,MI,"BEAUREGARD, EUGENE",Democrat,1,,,,Endorsed [V2: party filled from MI political history],0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,14,U.S. House Michigan District 14,MI,"NEDZI, LUCIEN N.",Democrat,1,1,,,Endorsed; incumbent [V2: party filled from MI political history],0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,15,U.S. House Michigan District 15,MI,"BOYLE, JOHN F.",Democrat,1,,,,Endorsed [V2: party filled from MI political history],0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,H,17,U.S. House Michigan District 17,MI,"GRIFFITHS, MARTHA",Democrat,1,1,,,Endorsed; incumbent [V2: party filled from MI political history],0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,SUPREME COURT,,Michigan Supreme Court,MI,"KAVANAGH, THOMAS G.",Nonpartisan,1,,,,Endorsed for Michigan Supreme Court,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,COURT OF APPEALS,1,Michigan Court of Appeals,MI,"KAUFMAN, CHARLES",Nonpartisan,1,,,,Endorsed for Michigan Court of Appeals 1st District,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,COURT OF APPEALS,2,Michigan Court of Appeals,MI,"FOLEY, JOHN F.",Nonpartisan,1,,,,Endorsed for Michigan Court of Appeals 2nd District,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,STATE BOARD OF ED,,State Board of Education (MI),MI,"KELLY, MARILYN JEAN",Nonpartisan,1,,,1,Endorsed for Board of Education; incumbent,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,STATE BOARD OF ED,,State Board of Education (MI),MI,"TEN BRINK, JAMES",Nonpartisan,1,,,,Endorsed for Board of Education,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,REGENT,,University of Michigan Board of Regents,MI,"LINDEMER, LAWRENCE B.",Nonpartisan,1,,,,Endorsed for U of M Regents,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,REGENT,,University of Michigan Board of Regents,MI,"MATTHAEI, FRED JR.",Nonpartisan,1,,,1,Endorsed for U of M Regents; incumbent,0.90,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,TRUSTEE,,Michigan State University Board of Trustees,MI,"HUFF, WARREN M.",Nonpartisan,1,,,,Endorsed for MSU Trustees,0.9,,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,TRUSTEE,,Michigan State University Board of Trustees,MI,"MARTIN, BLANCHE",Nonpartisan,1,,,,Endorsed for MSU Trustees,0.9,,,,,pdf,,121300_19681104,
