state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
MI,Detroit Free Press,121300,1968,MI,PROPOSITION,1,State Proposal No. 1,1,Vote YES,0.75,OCR fragmented; description not clearly extractable,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,PROPOSITION,2,State Proposal No. 2,1,Vote YES,0.75,OCR fragmented; description not clearly extractable,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,PROPOSITION,3,State Proposal No. 3,1,Vote YES,0.75,OCR fragmented; description not clearly extractable,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,PROPOSITION,4,State Proposal No. 4,1,Vote YES,0.75,OCR fragmented; description not clearly extractable,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,PROPOSITION,5,State Proposal No. 5,1,Vote YES,0.75,OCR fragmented; description not clearly extractable,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,REFERENDUM,Wayne 1,Wayne County Proposal No. 1,1,Vote YES,0.75,OCR fragmented,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,REFERENDUM,Wayne 2,Wayne County Proposal No. 2,1,Vote YES,0.75,OCR fragmented,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,REFERENDUM,Detroit A,Detroit City Proposal A,1,Vote YES,0.75,OCR fragmented,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1968,MI,REFERENDUM,Detroit B,Detroit City Proposal B,1,Vote YES,0.75,OCR fragmented,,,,pdf,,121300_19681104,
MI,Detroit Free Press,121300,1970,MI,BOND,A,Housing bond issue,1,Vote YES,0.92,,,,,pdf,,121300_19701102,
MI,Detroit Free Press,121300,1970,MI,PROPOSITION,B,Lowering the voting age,1,Vote YES,0.92,,,,,pdf,,121300_19701102,
MI,Detroit Free Press,121300,1970,MI,PROPOSITION,C,Ending parochaid (state aid to non-public schools),1,Vote YES,0.92,,,,,pdf,,121300_19701102,
MI,Detroit Free Press,121300,1970,MI,PROPOSITION,D,City purchasing authority,1,Vote YES,0.92,,,,,pdf,,121300_19701102,
MI,Detroit Free Press,121300,1970,MI,PROPOSITION,E,Vietnam War advisory question,1,Vote YES,0.92,,,,,pdf,,121300_19701102,
MI,Detroit Free Press,121300,1972,MI,PROPOSITION,A,Daylight Saving Time,,Position not clearly read in OCR,0.65,OCR cut off vote recommendation,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1972,MI,PROPOSITION,B,Reform state abortion law,,Position not clearly read in OCR,0.65,OCR cut off vote recommendation,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1972,MI,PROPOSITION,C,End property tax for school financing,1,Vote YES,0.9,,,,,pdf,,121300_19721107,
MI,Detroit Free Press,121300,1972,MI,PROPOSITION,D,Permit a graduated state income tax,1,Vote YES,0.9,,,,,pdf,,121300_19721107,
MI,Detroit Free Press,121300,1972,MI,PROPOSITION,E,Veterans' bonus,0,Vote NO,0.9,,,,,pdf,,121300_19721107,
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Wayne B,Wayne County millage for jails,1,Vote YES,0.85,,,,,pdf,,121300_19721107,
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Wayne G,Wayne County millage for youth detention activities,1,Vote YES,0.85,,,,,pdf,,121300_19721107,
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Detroit H,Detroit Charter revision,,Position not clearly read in OCR,0.65,OCR fragmented,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Detroit I,Detroit Election of councilmen,,Position not clearly read in OCR,0.65,OCR fragmented,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Detroit J,Detroit Partisan or non-partisan election,,Position not clearly read in OCR,0.65,OCR fragmented,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Detroit K,Detroit Proposal K,,No position taken (paper: 'No position'),0.85,,,,,pdf,,121300_19721107,Missing endorsed
MI,Detroit Free Press,121300,1972,MI,REFERENDUM,Detroit L,Detroit School millage renewal,,Position not clearly read in OCR,0.65,OCR fragmented,,,,pdf,,121300_19721107,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1974,MI,PROPOSITION,A,Limiting use of funds accumulated through gas tax,0,Vote NO,0.9,,,,,pdf,,121300_19741105,
MI,Detroit Free Press,121300,1974,MI,PROPOSITION,B,Compensation increase for legislators,,Position not clearly read in OCR,0.65,OCR truncated label,,,,pdf,,121300_19741105,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1974,MI,PROPOSITION,C,Removal of the sales tax on food and drugs,0,Vote NO,0.9,,,,,pdf,,121300_19741105,
MI,Detroit Free Press,121300,1974,MI,BOND,D,Authorize $1.1 billion in bonds for state transportation systems,1,Vote YES,0.9,,,,,pdf,,121300_19741105,
MI,Detroit Free Press,121300,1974,MI,REFERENDUM,Detroit E,Charter Amendment E: Authorize Detroit City Council to sit as a board of review or appoint board for property tax assessments,0,Vote NO,0.9,,,,,pdf,,121300_19741105,
MI,Detroit Free Press,121300,1974,MI,REFERENDUM,Detroit F,Charter Amendment F: Require City Council approval for all city property purchases,1,Vote YES,0.9,,,,,pdf,,121300_19741105,
MI,Detroit Free Press,121300,1976,MI,PROPOSITION,A,Ban throwaway bottles/cans; deposit system,1,Vote YES,0.92,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1976,MI,PROPOSITION,B,Lower age for legislative candidacy from 21 to 18,0,Vote NO,0.92,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1976,MI,PROPOSITION,C,Limit all state taxes and spending to 8.3% of combined personal income of Michigan,0,Vote NO,0.9,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1976,MI,PROPOSITION,D,Replace flat-rate income tax with a graduated income tax,0,Vote NO,0.9,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1976,MI,REFERENDUM,E,"Five-year, five-mill property tax for Detroit schools",1,Vote YES,0.9,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1976,MI,REFERENDUM,Detroit F,Allow City Council to pick non-president member to serve on Board of Education,,OCR text truncated/unclear,0.65,,,,,pdf,,121300_19761101,Missing endorsed | Low confidence (0.65)
MI,Detroit Free Press,121300,1976,MI,REFERENDUM,Detroit G,Detroit charter amendment on regulated gambling casinos,0,Vote NO,0.9,,,,,pdf,,121300_19761101,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,A,Smith-Bullard tax proposal,0,Vote NO,0.9,,,,,pdf,,121300_19801104,
