state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,source_file
MI,Detroit News,121301,1968,MI,AMENDMENT,DETROIT-CHARTER-A,DETROIT POLICE/FIRE PENSION CHARTER AMENDMENT A,1,VOTE YES,0.92,,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BALLOT MEASURE,STATE-1,GRADUATED STATE AND LOCAL INCOME TAXES,,,0.65,Position not legible in OCR,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BALLOT MEASURE,STATE-2,DAYLIGHT SAVING TIME,1,VOTE YES,0.92,,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BALLOT MEASURE,STATE-RESIGN,REQUIRE LEGISLATORS TO RESIGN BEFORE RUNNING FOR OTHER STATE OFFICE,0,VOTE NO,0.92,,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BALLOT MEASURE,WAYNE-HOMERULE,WAYNE COUNTY HOME RULE,,,0.65,,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BOND,STATE-3,$335 MILLION BOND (DETAILS PARTIAL IN OCR),,,0.65,OCR partial,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,BOND,STATE-4,$100 MILLION BOND (DETAILS PARTIAL IN OCR),,,0.65,OCR partial,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,TAX,DETROIT-SCHOOL-B,DETROIT 10 MILL SCHOOL TAX INCREASE,1,VOTE YES,0.92,,121301_19681104.pdf
MI,Detroit News,121301,1968,MI,TAX,WCCC,WAYNE COUNTY COMMUNITY COLLEGE 2 MILL TAX,,,0.65,,121301_19681104.pdf
MI,Detroit News,121301,1970,MI,AMENDMENT,STATE-B,CHANGE MINIMUM VOTING AGE,,,0.65,Position not legible in OCR,121301_19701102.pdf
MI,Detroit News,121301,1970,MI,AMENDMENT,STATE-C,PROHIBIT PUBLIC AID TO NONPUBLIC SCHOOLS AND STUDENTS (PAROCHIAID),1,VOTE YES — paper opposed parochiaid,0.92,,121301_19701102.pdf
MI,Detroit News,121301,1970,MI,BALLOT MEASURE,DETROIT-D,"AUTHORIZE PURCHASE OF SUPPLIES UNDER $5,000",1,VOTE YES,0.92,,121301_19701102.pdf
MI,Detroit News,121301,1970,MI,BALLOT MEASURE,STATE-E,ADVISORY: WITHDRAWAL OF U.S. FORCES FROM VIETNAM,0,VOTE NO,0.92,,121301_19701102.pdf
MI,Detroit News,121301,1970,MI,BOND,STATE-A,BONDS FOR LOW INCOME HOUSING,1,VOTE YES,0.92,,121301_19701102.pdf
MI,Detroit News,121301,1972,MI,AMENDMENT,DETROIT-H,ADOPT NEW CITY CHARTER,0,VOTE NO,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,AMENDMENT,STATE-B,ALLOW ABORTION UNDER CERTAIN CONDITIONS,,,0.65,Position not legible in OCR,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,AMENDMENT,STATE-C,TUITION GRANTS / NON-PUBLIC SCHOOL FUNDING (CONSTITUTIONAL),0,VOTE NO,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,AMENDMENT,STATE-D,PROHIBIT INCOME TAX VIA CONSTITUTIONAL AMENDMENT,0,VOTE NO,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,BALLOT MEASURE,DETROIT-I,MANNER OF ELECTING CITY COUNCIL UNDER NEW CHARTER,1,VOTE ALTERNATE 'A' TO RETAIN AT-LARGE ELECTION,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,BALLOT MEASURE,DETROIT-J,PARTISAN VS NON-PARTISAN CITY ELECTIONS,1,VOTE NON-PARTISAN ELECTIONS,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,BALLOT MEASURE,DETROIT-K,GENERAL CITY EMPLOYEES ANNUITY OPTION,0,VOTE NO,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,BALLOT MEASURE,STATE-A,DAYLIGHT SAVING TIME,1,VOTE YES,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,BOND,STATE-E,BORROW/TUITION PAYMENTS FOR VIETNAM ERA VETERANS,0,VOTE NO,0.92,,121301_19721105.pdf
MI,Detroit News,121301,1972,MI,TAX,DETROIT-L,5 MILL PROPERTY TAX FOR DETROIT SCHOOL OPERATING,1,VOTE YES,0.92,,121301_19721105.pdf
