state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
MN,Mesabi Daily News,,1982,GOVERNOR,,,MN,"PERPICH, RUDY",Democrat,1,,,,"Believes Perpich is will do the best job of leading ""Minnesota out of its economic and psychological depression."" Mention that some people don't think Iron Rangers are ""sophisticated"" enough to lead the state, but polling suggests he's popular. Has already proven he can help people in tough times; ""Among them are increasing the state's budget for tourism, changing the state's general assistance welfare laws to all those unemployed workers who cannot find work to qualify or beneifts, developing a greater diversifcation of industry and promoting greater utilization of peat and bio-mass for energy."" Perpich cares about mining as well as the poor-off, including the disabled, women, and minorities. Also cares about education.",
MN,Mesabi Daily News,,1982,H,,,MN,"OBERSTAR, JIM",Democrat,1,,,,"93% labor voting record with the AFL-CIO; protects seniors with support for social security, Medicaid, and Medicare; fighting against BWCA expansion, protecting steelworkers with unemployment benefits and against foreign imports; supporting ""alternative energy systems"" and opposing nuclear for now; notable advocate for ""needy and middle America;"" opposes extravagant military spending.",
MN,Mesabi Daily News,,1982,SENATE,,,MN,"DAYTON, MARK",Democrat,1,,,,"""Voters justifiably resent the over $6 million in person wealth [Dayton] has poured into his campaign."" But Durenberger has a poor record on labor, with just a 40% voting record from the AFL-CIO and ""cut the 13-week extension of unemployment benefits that directly affected thousands of people on the Range."" Also Durenberger has voted multiple times to cut social security benefits as well as once to cut Medicare/Medicaid benefits AND to cut school lunch support; also voted against the Nuclear Freeze Resolution; endorsement appears to be against Durenberger rather than for Dayton.",
MN,Mesabi Daily News,,1986,STATE SEN,6,,MN,"JOHNSON, DOUG",Democrat,1,,,,"""Johnson holds the important position of chairman of the Senate Tax Committee;"" this role matters and will help lower business and commerical property taxes; the coming year the legislature will approve the two-year budget, so all of this matters.",
MN,Mesabi Daily News,,1986,STATE REP,6B,,MN,"BERGICH, JOE",Democrat,1,,,,Six-term incumbant who has previously helped to cut taconite taxes to make mining companies competitive; want him to create property tax relief next session.,
MN,Mesabi Daily News,,1986,STATE REP,5A,,MN,"RUKAVINA, TOM",Democrat,1,,,,"Candidates fighting to fill seat; ""Rukavina provides a good progressive outlook""; very short endorsement.",
MN,Mesabi Daily News,,1986,STATE SEN,5,,MN,"DICKLICH, RON",Democrat,1,,,,"Dicklich is unopposed; ""Dicklich is a hard worker for the Range as is evident in his recent effort on the part of the proposed Endotronics plant for Hibbing. He is a vital asset to the Range legislative delegation.""",
MN,Mesabi Daily News,,1986,H,,,MN,"OBERSTAR, JIM",Democrat,1,,,,"""Oberstar has been a hard worker for northeastern Minnesota in Washington who represents his constituency well."" Working to protect steel from foreign trade, although Senate and Reagan are making this difficult; ""But Oberstar has been effective in pushing through emergency legislation that ensures laid-off Reserve workers will receive the benefits due to them. Oberstar has also been instrumental in keeping intact federal programs to aid development in areas such as the Range that are going through tough economic times."" Oberstar opposes Reagan intervention in Nicaragua and Star Wars; wants to cut the steel trade deficit; mention Dave Rued would have less power as a freshman lawmaker; Oberstar is gaining more clout in Congress as he gains seniority.",
MN,Mesabi Daily News,,1986,GOVERNOR,,,MN,"PERPICH, RUDY",Democrat,1,,,,"Endorsement choice is easy. Perpich has made Minnesotans better off in the past four years. Ludeman is anti-government, but editorial contests not all government is bad; Perpich has created jobs and attracted business to the state; this has been particularly valuable to the Iron Range; Perpich ""has promised to lower state business and commercial tax rates in a second term."" Did the same with personal income tax first term.",
MN,Mesabi Daily News,,1988,SENATE,,,MN,"HUMPHREY, SKIP",Democrat,1,,,,"Close call endorsement. Humphrey wants cuts to military budget and ""getting the budget deficit under control."" This ""is essential to provide more domestic economic, educational and health care opportunities to all Americans."" Cut Star Wars. Applause for Durenberger on the enviroment and health care, where Humphrey also does well.",
MN,Mesabi Daily News,,1988,H,,,MN,"OBERSTAR, JIM",Democrat,1,,,,"Tribune likes the ""clout"" that Oberstar has. ""Currently in his seventh term as 8th District representative, Oberstar is moving into positions of clout in the House --- clout that can bring positive results for his home district."" Strong proponent of fair trade in the face of some countries being unfair, although White House is making this difficult. Oberstar was instrumental in the previous session in passing a basic trade bill; Oberstar's progressive-ness is good.",
