state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
MN,Minneapolis Star,123401,1960,CNTY COMM,1,Hennepin County,MN,"HANSON, RICHARD",,1,,,1,13 years; effective in financial matters and Glen Lake/welfare board,0.93
MN,Minneapolis Star,123401,1960,CNTY COMM,3,Hennepin County,MN,"SWANSON, ELWOOD",,1,,,1,2 years board service; former alderman,0.93
MN,Minneapolis Star,123401,1960,CNTY COMM,5,Hennepin County,MN,"AINSWORTH, EARL",,1,,,1,16 years service; road and bridge focus,0.93
MN,Minneapolis Star,123401,1960,H,3,,MN,"MACGREGOR, CLARK",Republican,1,,,,38-year-old attorney; enlightened program; favors civil rights and defense,0.95
MN,Minneapolis Star,123401,1960,H,3,,MN,"WIER, ROY",Democrat,0,1,,,Doesn't live in district; seldom attends campaign meetings,0.93
MN,Minneapolis Star,123401,1962,GOVERNOR,,,MN,"ANDERSEN, ELMER L.",Republican,1,,1,,Successful businessman; understands new industry; broader tax base support,0.94
MN,Minneapolis Star,123401,1962,H,3,,MN,"KELDSEN, IRVING R.",Democrat,0,,,,Former Richfield mayor; metropolitan area focus but MacGregor preferred,0.90
MN,Minneapolis Star,123401,1962,H,3,,MN,"MACGREGOR, CLARK",Republican,1,,1,,Re-elect; hard-working learning his job; right on Cuba,0.95
MN,Minneapolis Star,123401,1962,H,5,,MN,"FRASER, DONALD",Democrat,0,,,,Bright conscientious capable challenger but Judd preferred for foreign policy expertise,0.92
MN,Minneapolis Star,123401,1962,H,5,,MN,"JUDD, WALTER",Republican,1,,1,,11th term; trusted on foreign policy by Kennedy/Rusk; persuades colleagues,0.95
MN,Minneapolis Star,123401,1964,BOARD OF EQUALIZATION,,MN Railroad Warehouse Commission,MN,"PETERSON, P. K.",,1,,,,Preferred over incumbent,0.85
MN,Minneapolis Star,123401,1964,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,2,,MN,"NELSEN, ANCHER",Republican,1,,1,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,3,,MN,"MACGREGOR, CLARK",Republican,1,,1,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,4,,MN,"KARTH, JOSEPH",Democrat,1,1,,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,5,,MN,"FRASER, DONALD",Democrat,1,1,,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,6,,MN,"ODEGARD, ROBERT",Republican,1,,,,Merits election over incumbent Olson,0.91
MN,Minneapolis Star,123401,1964,H,6,,MN,"OLSON, ALEC",Democrat,0,1,,,Odegard preferred,0.88
MN,Minneapolis Star,123401,1964,H,7,,MN,"LANGEN, ODIN",Republican,1,,1,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,H,8,,MN,"BLATNIK, JOHN",Democrat,1,1,,,Should be re-elected,0.93
MN,Minneapolis Star,123401,1964,PRESIDENT,,,MN,"JOHNSON, LYNDON B.",Democrat,1,1,,,Effective service; policies more reassuring than opponent,0.95
MN,Minneapolis Star,123401,1964,SENATOR,,,MN,"MCCARTHY, EUGENE",Democrat,1,1,,,Clear edge over energetic challenger,0.94
MN,Minneapolis Star,123401,1964,SENATOR,,,MN,"WHITNEY, WHEELOCK",Republican,0,,,,Energetic challenger; McCarthy preferred,0.88
MN,Minneapolis Star,123401,1964,VICE PRESIDENT,,,MN,"HUMPHREY, HUBERT",Democrat,1,,,,Abler in government than Republican entry,0.94
MN,Minneapolis Star,123401,1966,AUDITOR,,,MN,"HANSEN, ROBERT",Democrat,0,,,,Former VFW commander; no reason to defeat King,0.85
MN,Minneapolis Star,123401,1966,AUDITOR,,,MN,"KING, STAFFORD",Republican,1,,,1,Longest-serving state official; reelect,0.92
MN,Minneapolis Star,123401,1966,GOVERNOR,,,MN,"LEVANDER, HAROLD",Republican,1,,,,Constructive proposals on every aspect; metropolitan problems concern,0.95
MN,Minneapolis Star,123401,1966,GOVERNOR,,,MN,"ROLVAAG, KARL",Democrat,0,1,,,Failed to provide vigorous imaginative leadership,0.92
MN,Minneapolis Star,123401,1966,JUDGE,,Hennepin County Court Commissioner,MN,"BESSESEN, FRANK",,0,,,1,Dissatisfaction with administration,0.88
MN,Minneapolis Star,123401,1966,JUDGE,,Hennepin County Court Commissioner,MN,"SIMONSON, DALE",Republican,1,,,,Vigorous 30-year-old attorney; substantial contribution to reforms,0.93
MN,Minneapolis Star,123401,1966,LT GOVERNOR,,,MN,"GOETZ, JAMES",Republican,1,,,,Match LeVander in vigor and philosophy,0.92
MN,Minneapolis Star,123401,1966,SENATOR,,,MN,"FORSYTHE, ROBERT",Republican,1,,,,8 years Washington experience; vigorous imaginative humorous campaign,0.93
MN,Minneapolis Star,123401,1966,SENATOR,,,MN,"MONDALE, WALTER",Democrat,0,1,,,Able man; comparable ability but Forsythe preferred for two-party balance,0.92
MN,Minneapolis Star,123401,1966,TREASURER,,,MN,"BJORNSON, VAL",Republican,1,,,1,Successful Republican vote-getter 14 years; sound job,0.92
MN,Minneapolis Star,123401,1966,TREASURER,,,MN,"CHRISTIANSON, HARLAN",Democrat,0,,,,Useful things said but Bjornson preferred,0.85
MN,Minneapolis Star,123401,1968,BOARD OF EQUALIZATION,,Moorhead engineer,MN,"NELSON, LYLE",,1,,,,Star recap,0.88
MN,Minneapolis Star,123401,1968,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,One of best congressmen Minnesota has sent; uncommon ability and willingness,0.95
MN,Minneapolis Star,123401,1968,H,2,,MN,"NELSEN, ANCHER",Republican,1,,1,,Re-elect,0.92
MN,Minneapolis Star,123401,1968,H,3,,MN,"MACGREGOR, CLARK",Republican,1,,1,,Re-elect,0.93
MN,Minneapolis Star,123401,1968,H,3,,MN,"STOKOWSKI, EUGENE",Democrat,0,,,,Former DFL leader Minneapolis alderman,0.88
MN,Minneapolis Star,123401,1968,H,4,,MN,"BARRETTE, EMERY",Republican,0,,,,Methodist minister state rep; dedicated but Karth preferred,0.88
MN,Minneapolis Star,123401,1968,H,4,,MN,"KARTH, JOSEPH",Democrat,1,1,,,10 years experience; chair House Space Sciences subcommittee,0.94
MN,Minneapolis Star,123401,1968,H,5,,MN,"FRASER, DONALD",Democrat,1,1,,,Strong support; consistent efforts education welfare conservation civil rights,0.95
MN,Minneapolis Star,123401,1968,H,5,,MN,"OGDAHL, HARMON",Republican,0,,,,Able experienced challenger but Fraser preferred,0.88
MN,Minneapolis Star,123401,1968,H,6,,MN,"JOHNSON, J. BUFORD",Democrat,0,,,,Intelligent student of public affairs but case insufficient,0.88
MN,Minneapolis Star,123401,1968,H,6,,MN,"ZWACH, JOHN",Republican,1,,1,,Energetic; agriculture education focus; conservative on spending,0.93
MN,Minneapolis Star,123401,1968,H,7,,MN,"BERGLAND, ROBERT",Democrat,1,,,,Roseau farmer; well-conceived program for rural America,0.93
MN,Minneapolis Star,123401,1968,H,7,,MN,"LANGEN, ODIN",Republican,0,,1,,10 years service but Bergland preferred,0.88
MN,Minneapolis Star,123401,1968,H,8,,MN,"BLATNIK, JOHN",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1968,PRESIDENT,,,MN,"HUMPHREY, HUBERT",Democrat,1,,,,Better suited for leading nation,0.95
MN,Minneapolis Star,123401,1968,VICE PRESIDENT,,,MN,"MUSKIE, EDMUND",Democrat,1,,,,Better suited,0.94
MN,Minneapolis Star,123401,1970,ATTORNEY GENERAL,,,MN,"FORSYTHE, ROBERT",Republican,1,,,,Star recap,0.93
MN,Minneapolis Star,123401,1970,AUDITOR,,,MN,"HATFIELD, ROLLAND",,1,,,,Star recap,0.92
MN,Minneapolis Star,123401,1970,BOARD OF EQUALIZATION,,Public Service Commissioner,MN,"ANDERSON, RON",,1,,,,Star recap,0.88
MN,Minneapolis Star,123401,1970,CNTY COMM,2,Hennepin County,MN,"PROVO, JACK M.",,1,,,,Star recap,0.91
MN,Minneapolis Star,123401,1970,CNTY COMM,4,Hennepin County,MN,"SCOTT, MRS. I. G.",,1,,,,Star recap,0.91
MN,Minneapolis Star,123401,1970,DA/PROSECUTOR,,Hennepin County,MN,"SCOTT, GEORGE M.",,1,,,,Star recap,0.91
MN,Minneapolis Star,123401,1970,GOVERNOR,,,MN,"HEAD, DOUGLAS",Republican,1,,,,Unity at top of state administration,0.93
MN,Minneapolis Star,123401,1970,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,2,,MN,"NELSEN, ANCHER",Republican,1,,1,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,3,,MN,"FRENZEL, WILLIAM",Republican,1,,,,Star recap,0.93
MN,Minneapolis Star,123401,1970,H,4,,MN,"KARTH, JOSEPH",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,5,,MN,"FRASER, DONALD",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,6,,MN,"ZWACH, JOHN",Republican,1,,1,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,7,,MN,"BERGLAND, ROBERT",Democrat,1,,,,Star recap,0.94
MN,Minneapolis Star,123401,1970,H,8,,MN,"BLATNIK, JOHN",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1970,LT GOVERNOR,,,MN,"BOO, BEN",Republican,1,,,,Star recap,0.92
MN,Minneapolis Star,123401,1970,SEC OF STATE,,,MN,"ERDAHL, ARLEN",Republican,1,,,,Star recap,0.92
MN,Minneapolis Star,123401,1970,SENATOR,,,MN,"HUMPHREY, HUBERT",Democrat,1,,,,Star recap endorsement,0.95
MN,Minneapolis Star,123401,1970,SHERIFF,,Hennepin County,MN,"KRUEGER, RUSSELL",,1,,,,Star recap,0.91
MN,Minneapolis Star,123401,1970,TREASURER,,,MN,"BJORNSON, VAL",Republican,1,,,1,Star recap,0.92
MN,Minneapolis Star,123401,1972,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,Star recap,0.94
MN,Minneapolis Star,123401,1972,H,3,,MN,"FRENZEL, WILLIAM",Republican,1,,1,,Star recap,0.93
MN,Minneapolis Star,123401,1972,H,4,,MN,"KARTH, JOSEPH",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1972,H,5,,MN,"FRASER, DONALD",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1972,H,6,,MN,"NOLAN, RICHARD",Democrat,1,,,,DFL challenger preferred over Zwach,0.92
MN,Minneapolis Star,123401,1972,H,6,,MN,"ZWACH, JOHN",Republican,0,,1,,Star recap - Nolan preferred,0.88
MN,Minneapolis Star,123401,1972,H,7,,MN,"BERGLAND, ROBERT",Democrat,1,1,,,Star recap,0.94
MN,Minneapolis Star,123401,1972,H,8,,MN,"BLATNIK, JOHN",Democrat,1,1,,,Star recap,0.94
