state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
MN,Minneapolis Tribune,123402,1920,GOVERNOR,,,MN,"HODGSON, L. C.",Democrat,0,,,,1920 governor ballot,0.82
MN,Minneapolis Tribune,123402,1920,GOVERNOR,,,MN,"PREUS, J. A. O.",Republican,1,,,,1920 governor candidate ballot,0.85
MN,Minneapolis Tribune,123402,1920,GOVERNOR,,,MN,"SAMSON, PETER J.",Socialist,0,,,,1920 governor ballot,0.82
MN,Minneapolis Tribune,123402,1920,GOVERNOR,,,MN,"SHIPSTEAD, HENRIK",Independent,0,,,,1920 governor ballot,0.82
MN,Minneapolis Tribune,123402,1962,GOVERNOR,,,MN,"ANDERSEN, ELMER L.",Republican,1,,1,,Whats at stake in state races - implicit re-elect,0.88
MN,Minneapolis Tribune,123402,1962,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,Contests for Congress recap,0.93
MN,Minneapolis Tribune,123402,1962,H,2,,MN,"NELSEN, ANCHER",Republican,1,,1,,Recap,0.93
MN,Minneapolis Tribune,123402,1962,H,3,,MN,"MACGREGOR, CLARK",Republican,1,,1,,Recap,0.93
MN,Minneapolis Tribune,123402,1962,H,4,,MN,"KARTH, JOSEPH",Democrat,1,1,,,Recap,0.93
MN,Minneapolis Tribune,123402,1962,H,5,,MN,"FRASER, DONALD",Democrat,0,,,,Challenger but Judd preferred for foreign policy expertise,0.90
MN,Minneapolis Tribune,123402,1962,H,5,,MN,"JUDD, WALTER",Republican,1,,1,,5th District; widely regarded as key man on foreign policy,0.94
MN,Minneapolis Tribune,123402,1962,H,7,,MN,"LANGEN, ODIN",Republican,1,,1,,Recap,0.92
MN,Minneapolis Tribune,123402,1962,H,8,,MN,"BLATNIK, JOHN",Democrat,1,1,,,Recap,0.93
MN,Minneapolis Tribune,123402,1964,H,1,,MN,"QUIE, ALBERT",Republican,1,,1,,Re-elect on basis of records,0.94
MN,Minneapolis Tribune,123402,1964,H,2,,MN,"NELSEN, ANCHER",Republican,1,,1,,Re-elect,0.93
