state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
MT,Great Falls Tribune,125500,1952,PRESIDENT,,,MT,"STEVENSON, ADLAI",Democrat,1,,,,"Editorial 'Election Finale Is at Hand' — endorses Stevenson, citing Democratic party as 'party of the people'",0.95
MT,Great Falls Tribune,125500,1954,H,1,,MT,"MANSFIELD, MIKE",Democrat,1,1,,,"Editorial 'We Recommend Democrats' — endorses Mansfield (now in House, formerly Senate seat per text; actually Mansfield was H-1 incumbent moving to Senate in 1952; this 1954 editorial may be confusing him with H-1 race)",0.85
MT,Great Falls Tribune,125500,1954,H,1,,MT,"METCALF, LEE",Democrat,1,1,,,Editorial 'We Recommend Democrats' — endorses Metcalf for re-election in House,0.95
MT,Great Falls Tribune,125500,1954,H,2,,MT,"ANDERSON, LEROY",Democrat,1,,,,Editorial 'We Recommend Democrats' — endorses Anderson for House Eastern district (HI-2),0.95
MT,Great Falls Tribune,125500,1954,SENATOR,,,MT,"MURRAY, JAMES E.",Democrat,1,1,,,Editorial 'The Signs Are Democratic' — endorses Murray as part of Democratic team to give MT senators in majority for Interior committee chairmanship,0.92
MT,Great Falls Tribune,125500,1964,PRESIDENT,,,MT,"JOHNSON, LYNDON B.",Democrat,1,1,,,'We Endorse President Johnson' editorial — endorses LBJ for full term,0.98
MT,Great Falls Tribune,125500,1964,SENATOR,,,MT,"MANSFIELD, MIKE",Democrat,1,1,,,"'As Full-Time Montana Senator, Mansfield Deserves Re-election' editorial — endorses Mansfield as Senate Majority Leader",0.98
MT,Great Falls Tribune,125500,1966,ASSESSOR,,Cascade County,MT,"SELTZER, CARL",,1,1,,,Recommends Seltzer for re-election as Cascade County assessor,0.94
MT,Great Falls Tribune,125500,1966,DA/PROSECUTOR,,Cascade County,MT,"DALY, GENE",,1,,,,Endorses Daly for Cascade County Attorney — opposing smear campaign by Linnell group,0.94
MT,Great Falls Tribune,125500,1966,H,1,,MT,"OLSEN, ARNOLD",Democrat,1,1,,,Endorses Olsen for western district House re-election (with 'admitted lack of enthusiasm'),0.94
MT,Great Falls Tribune,125500,1966,H,1,,MT,"SMILEY, RICHARD",Republican,0,,,,Mentioned as Olsen's opponent — too conservative,0.85
MT,Great Falls Tribune,125500,1966,H,2,,MT,"BATTIN, JAMES F.",Republican,1,,1,,Endorses Battin for eastern district House despite conservative record — Ways and Means Committee seniority valuable for Montana,0.95
MT,Great Falls Tribune,125500,1966,H,2,,MT,"MELCHER, JOHN",Democrat,0,,,,Mentioned as Battin's opponent; Tribune endorsed Battin instead,0.85
MT,Great Falls Tribune,125500,1966,PUBLIC SERVICE COMMISSION,,,MT,"BOEDECKER, LOU",Democrat,1,1,,,"Endorses Boedecker for 6-year RR/PSC term (incumbent chairman, experience over Garrett)",0.96
MT,Great Falls Tribune,125500,1966,PUBLIC SERVICE COMMISSION,,,MT,"CANNON, PAUL",Democrat,0,,,,Mentioned as Steel's opponent,0.85
MT,Great Falls Tribune,125500,1966,PUBLIC SERVICE COMMISSION,,,MT,"GARRETT, GARY F.",Republican,0,,,,Mentioned as Boedecker's opponent,0.85
MT,Great Falls Tribune,125500,1966,PUBLIC SERVICE COMMISSION,,,MT,"STEEL, ERNEST C.",Republican,1,,,,Endorses Steel for 2-year term on MT Railroad and Public Service Commission,0.97
MT,Great Falls Tribune,125500,1966,SENATOR,,,MT,"BABCOCK, TIM",Republican,0,,,,Mentioned as Metcalf's opponent — Tribune did not endorse despite preferring LtGov James to succeed him,0.92
MT,Great Falls Tribune,125500,1966,SENATOR,,,MT,"METCALF, LEE",Democrat,1,1,,,'A cold analysis of the record clearly favors Metcalf' — Part III conclusion of Metcalf vs Babcock series,0.97
MT,Great Falls Tribune,125500,1966,SHERIFF,,Cascade County,MT,"KRSUL, JOHN",,1,1,,,Endorses Krsul for Cascade County Sheriff — considered one of best sheriffs in county history,0.94
MT,Great Falls Tribune,125500,1966,SUPREME COURT,,,MT,"HARRISON, JOHN C.",,1,,,1,Endorse Harrison for re-election; written 100+ opinions in 6 years,0.96
MT,Great Falls Tribune,125500,1968,ATTORNEY GENERAL,,,MT,"DALY, GENE B.",Democrat,1,,,,Cascade County Attorney 10 years,0.96
MT,Great Falls Tribune,125500,1968,ATTORNEY GENERAL,,,MT,"WOODAHL, ROBERT L.",Republican,0,,,,Teton County Attorney,0.92
MT,Great Falls Tribune,125500,1968,AUDITOR,,,MT,"OMHOLT, E. V. (SONNY)",Republican,1,,1,,State auditor since 1962 unopposed,0.97
MT,Great Falls Tribune,125500,1968,GOVERNOR,,,MT,"ANDERSON, FORREST",Democrat,1,,,,We lean to Forrest Anderson - AG running for Gov,0.93
MT,Great Falls Tribune,125500,1968,GOVERNOR,,,MT,"BABCOCK, TIM",Republican,0,1,,,7-year incumbent criticized,0.93
MT,Great Falls Tribune,125500,1968,GOVERNOR,,,MT,"MONTGOMERY, WAYNE",New Reform,0,,,,Not serious contender,0.85
MT,Great Falls Tribune,125500,1968,H,1,,MT,"OLSEN, ARNOLD",Democrat,1,1,,,A Nod to Olsen - 5th term,0.95
MT,Great Falls Tribune,125500,1968,H,1,,MT,"SMILEY, RICHARD",Republican,0,,,,Bozeman conservative,0.88
MT,Great Falls Tribune,125500,1968,H,2,,MT,"BATTIN, JAMES F.",Republican,1,1,,,Eastern district incumbent,0.95
MT,Great Falls Tribune,125500,1968,H,2,,MT,"KELLEHER, ROBERT L.",Democrat,0,,,,Battin challenger,0.85
MT,Great Falls Tribune,125500,1968,LT GOVERNOR,,,MT,"JUDGE, TOM",Democrat,1,,,,An Easy Choice - voting record analysis,0.95
MT,Great Falls Tribune,125500,1968,LT GOVERNOR,,,MT,"SELSTAD, TOM",Republican,0,,,,Senator No nickname,0.92
MT,Great Falls Tribune,125500,1968,PRESIDENT,,,MT,"HUMPHREY, HUBERT H.",Democrat,1,,,,We favor Humphrey - compassion Muskie VP,0.96
MT,Great Falls Tribune,125500,1968,PRESIDENT,,,MT,"NIXON, RICHARD M.",Republican,0,,,,Not endorsed - emotional arms race,0.95
MT,Great Falls Tribune,125500,1968,PRESIDENT,,,MT,"WALLACE, GEORGE",American Independent,0,,,,Considered racist and demagogue,0.97
MT,Great Falls Tribune,125500,1968,PUBLIC SERVICE COMMISSION,,,MT,"ANDERSON, HENRY H.",Democrat,0,,,,State Treasurer running for PSC,0.90
MT,Great Falls Tribune,125500,1968,PUBLIC SERVICE COMMISSION,,,MT,"STEEL, ERNEST C.",Republican,1,1,,,6-year MT RR/PSC term,0.96
MT,Great Falls Tribune,125500,1968,SEC OF STATE,,,MT,"GUFFEY, ELIZABETH B.",Republican,0,,,,Challenger to Murray,0.85
MT,Great Falls Tribune,125500,1968,SEC OF STATE,,,MT,"MURRAY, FRANK",Democrat,1,1,,,Sec of State since 1957,0.97
MT,Great Falls Tribune,125500,1968,TREASURER,,,MT,"CANNON, PAUL",Democrat,0,,,,Former Lt Gov,0.92
MT,Great Falls Tribune,125500,1968,TREASURER,,,MT,"STEPHENSON, ALEX B.",Republican,1,,,,Former MT Highway Patrol supervisor,0.96
MT,Great Falls Tribune,125500,1970,ASSESSOR,,Cascade County,MT,"SELTZER, CARL",Republican,1,1,,,County Assessor re-elect,0.96
MT,Great Falls Tribune,125500,1970,CNTY COMM,,Cascade County,MT,"SHUBAT, ED",Democrat,1,1,,,County Commissioner re-elect,0.96
MT,Great Falls Tribune,125500,1970,DA/PROSECUTOR,,Cascade County,MT,"BOURDEAU, FRED",Democrat,1,1,,,County Attorney - appointed earlier this year,0.94
MT,Great Falls Tribune,125500,1970,DA/PROSECUTOR,,Cascade County,MT,"NEILL, KENNETH",Republican,0,,,,Not endorsed,0.88
MT,Great Falls Tribune,125500,1970,H,2,,MT,"MELCHER, JOHN",Democrat,1,1,,,"Eastern District - veterinarian, impressive record on agriculture",0.95
MT,Great Falls Tribune,125500,1970,H,2,,MT,"REHBERG, JACK",Republican,0,,,,Not endorsed - based campaign on anti-Melcher,0.90
MT,Great Falls Tribune,125500,1970,PUBLIC SERVICE COMMISSION,,,MT,"CANNON, PAUL",Democrat,0,,,,"73 years old, multiple unsuccessful bids",0.92
MT,Great Falls Tribune,125500,1970,PUBLIC SERVICE COMMISSION,,,MT,"LANGLEY, ALFRED C.",Republican,1,,,,Endorses Langley for RR/PSC,0.95
MT,Great Falls Tribune,125500,1970,SENATOR,,,MT,"MANSFIELD, MIKE",Democrat,1,1,,,We Endorse Mansfield - Majority Leader 10 years,0.98
MT,Great Falls Tribune,125500,1970,STATE REP,,,MT,"FASBENDER, LARRY",,1,,,,Cascade County state House re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE REP,,,MT,"GUNDERSON, JACK",,1,,,,Cascade County state House re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE REP,,,MT,"HALL, JOHN C.",,1,,,,Cascade County state House re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE REP,,,MT,"NYQUIST, IRVING M.",,1,,,,Cascade County state House re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE REP,,,MT,"STRATTON, SCOTT B.",,1,,,,Cascade County state House re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE SENATOR,,,MT,"BERTSCHE, WILLIAM H.",,1,,,,Cascade County state senate re-elect,0.92
MT,Great Falls Tribune,125500,1970,STATE SENATOR,,,MT,"GILFEATHER, P. J.",,1,,,,Cascade County state senate re-elect,0.92
MT,Great Falls Tribune,125500,1970,SUPREME COURT,,Associate Justice No. 3,MT,"CASTLES, WESLEY",,1,1,,,Tend to favor Castles for experience,0.85
MT,Great Falls Tribune,125500,1970,SUPREME COURT,,Associate Justice No. 1,MT,"DALY, GENE",,1,1,,,Endorses Daly - former Cascade County Attorney,0.96
MT,Great Falls Tribune,125500,1970,SUPREME COURT,,Associate Justice No. 1,MT,"HOLT, HAROLD L.",,0,,,,Missoula attorney,0.88
MT,Great Falls Tribune,125500,1970,SURVEYOR,,Cascade County,MT,"BATISTA, ROBERT (BOB)",Democrat,0,,,,Asst county surveyor,0.88
MT,Great Falls Tribune,125500,1970,SURVEYOR,,Cascade County,MT,"HANSON, ROBERT (BOB)",Republican,1,,,,County Surveyor - graduate engineer,0.94
MT,Great Falls Tribune,125500,1972,ATTORNEY GENERAL,,,MT,"SHEEHY, JOHN C.",Democrat,1,,,,Sheehy probably more able and better candidate,0.85
MT,Great Falls Tribune,125500,1972,ATTORNEY GENERAL,,,MT,"WOODAHL, ROBERT",Republican,0,1,,,Incumbent - courage but Sheehy more able,0.85
MT,Great Falls Tribune,125500,1972,AUDITOR,,,MT,"OMHOLT, E. V. (SONNY)",Republican,1,1,,,Unopposed third term,0.95
MT,Great Falls Tribune,125500,1972,GOVERNOR,,,MT,"JUDGE, TOM",Democrat,1,,,,For Governor-Tom Judge - knowledge of state government,0.96
MT,Great Falls Tribune,125500,1972,GOVERNOR,,,MT,"SMITH, ED",Republican,0,,,,Little knowledge of government,0.92
MT,Great Falls Tribune,125500,1972,H,1,,MT,"OLSEN, ARNOLD",Democrat,0,,,,Five undistinguished terms,0.88
MT,Great Falls Tribune,125500,1972,H,1,,MT,"SHOUP, RICHARD",Republican,1,1,,,Western district - by default over Olsen,0.90
MT,Great Falls Tribune,125500,1972,H,2,,MT,"MELCHER, JOHN",Democrat,1,1,,,Eastern district - re-elect for 3rd term,0.96
MT,Great Falls Tribune,125500,1972,PRESIDENT,,,MT,"NIXON, RICHARD M.",Republican,1,,1,,"For President - Nixon merits re-election (Vietnam wind-down, SALT, China)",0.97
MT,Great Falls Tribune,125500,1972,SENATOR,,,MT,"HIBBARD, HENRY (HANK)",Republican,0,,,,Strongest GOP candidate since 1954 but disappointed by his campaign distortions,0.93
MT,Great Falls Tribune,125500,1972,SENATOR,,,MT,"METCALF, LEE",Democrat,1,1,,,The choice has to be Metcalf,0.97
