state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
MT,Great Falls Tribune,125500,1952,MT,INITIATIVE,55,Initiative No. 55 — additional gas tax revenues to match federal aid for highway construction,1,Initiative 55 is nonpartisan; designed to meet state deficit in matching federal highway aid,0.95
MT,Great Falls Tribune,125500,1964,MT,AMENDMENT,,Constitutional amendment to equalize judges' salaries — allowing legislature to equalize salaries of Supreme Court and District Court judges during their term,1,'Constitutional Amendment Deserves Montana Approval' editorial — endorses YES on judicial salary equalization,0.97
MT,Great Falls Tribune,125500,1966,MT,AMENDMENT,,Continuity of Government Amendment — allows legislature to continue government during enemy attack emergencies,1,'Tribune supports the amendment and urges Montana voters to approve it',0.97
MT,Great Falls Tribune,125500,1966,MT,REFERENDUM,64,Continue three-cent-per-package cigarette tax (Referendum 64) to finance state buildings,1,Tribune supports despite reservations — state building funds urgently needed,0.95
MT,Great Falls Tribune,125500,1968,MT,AMENDMENT,1,Allow legislature to raise pay of public officials during terms,1,Yes on all 3 amendments,0.97
MT,Great Falls Tribune,125500,1968,MT,AMENDMENT,2,Extend legislative session 60 to 80 days,1,Yes,0.97
MT,Great Falls Tribune,125500,1968,MT,AMENDMENT,3,Allow up to 6 amendments per election rather than 3,1,Yes,0.97
MT,Great Falls Tribune,125500,1968,MT,INITIATIVE,66,Initiative 66 reduce personal property tax assessments to 1pct,0,We Recommend No on Initiative 66,0.95
MT,Great Falls Tribune,125500,1968,MT,REFERENDUM,65,Referendum 65,1,Yes,0.93
MT,Great Falls Tribune,125500,1970,MT,AMENDMENT,,Executive Reorganization - reduce 161 bureaus to 20 departments,1,20 is plenty - vote yes,0.96
MT,Great Falls Tribune,125500,1970,MT,AMENDMENT,,Allow Legislature to submit more than 3 amendments at general election,1,Yes on multiple amendments,0.95
MT,Great Falls Tribune,125500,1970,MT,AMENDMENT,,19-year-old voting amendment,1,Yes on 19-year-old vote,0.96
MT,Great Falls Tribune,125500,1970,MT,REFERENDUM,67,Call state constitutional convention to rewrite 1889 constitution,1,Tribune enthusiastically endorses,0.97
MT,Great Falls Tribune,125500,1976,MT,AMENDMENT,3,Constitutional Amendment No. 3 - coal trust fund,1,Recap - For,0.93
MT,Great Falls Tribune,125500,1976,MT,BOND,,Cascade County Multi-Purpose Building bond,1,Recap - For,0.95
MT,Great Falls Tribune,125500,1976,MT,BOND,,Great Falls High School District A bond election,1,Recap - For,0.93
MT,Great Falls Tribune,125500,1976,MT,CHARTER,,City of Great Falls - retain existing commission form of government,1,Retain city commission - voted 4-1 in 1973,0.95
