state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NE,Lincoln Journal Star,126150,2008,PRESIDENT,,,NE,"MCCAIN, JOHN",Republican,1,,,,PRESIDENT,0.98
NE,Lincoln Journal Star,126150,2008,SENATOR,,,NE,"JOHANNS, MIKE",Republican,1,,,,U.S. SENATE,0.98
NE,Lincoln Journal Star,126150,2008,H,1,NE-1,NE,"FORTENBERRY, JEFF",Republican,1,,1,,U.S. HOUSE 1ST DISTRICT,0.97
NE,Lincoln Journal Star,126150,2008,STATE SENATOR,1,,NE,"HEIDEMANN, LAVON",,1,,,,NEBRASKA LEGISLATURE DISTRICT 1 (OFFICIALLY NONPARTISAN),0.93
NE,Lincoln Journal Star,126150,2008,STATE SENATOR,21,,NE,"HAAR, KEN",,1,,,,NEBRASKA LEGISLATURE DISTRICT 21 (OFFICIALLY NONPARTISAN),0.93
NE,Lincoln Journal Star,126150,2008,STATE SENATOR,25,,NE,"CAMPBELL, KATHY",,1,,,,NEBRASKA LEGISLATURE DISTRICT 25 (OFFICIALLY NONPARTISAN),0.93
NE,Lincoln Journal Star,126150,2008,STATE SENATOR,27,,NE,"MARVIN, DAN",,1,,,,NEBRASKA LEGISLATURE DISTRICT 27 (OFFICIALLY NONPARTISAN),0.93
NE,Lincoln Journal Star,126150,2008,STATE SENATOR,29,,NE,"FULTON, TONY",,1,,,,NEBRASKA LEGISLATURE DISTRICT 29 (OFFICIALLY NONPARTISAN),0.93
NE,Lincoln Journal Star,126150,2008,REGENT,1,,NE,"CLARE, TIM",,1,,,,UNIVERSITY OF NEBRASKA BOARD OF REGENTS DISTRICT 1,0.93
NE,Lincoln Journal Star,126150,2008,CNTY COMM,2,,NE,"HUDKINS, LARRY",,1,,,,LANCASTER COUNTY BOARD DISTRICT 2,0.93
NE,Lincoln Journal Star,126150,2008,CNTY COMM,4,,NE,"HEIER, BERNIE",,1,,,,LANCASTER COUNTY BOARD DISTRICT 4,0.93
NE,Lincoln Journal Star,126150,2008,NPPD,SUB-1,,NE,"RASMUSSEN, DENNIS",,1,,,,NEBRASKA PUBLIC POWER DISTRICT SUBDIVISION 1,0.9
NE,Lincoln Journal Star,126150,2008,NPPD,SUB-2,,NE,"HARDING, MARY",,1,,,,NEBRASKA PUBLIC POWER DISTRICT SUBDIVISION 2,0.9
NE,Lincoln Journal Star,126150,2008,NRD,5,,NE,"SCHLITT, DAN",,1,,,,LOWER PLATTE SOUTH NRD DISTRICT 5,0.9
NE,Lincoln Journal Star,126150,2008,NRD,6,,NE,"SAMUELSON, DOUG",,1,,,,LOWER PLATTE SOUTH NRD DISTRICT 6,0.9
NE,Lincoln Journal Star,126150,2008,CMTY COLLEGE,3,,NE,"FEIT, ROBERT",,1,,,,SOUTHEAST COMMUNITY COLLEGE BOARD DISTRICT 3,0.9
