state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NE,Lincoln Journal,126151,1960,PRESIDENT,,,NE,"NIXON, RICHARD",Republican,1,,,,PRESIDENTIAL TICKET: RICHARD NIXON AND HENRY CABOT LODGE (OCT. 23),0.95
NE,Lincoln Journal,126151,1960,VP,,,NE,"LODGE, HENRY CABOT",Republican,1,,,,PRESIDENTIAL TICKET: RICHARD NIXON AND HENRY CABOT LODGE (OCT. 23),0.95
NE,Lincoln Journal,126151,1960,SENATOR,,,NE,"CURTIS, CARL",Republican,1,,1,,U.S. SENATOR (OCT. 23),0.9
NE,Lincoln Journal,126151,1960,H,1,,NE,"WEAVER, PHIL",Republican,1,,1,,CONGRESS FIRST DISTRICT (OCT. 23),0.9
NE,Lincoln Journal,126151,1960,H,2,,NE,"CUNNINGHAM, GLENN",Republican,1,,1,,CONGRESS SECOND DISTRICT (OCT. 23),0.9
NE,Lincoln Journal,126151,1960,H,3,,NE,"BROCK, LARRY",Democrat,1,,,,CONGRESS THIRD DISTRICT (OCT. 23),0.9
NE,Lincoln Journal,126151,1960,H,4,,NE,"MCGINLEY, DONALD",Democrat,1,1,,,CONGRESS FOURTH DISTRICT (OCT. 23),0.9
NE,Lincoln Journal,126151,1960,GOVERNOR,,,NE,"MORRISON, FRANK",Democrat,1,,,,GOVERNOR (OCT. 27),0.9
NE,Lincoln Journal,126151,1960,LT GOVERNOR,,,NE,"BURNEY, DWIGHT",Republican,1,,,,LIEUTENANT GOVERNOR (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,SEC OF STATE,,,NE,"MARSH, FRANK",Republican,1,,,,SECRETARY OF STATE (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,AUDITOR,,,NE,"JOHNSON, RAY C.",Republican,1,,,,AUDITOR (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,TREASURER,,,NE,"SWANSON, CLARENCE L. E.",Republican,1,,,,STATE TREASURER (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,ATTORNEY GENERAL,,,NE,"MOYER, CLARENCE",Republican,1,,,,ATTORNEY GENERAL (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,RAILWAY COMM,,,NE,"LARSON, RICHARD H.",Republican,1,,,,RAILWAY COMMISSIONER (OCT. 29),0.9
NE,Lincoln Journal,126151,1960,STATE SENATOR,18,,NE,"KNIGHT, GEORGE",,1,,,,LEGISLATURE 18TH DISTRICT (NOV. 2) - NEBRASKA UNICAMERAL NONPARTISAN,0.85
