state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,1,PROVIDE FOR EMERGENCY STATE AND LOCAL GOVERNMENTAL OPERATIONS IN TIME OF ENEMY ATTACK,1,JOURNAL RECOMMENDS FOR (OCT. 22),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,1 EXTRAORDINARY,ALLOW CITIES VILLAGES OR COUNTIES TO ISSUE REVENUE BONDS AT NO RISK TO TAXPAYERS FOR DEVELOPMENT OF INDUSTRIAL SITES,1,INDUSTRIAL DEVELOPMENT AMENDMENT - JOURNAL RECOMMENDS FOR (OCT. 24),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,2,ALLOW NEBRASKA CORPORATIONS TO SELL PREFERRED STOCK WHICH DOES NOT HAVE VOTING RIGHTS AND WHICH IS NOT OF EQUAL PAR VALUE OF ALL STOCK IN COMPANY,1,JOURNAL RECOMMENDS FOR (OCT. 19),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,3,AUTHORIZE LEGISLATURE TO PROVIDE DIFFERENT METHOD OF TAXING LIVESTOCK,1,JOURNAL RECOMMENDS FOR (OCT. 19),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,4,PERMIT LEGISLATURE TO PRESCRIBE MANNER OF CONTESTING ELECTIONS,1,JOURNAL RECOMMENDS FOR (OCT. 21),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,5,AUTHORIZE LEGISLATURE TO EXEMPT FROM TAXATION GOODS TEMPORARILY STORED IN NEBRASKA,1,JOURNAL RECOMMENDS FOR (OCT. 19),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,6,ALLOW MORE THAN ONE COUNTY JUDGE IN COUNTY AND FOR DISTRICTS OF MORE THAN ONE COUNTY SERVED BY ONE JUDGE,1,JOURNAL RECOMMENDS FOR (OCT. 20),0.85
NE,Lincoln Journal,126151,1960,NE,AMENDMENT,7,SET SALARY OF STATE LEGISLATORS AT 200 DOLLARS A MONTH,1,JOURNAL RECOMMENDS FOR (OCT. 21),0.85
NE,Lincoln Journal,126151,1960,NE,BALLOT MEASURE,,ESTABLISH SEPARATE JUVENILE COURT IN LANCASTER COUNTY,1,JOURNAL RECOMMENDS YES ON JUVENILE COURT (OCT. 31),0.9
NE,Lincoln Journal,126151,1960,NE,INITIATIVE,301,PROPOSED AMENDMENT TO CONSTITUTION BY INITIATIVE PETITION - REPLACE PRESENT ELECTED STATE BOARD OF EDUCATION WITH SINGLE ELECTED COMMISSIONER OF EDUCATION,0,JOURNAL RECOMMENDS AGAINST (OCT. 25),0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,1,PERMIT FREE DRAWINGS OR GIFT ENTERPRISES UNDER CERTAIN CONDITIONS,0,JOURNAL POSITION: AGAINST,0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,2,ELECT MEMBERS OF STATE RAILWAY COMMISSION FROM DISTRICTS AND ALLOW LEGISLATURE TO FIX NUMBER OF MEMBERS BETWEEN 3 AND 7,0,JOURNAL POSITION: AGAINST,0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,3,PERMIT LIEUTENANT GOVERNOR TO BE CANDIDATE FOR GOVERNOR,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,4,EXTEND TERMS OF GOVERNOR AND LIEUTENANT GOVERNOR TO 4 YEARS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,5,EXTEND TERMS OF STATE LEGISLATORS TO 4 YEARS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,6,"""MERIT PLAN"" FOR SELECTION OF JUDGES",,JOURNAL POSITION: NO POSITION (ADDED IN QA FROM CLIPPING),0.95
NE,Lincoln Journal,126151,1962,NE,AMENDMENT,7,GIVE 20% TO 30% WEIGHT TO AREA AND REMAINING WEIGHT TO POPULATION IN REAPPORTIONING MEMBERSHIP IN STATE LEGISLATURE,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1962,NE,BALLOT MEASURE,,CITY - AMEND CITY CHARTER TO MAKE MAYOR FULL-TIME 4 YEAR OFFICE WITH INCREASED SALARY,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1962,NE,BALLOT MEASURE,,COUNTY - PERMIT COUNTY COMMISSIONERS TO ESTABLISH RETIREMENT PLAN FOR EMPLOYES,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,AMENDMENT,1,4-YEAR TERMS OF OFFICE FOR STATE OFFICIALS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,AMENDMENT,3,INTANGIBLE TAX - SPECIAL METHODS OF TAXING INTANGIBLE PROPERTY,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,AMENDMENT,4,MOTOR VEHICLE TAX REFORM,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,AMENDMENT,5,ACCOUNTING REFORMS - MODERNIZE STATE FINANCIAL SYSTEM INCLUDING USE OF COMPUTERS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,BALLOT MEASURE,,CITY CHARTER AMENDMENT - COMBINE ELECTRICAL FACILITIES AND EXTEND SERVICE,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1964,NE,BOND,,COUNTY COURTHOUSE BOND ISSUE - LANCASTER COUNTY,0,JOURNAL POSITION: AGAINST - DEFEAT WILL KEEP HOPES FOR CITY-COUNTY BUILDING,0.9
NE,Lincoln Journal,126151,1964,NE,INITIATIVE,301,PETITION AMENDMENT TO CHANGE ADMINISTRATIVE STRUCTURE OF STATE EDUCATIONAL SYSTEM - REPLACE STATE BOARD WITH APPOINTED COMMISSIONER,0,JOURNAL POSITION: AGAINST - VOTE 301 AGAINST,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,1,MAKE ALL ELECTIVE STATE OFFICIALS ELIGIBLE TO RUN FOR GOVERNOR OR OTHER STATE OFFICE,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,10,PROVIDE FOR PAYMENT OR CANCELLATION OF TAXES AGAINST REAL ESTATE OWNED OR ACQUIRED BY STATE OR SUBDIVISIONS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,11,DEDUCT COSTS OF ADMINISTERING STATE SCHOOL LANDS FROM INCOME FROM SUCH LANDS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,12,PROVIDE THAT EDUCATIONAL FUNDS AND GENERAL FUNDS OF STATE AND SUBDIVISIONS MAY BE INVESTED AS LEGISLATURE DIRECTS INCLUDING IN NONGOVERNMENTAL SECURITIES,1,JOURNAL POSITION: FOR ON EACH OF TWO PARTS,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,13,MAKE MANDATORY FOR LEGISLATURE TO REAPPORTION MEMBERSHIP AFTER FEDERAL CENSUS EVERY 10 YEARS AND PERMIT LEGISLATOR TO FINISH FOUR-YEAR TERM IF DISTRICT BOUNDARIES ALTERED BY REAPPORTIONMENT,1,JOURNAL POSITION: FOR ON EACH PART,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,14,PROHIBIT STATE FROM LEVYING PROPERTY TAX EXCEPT FOR CAPITAL BUILDING IMPROVEMENTS IN EVENT STATE SALES OR INCOME TAX ADOPTED AND TO ALLOCATE TO PUBLIC SCHOOLS AT LEAST 20% OF REVENUE FROM SALES OR INCOME TAX,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,15,PERMIT EXEMPTION FROM PROPERTY TAXES OF LIFE INSURANCE AND LIFE INSURANCE ANNUITY CONTRACTS,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,2,AUTHORIZE TRAVEL EXPENSES AND PER DIEM FOR MEMBERS OF LEGISLATURE WHILE IN SESSION,1,JOURNAL POSITION: FOR,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,3,PERMIT STATE OR SUBDIVISIONS TO CONTRACT FOR SERVICES OR TRAINING WITH PRIVATE COMMERCIAL AND VOCATIONAL SCHOOLS,0,JOURNAL POSITION: AGAINST,0.9
NE,Lincoln Journal,126151,1966,NE,AMENDMENT,4,INCREASE MEMBERSHIP OF STATE BOARD OF EDUCATION FROM SIX TO EIGHT AND REDUCE TERMS FROM SIX TO FOUR YEARS,1,JOURNAL POSITION: FOR,0.9
