state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NE,Lincoln Star,126152,1970,GOVERNOR,,,NE,"TIEMANN, NORBERT T.",Republican,1,,1,,,0.97
NE,Lincoln Star,126152,1970,SENATOR,,,NE,"MORRISON, FRANK",Democrat,1,,,,,0.95
NE,Lincoln Star,126152,1970,H,1,,NE,"CALLAN, CLAIR",Democrat,1,,,,,0.95
NE,Lincoln Star,126152,1970,LT GOVERNOR,,,NE,"MARSH, FRANK",Republican,1,,,,,0.9
NE,Lincoln Star,126152,1970,SEC OF STATE,,,NE,"MATZKE, STANLEY JR.",Republican,1,,,,,0.9
NE,Lincoln Star,126152,1970,AUDITOR,,,NE,"JOHNSON, RAY A. C.",Republican,1,,,,,0.9
NE,Lincoln Star,126152,1970,TREASURER,,,NE,"KISSACK, JOHN",Republican,1,,,,,0.9
NE,Lincoln Star,126152,1970,ATTORNEY GENERAL,,,NE,"MEYER, CLARENCE",Republican,1,,,,,0.9
NE,Lincoln Star,126152,1970,RAILWAY COMM,1,FIRST DISTRICT,NE,"HARLAN, RALPH",,1,,,,"RAILWAY COMMISSIONER, FIRST DISTRICT.",0.85
NE,Lincoln Star,126152,1970,STATE SENATOR,26,,NE,"BARNETT, WALLY",,1,,,,NEBRASKA UNICAMERAL 26TH DISTRICT.,0.9
NE,Lincoln Star,126152,1970,STATE SENATOR,46,,NE,"SIMPSON, HAROLD",,1,,,,NEBRASKA UNICAMERAL 46TH DISTRICT.,0.9
NE,Lincoln Star,126152,1970,CNTY COMM,2,LANCASTER COUNTY SECOND DISTRICT,NE,"COLIN, BOB",,1,,,,,0.85
NE,Lincoln Star,126152,1970,CNTY COMM,3,LANCASTER COUNTY THIRD DISTRICT,NE,"KAUFMAN, HARVEY",,1,,,,,0.85
NE,Lincoln Star,126152,1970,CNTY CLERK,,LANCASTER COUNTY,NE,"HARTMAN, CARL",,1,,,,,0.85
NE,Lincoln Star,126152,1970,TREASURER,,LANCASTER COUNTY TREASURER,NE,"GOLDEN, FRANK",,1,,,,"COUNTY TREASURER (LOCAL, NOT STATE).",0.85
NE,Lincoln Star,126152,1970,SHERIFF,,LANCASTER COUNTY,NE,"KARNOPP, MERLE",,1,,,,,0.9
NE,Lincoln Star,126152,1970,STATE BOE,5,FIFTH DISTRICT,NE,"WHELAN, GERALD",,1,,,,STATE BOARD OF EDUCATION FIFTH DISTRICT.,0.85
NE,Lincoln Star,126152,1970,STATE BOE,7,SEVENTH DISTRICT,NE,"FOWLER, MARILYN",,1,,,,STATE BOARD OF EDUCATION SEVENTH DISTRICT.,0.85
NE,Lincoln Star,126152,1976,PRESIDENT,,,NE,"CARTER, JIMMY",Democrat,1,,1,,,0.98
NE,Lincoln Star,126152,1976,SENATOR,,,NE,"ZORINSKY, EDWARD",Democrat,1,,,,,0.95
NE,Lincoln Star,126152,1976,H,1,FIRST DISTRICT,NE,"ANDERSON, PAULINE",Democrat,1,,1,,,0.95
NE,Lincoln Star,126152,1976,H,2,SECOND DISTRICT,NE,"CAVANAUGH, JOHN",Democrat,1,,,,,0.95
NE,Lincoln Star,126152,1976,PSC,1,FIRST DISTRICT,NE,"DURAND, JOYCE",,1,,,,PUBLIC SERVICE COMMISSIONER FIRST DISTRICT.,0.9
NE,Lincoln Star,126152,1976,STATE SENATOR,25,,NE,"WARNER, JEROME",,1,,,,,0.95
NE,Lincoln Star,126152,1976,STATE SENATOR,27,,NE,"FOWLER, STEVE",,1,,,,,0.95
NE,Lincoln Star,126152,1976,STATE SENATOR,29,,NE,"MARSH, SHIRLEY",,1,,,,,0.95
NE,Lincoln Star,126152,1976,REGENT,4,FOURTH DISTRICT,NE,"WALDO, WILLARD",,1,,,,NU BOARD OF REGENTS FOURTH DISTRICT.,0.9
NE,Lincoln Star,126152,1976,REGENT,5,FIFTH DISTRICT,NE,"KOEFOOT, ROBERT",,1,,,,NU BOARD OF REGENTS FIFTH DISTRICT.,0.9
NE,Lincoln Star,126152,1976,CNTY COMM,,LANCASTER COUNTY,NE,"GAUGER, JAN",,1,,,,,0.9
NE,Lincoln Star,126152,1978,SENATOR,,,NE,"EXON, JIM",Democrat,1,,,,,0.97
NE,Lincoln Star,126152,1978,H,1,FIRST DISTRICT,NE,"DYAS, HESS",Democrat,1,,,,,0.95
NE,Lincoln Star,126152,1978,H,2,SECOND DISTRICT,NE,"CAVANAUGH, JOHN",Democrat,1,1,,,,0.95
NE,Lincoln Star,126152,1978,H,3,THIRD DISTRICT,NE,"FOWLER, MARILYN",Democrat,1,,,,,0.9
NE,Lincoln Star,126152,1978,GOVERNOR,,,NE,"WHELAN, JERRY",Democrat,1,,,,RUNNING WITH LT GOV KEYES.,0.95
NE,Lincoln Star,126152,1978,LT GOVERNOR,,,NE,"KEYES, ORVAL",Democrat,1,,,,RUNNING MATE WITH WHELAN.,0.9
NE,Lincoln Star,126152,1978,SEC OF STATE,,,NE,"BEERMANN, ALLEN J.",Republican,1,,,,,0.95
NE,Lincoln Star,126152,1978,ATTORNEY GENERAL,,,NE,"DOUGLAS, PAUL",Republican,1,,,,,0.95
NE,Lincoln Star,126152,1978,STATE SENATOR,26,,NE,"WESELY, DON",,1,,,,,0.95
NE,Lincoln Star,126152,1978,STATE SENATOR,28,,NE,"SCHLITT, MARGE",,1,,,,,0.95
