state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NE,Lincoln Star,126152,1974,NE,AMENDMENT,1,LINCOLN CITY CHARTER AMENDMENT NO. 1 - REMOVE 6% INTEREST CEILING ON SPECIAL ASSESSMENT REVOLVING FUND BONDS,1,CITY-LEVEL AMENDMENT. STAR RECOMMENDS 'FOR' VOTE.,0.95
NE,Lincoln Star,126152,1974,NE,AMENDMENT,2,LINCOLN CITY CHARTER AMENDMENT NO. 2 - REMOVE INTEREST CEILING ON UNPAID SPECIAL ASSESSMENT INSTALLMENTS,1,CITY-LEVEL AMENDMENT. STAR RECOMMENDS 'FOR' VOTE.,0.95
NE,Lincoln Star,126152,1974,NE,AMENDMENT,3,LINCOLN CITY CHARTER AMENDMENT NO. 3 - REMOVE 7% INTEREST CEILING ON REVENUE BONDS FOR UTILITY SYSTEM IMPROVEMENTS,1,CITY-LEVEL AMENDMENT. STAR RECOMMENDS 'FOR' VOTE.,0.95
NE,Lincoln Star,126152,1974,NE,AMENDMENT,4,LINCOLN CITY CHARTER AMENDMENT NO. 4 - REMOVE REQUIREMENT MAYOR SALARY EXCEED DEPT HEADS,0,CITY-LEVEL AMENDMENT. STAR RECOMMENDS 'AGAINST' VOTE.,0.95
NE,Lincoln Star,126152,1974,NE,REFERENDUM,300,RETAIN LB772 PUBLIC SCHOOL SUPPORT ACT OF 1974 (STATE AID FOR K-12),1,"STAR HOPES NEBRASKANS WILL VOTE 'FOR' REFERENDUM MEASURE NO. 300 TO RETAIN LB772. CLIPPING FILENAME MISLABELED 1968 BUT MASTHEAD DATED OCT 30, 1974.",0.97
NE,Lincoln Star,126152,1970,NE,BALLOT MEASURE,,SEPARATE INDEPENDENT BOARD FOR LINCOLN ELECTRIC SYSTEM (CITY),0,STAR OPPOSED. LOCAL LINCOLN CITY COUNCIL-REFERRED PROPOSAL.,0.85
NE,Lincoln Star,126152,1970,NE,BALLOT MEASURE,,FURTHER SEPARATION OF LEGISLATIVE AND EXECUTIVE BRANCHES (CITY),0,STAR OPPOSED. LOCAL LINCOLN CITY COUNCIL-REFERRED PROPOSAL.,0.85
NE,Lincoln Star,126152,1970,NE,AMENDMENT,1,CONSTITUTIONAL AMENDMENT NO. 1,1,"STAR FAVORS CONSTITUTIONAL AMENDMENTS NOS. 1, 2, 5, 6, 7, 8, 9, AND 11.",0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,2,CONSTITUTIONAL AMENDMENT NO. 2,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,3,ELIMINATE FINAL READING OF LEGISLATIVE BILLS,0,STAR OPPOSED.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,4,RETIRED SUPREME COURT/DISTRICT COURT JUDGES RECALLED FOR TEMPORARY DUTY,0,STAR OPPOSED.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,5,CONSTITUTIONAL AMENDMENT NO. 5,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,6,CONSTITUTIONAL AMENDMENT NO. 6,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,7,CONSTITUTIONAL AMENDMENT NO. 7,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,8,CONSTITUTIONAL AMENDMENT NO. 8,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,9,CONSTITUTIONAL AMENDMENT NO. 9,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,10,LEGISLATURE DISCRETION TO CLASSIFY AND EXEMPT PERSONAL PROPERTY FROM TAXATION,0,STAR OPPOSED.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,11,CONSTITUTIONAL AMENDMENT NO. 11,1,STAR FAVORS.,0.9
NE,Lincoln Star,126152,1970,NE,AMENDMENT,12,STATE AID TO PRIVATE SCHOOL STUDENTS,,STAR POSITION: NO POSITION. ADDED IN QA FROM 1970 CLIPPING (MISSING IN ORIGINAL EXTRACTION),
NE,Lincoln Star,126152,1970,NE,AMENDMENT,13,REMOVE LT GOV AS PRESIDING OFFICER OF LEGISLATURE; TEAM ELECTION WITH GOV; THIRD SECTION,0,STAR OPPOSED FIRST TWO SECTIONS (REMOVING LT GOV AS PRESIDING OFFICER AND TEAM ELECTION) BUT FAVORED THIRD SECTION. NET CODED AS OPPOSED OVERALL; SEE SEPARATE ROWS.; STAR OPPOSED FIRST TWO SECTIONS (REMOVE LT GOV AS PRESIDING OFFICER; TEAM ELECTION W/ GOV) BUT FAVORED THIRD SECTION. NET CODING AS OPPOSED; SEE CLIPPING FOR SPLIT POSITION. (CORRECTED IN QA),0.75
