state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NV,Las Vegas Review-Journal,126500,1968,SENATOR,,,NV,"BIBLE, ALAN",Democrat,1,1,,,incumbent,0.95
NV,Las Vegas Review-Journal,126500,1968,H,AL,,NV,"BARING, WALTER",Democrat,1,1,,,incumbent; opponent State Sen. James Slattery,0.9
NV,Las Vegas Review-Journal,126500,1968,SUPREME COURT,,,NV,"BATJER, CAMERON",Nonpartisan,1,,,1,Justice; re-election vs Dist. Court Judge John Mendoza,0.95
NV,Las Vegas Review-Journal,126500,1968,STATE SENATOR,3,,NV,"TURNER, KEN",Republican,1,,,,vs incumbent State Senator Floyd Lamb,0.9
NV,Las Vegas Review-Journal,126500,1968,STATE SENATOR,4,,NV,"BROWN, B. MAHLON",Democrat,1,,,,,0.9
NV,Las Vegas Review-Journal,126500,1968,STATE SENATOR,2,,NV,"WHITE, MARVIN",,1,,,,North Las Vegas area,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"ASHWORTH, KEITH",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"BRYAN, RICHARD",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"RONZONE, NORMAN",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"HIBRECHT, JOHN",,1,,,,Vote for multiple,0.7
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"LEERMAN, JOE",,1,,,,Vote for multiple; spelling uncertain,0.7
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"NOCEDA, MIKE",,1,,,,Vote for multiple,0.7
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"REID, HARRY",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"SCHOFIELD, JACK",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"TYSON, GERALDINE",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"WILSON, WOODROW",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,4,,NV,"YOUNG, FRANK",,1,,,,Vote for multiple,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,5,,NV,"CLOSE, MEL JR.",,1,,,,,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,5,,NV,"BOWLER, AUSTIN",,1,,,,,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,2,,NV,"BRANCH, DAVE",,1,,,,,0.85
NV,Las Vegas Review-Journal,126500,1968,STATE REP,2,,NV,"MAY, PAUL",,1,,,,,0.85
NV,Las Vegas Review-Journal,126500,1968,DISTRICT COURT JUDGE,3,,NV,"REID, ROBERT",Nonpartisan,1,,,1,incumbent Dept 3,0.9
NV,Las Vegas Review-Journal,126500,1968,DISTRICT COURT JUDGE,2,,NV,"WARTMAN, ALVIN",Nonpartisan,1,,,,vs attorney Robert Reid,0.85
NV,Las Vegas Review-Journal,126500,1968,CNTY COMM,,,NV,"BRENNAN, JIM",,1,,,,Las Vegas County Commissioner; vs Sam Keith,0.85
NV,Las Vegas Review-Journal,126500,1968,CNTY COMM,,,NV,"BROADNETT, ROBERT",,1,,,,Unincorporated areas of Las Vegas; vs G.L. Franklin,0.8
NV,Las Vegas Review-Journal,126500,1968,JUDGE,,,NV,"WALKER, LEE",Nonpartisan,1,,,,Justice of the Peace; vs incumbent JP Pavlikowski,0.85
NV,Las Vegas Review-Journal,126500,1968,DIRECTOR,2,,NV,"RAMSON, B.J. (DICK)",,1,,,,University of Nevada Regent; State University race district 2,0.85
NV,Las Vegas Review-Journal,126500,1968,DIRECTOR,2,,NV,"MCDERMOTT, PAUL",,1,,,,University of Nevada Regent; State University race district 2,0.85
NV,Las Vegas Review-Journal,126500,1968,DIRECTOR,2,,NV,"GRANT, ARCHIE",,1,,,,University of Nevada Regent; State University race district 2,0.85
NV,Las Vegas Review-Journal,126500,1968,DIRECTOR,,,NV,"BILBRAY, JAMES JR.",,1,,,,University of Nevada Regent; two-year term; vs Harry J. McKissick,0.8
NV,Las Vegas Review-Journal,126500,1968,DIRECTOR,,,NV,"BELL, TOM",,1,,,,University of Nevada Regent; two-year term; vs Rex A. Tyson,0.8
NV,Las Vegas Review-Journal,126500,1968,STATE BOARD OF ED,,,NV,"HARRIS, GEORGE D.",,1,,,,vs Sam Paternostro,0.85
