state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NV,Las Vegas Review-Journal,126500,1968,NV,BOND,,Clark County $22M general obligation bonds for convention center expansion & recreational facilities,1,,0.95
NV,Las Vegas Review-Journal,126500,1968,NV,BOND,,Clark County $3M courthouse expansion bonds,1,,0.95
NV,Las Vegas Review-Journal,126500,1968,NV,AMENDMENT,,Constitutional amendment authorizing legislature to combine some Ormsby County/Carson City offices,1,consolidation of Ormsby County and Carson City government,0.9
NV,Las Vegas Review-Journal,126500,1968,NV,PUBLIC QUESTION,,Firemen's $144/month pay raise initiative (retroactive to July),0,RJ recommends vote NO,0.95
NV,Las Vegas Review-Journal,126500,1968,NV,AMENDMENT,,Constitutional amendment granting private corporation franchise to operate lottery,0,RJ recommends vote NO,0.95
NV,Las Vegas Review-Journal,126500,1974,NV,PUBLIC QUESTION,1,Whether voters believe Nevada Constitution should be amended to allow direct financing by state of a maximum of three per cent of assessed valuation of property instead of the per cent limitation established in 1936,1,RJ recommends WE VOTE YES,0.9
NV,Las Vegas Review-Journal,126500,1974,NV,PUBLIC QUESTION,2,Nevada Constitution should be amended re: financing by the state,1,WE VOTE YES,0.8
NV,Las Vegas Review-Journal,126500,1974,NV,PUBLIC QUESTION,3,Preserving Nevada's vast open spaces; tax breaks to owners of farms and green belts adjacent to fast expanding urban areas,1,WE VOTE YES,0.85
NV,Las Vegas Review-Journal,126500,1974,NV,PUBLIC QUESTION,4,Nevada Tax Commission should have more flexibility on imposing fines for late payments by merchants of state sales and use tax collections,1,WE VOTE YES,0.85
NV,Las Vegas Review-Journal,126500,1974,NV,PUBLIC QUESTION,5,Voters asked whether they believe the Nevada Tax Commission should have more flexibility on imposing fines for late payments by merchants of state sales and use tax collections; lesser file to fit circumstances,1,WE VOTE YES,0.8
NV,Las Vegas Review-Journal,126500,1974,NV,BOND,6,Clark County voters to approve a $12 million bond issue to allow proposed expansion of Las Vegas Convention Center,1,WE VOTE YES,0.9
NV,Las Vegas Review-Journal,126500,1974,NV,BOND,7,Clark County voters to approve a $12 million bond issue to allow proposed expansion of county-owned Southern Nevada Memorial Hospital,1,WE VOTE YES,0.9
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,1,Question No. 1,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,2,Question No. 2,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,3,Question No. 3,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,4,Question No. 4,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,5,Question No. 5 - Equal Rights Amendment,0,"RJ feels this should be left up to voters; no rec, but neither Yes nor No marked X; treat as no endorsement",0.5
NV,Las Vegas Review-Journal,126500,1978,NV,PUBLIC QUESTION,6,Question No. 6,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,1,Question 1 - support allowing judges greater latitude in denying bail to defendants,1,RJ recommends YES,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,2,Question 2 - oppose allowing a raise for state judges in the middle of their term,0,RJ recommends NO,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,3,Question 3 - oppose giving legislators what amounts to a blank check to cover their postal expenses,0,RJ recommends NO,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,AMENDMENT,4,Question 4 - passage of this measure would correct anachronism in state constitution,1,RJ recommends YES,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,5,Question 5 - favor turning the public administration into appointive rather than elective post,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,6,Question 6 - approach to tax reform is dangerous and simplistic; oppose it strongly,0,RJ recommends NO,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,7,Question 7 - reluctantly support establishment of an expensive but necessary appellate court,1,RJ recommends YES,0.85
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,8,Question 8 - favor prohibiting taxes on household goods,1,RJ recommends YES,0.9
NV,Las Vegas Review-Journal,126500,1980,NV,PUBLIC QUESTION,9,Question 9 - proposal to ban sales tax on food is fatally flawed because it may remove taxes on restaurant meals,0,RJ recommends NO,0.85
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,1,Question 1: Would give tax breaks for using alternative energy sources,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,AMENDMENT,2,Question 2: Would include right to bear arms clause in state constitution,0,Vote no,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,3,Question 3: Would give judges power of alternative sentencing,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,4,Question 4: Would tighten life without possibility of parole sentence,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,5,Question 5: Would officially include Southern Nevada as part of the state,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,6,Question 6: Would allow Nevada to collect its share of federal estate taxes,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,7,Question 7: Would treat mobile homes as regular homes for purposes of sales tax,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,8,Question 8: Would prohibit property tax on household goods,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,9,Question 9: Would take sales tax off restaurant food,0,Vote no,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,BOND,10,Question 10: Would allow bonds to build new libraries,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,11,Question 11: Would strengthen consumer advocate's office,1,Vote yes,0.9
NV,Las Vegas Review-Journal,126500,1982,NV,PUBLIC QUESTION,12,Question 12: A weaker version of Question 11,0,Vote no,0.9
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,1,Question 1,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,2,Question 2,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,3,Question 3,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,4,Question 4,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,5,Question 5,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,6,Question 6,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,7,Question 7,0,No,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,8,Question 8,0,No,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,9,Question 9,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,10,Question 10,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,11,Question 11,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,12,Question 12,0,No,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,,County Question,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1984,NV,PUBLIC QUESTION,,Advisory Question,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,1,Question 1,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,2,Question 2,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,3,Question 3,0,No,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,4,Question 4,0,No,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,5,Question 5,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,6,Question 6,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,7,Question 7,0,No,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,8,Question 8,0,No,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,9,Question 9,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1988,NV,PUBLIC QUESTION,H1,Question H1,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,1,Question 1,0,No recommendation,0.6
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,2,Question 2,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,3,Question 3,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,4,Question 4,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,5,Question 5,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,6,Question 6 - corporate profits tax up to 10 percent,0,Vote NO; would impose punitive tax; consumers ultimately pay,0.9
NV,Las Vegas Review-Journal,126500,1990,NV,REFERENDUM,7,Question 7 - referendum on Nevada's existing abortion laws,0,Vote NO; would set in concrete Nevada's virtually unrestricted abortion laws,0.9
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,8,Question 8,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,9,Question 9,1,Yes,0.85
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,10,Question 10 - advisory measure to allow Clark County to finance comprehensive package of transportation improvements,1,Vote YES; taxes and fees would be distributed equitably,0.9
NV,Las Vegas Review-Journal,126500,1990,NV,PUBLIC QUESTION,,North Las Vegas Question 205,1,Yes,0.85
