state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"WOLF, WARREN",Republican,1,,,,Ocean County Freeholder; 'Wolf for Freeholder'; previously served as freeholder; deputy superintendent of schools in Brick Township; demonstrated willingness to vote with opposition,0.95
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"SAVAGE, FRANCIS",Democrat,0,,,,Democratic challenger for Ocean County Freeholder; questioned Wolf's multiple jobs; not endorsed,0.95
NJ,Asbury Park Press,127000,1978,H,2,,NJ,"HUGHES, WILLIAM J.",Democrat,1,1,,,'Hughes for Congress'; incumbent Democratic Rep; district extending from central Ocean County to the Delaware border; instrumental on off-shore drilling protection for Shore; 'deserves another term',0.95
NJ,Asbury Park Press,127000,1978,H,2,,NJ,"BIGGS, JAMES H.",Republican,0,,,,Republican challenger (Rev. James H. Biggs); ran a quiet campaign; not endorsed,0.95
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"LARRISON, HARRY JR.",Republican,1,,1,,'Monmouth Freeholders'; incumbent; director of Board of Chosen Freeholders; effective and hard-working freeholder; endorsement overrides partisan views,0.95
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"KAVALEK, ERNEST G.",Republican,0,,1,,Republican incumbent for Monmouth Freeholder; cited his record but only Larrison received clear endorsement; 'Party preferences may determine the support that other candidates will receive',0.8
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"KANE, ROGER J.",Democrat,0,,,,Democratic challenger for Monmouth Freeholder; not endorsed,0.95
NJ,Asbury Park Press,127000,1978,CNTY COMM,,,NJ,"MACDONALD, ALLAN J.",Democrat,0,,,,Democratic challenger for Monmouth Freeholder; not endorsed,0.95
NJ,Asbury Park Press,127000,1978,SENATOR,,,NJ,"BRADLEY, BILL",Democrat,1,,,,'For the Senate: Bradley'; Democrat; former Rhodes scholar and athlete; better understands the myriad issues that concern New Jersey; tax reduction program deeper than recently passed by Congress; better equipped to represent NJ in US Senate,0.95
NJ,Asbury Park Press,127000,1978,SENATOR,,,NJ,"BELL, JEFFREY",Republican,0,,,,Republican; unseated Clifford P. Case in primary; one-dimensional campaign on tax reductions based on Kemp-Roth bill and Arthur Laffer teachings; 'figure of promise' but not endorsed,0.95
