state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NM,Albuquerque Journal,128401,1882,CNTY CLERK,,BERNALILLO COUNTY,NM,"PEREA, JOSE L. JR",Republican,1,,,,PROBATE CLERK.,0.9
NM,Albuquerque Journal,128401,1882,CNTY COMM,,BERNALILLO COUNTY,NM,"ARMIJO, JUSTO R.",Republican,1,,,,,0.9
NM,Albuquerque Journal,128401,1882,CNTY COMM,,BERNALILLO COUNTY,NM,"MADDEN, ELWOOD",Republican,1,,,,,0.9
NM,Albuquerque Journal,128401,1882,CNTY COMM,,BERNALILLO COUNTY,NM,"ORTIZ, ANTONIO",Republican,1,,,,,0.9
NM,Albuquerque Journal,128401,1882,CNTY TREASURER,,BERNALILLO COUNTY,NM,"WILSON, W. K. P.",Republican,1,,,,,0.9
NM,Albuquerque Journal,128401,1882,CORONER,,BERNALILLO COUNTY,NM,"GUTIERREZ, JOSE D.",Republican,1,,,,,0.85
NM,Albuquerque Journal,128401,1882,H,DELEGATE,,NM,"LUNA, TRANQUILINO",Republican,1,,,,DELEGATE IN CONGRESS (NM TERRITORY); 'OF VALENCIA COUNTY'.,0.92
NM,Albuquerque Journal,128401,1882,JUDGE,,BERNALILLO COUNTY,NM,"CHAVEZ, FRANCISCO 2D",Republican,1,,,,PROBATE JUDGE.,0.9
NM,Albuquerque Journal,128401,1882,RIVER COMM,,BERNALILLO COUNTY,NM,"APODACA, MANUEL",Republican,1,,,,,0.85
NM,Albuquerque Journal,128401,1882,RIVER COMM,,BERNALILLO COUNTY,NM,"ARMIJO, CRISTOVAL",Republican,1,,,,,0.85
NM,Albuquerque Journal,128401,1882,RIVER COMM,,BERNALILLO COUNTY,NM,"MONTOYA, ATANACIO",Republican,1,,,,,0.85
NM,Albuquerque Journal,128401,1882,SCHOOL BOARD,,BERNALILLO COUNTY,NM,"MARTIN, CRISTOVAL",Republican,1,,,,SCHOOL COMMISSIONER.,0.9
NM,Albuquerque Journal,128401,1882,SCHOOL BOARD,,BERNALILLO COUNTY,NM,"OTERO, MARIANO S.",Republican,1,,,,SCHOOL COMMISSIONER.,0.9
NM,Albuquerque Journal,128401,1882,SCHOOL BOARD,,BERNALILLO COUNTY,NM,"SPITZ, EDWARD",Republican,1,,,,SCHOOL COMMISSIONER.,0.9
NM,Albuquerque Journal,128401,1882,SHERIFF,,BERNALILLO COUNTY,NM,"BACA, SANTIAGO",Republican,1,,,,,0.92
