state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NM,Albuquerque Tribune,128400,1934,CNTY COMM,,BERNALILLO COUNTY,NM,"APODACA, WM.",Republican,1,,,,'STALWART DEFENDER OF A COMPETENT [HEALTH] ORGANIZATION'. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,CNTY COMM,,BERNALILLO COUNTY,NM,"BEZEMEK, JAMES",Democrat,1,,,,CAMPAIGN ON HEALTH MATTERS AND COUNTY HIGHWAYS. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,CNTY COMM,,BERNALILLO COUNTY,NM,"SEIS, AUGUST",Democrat,1,,,,SOLID BUSINESS MAN WITH KNOWN SYMPATHY FOR HEALTH SERVICES. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,GOVERNOR,,,NM,"MILLER, JAFFA",Republican,0,,,,'SPLENDID CITIZEN' BUT CRITICIZED FOR BEING BACKED BY 'PROFESSIONAL CLIQUE'. | Phase 9 e=0 OCR-verified: opposed (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,GOVERNOR,,,NM,"TINGLEY, CLYDE",Democrat,1,,,,20 YEARS PUBLIC SERVICE AS ALBUQUERQUE MAYOR; ENDORSED OVER JAFFA MILLER (R). | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,H,,,NM,"DEMPSEY, J. J.",Democrat,0,,,,OPPONENT; 'CAST HIS FIRST VOTE IN NEW MEXICO TWO YEARS AGO'; PAPER CRITICIZES TIES TO HIGHWAY DEPARTMENT. | Phase 9 e=0 OCR-verified: opposed (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,H,,,NM,"MIERA, MAURICE",Republican,1,,,,'ONE OF THE FEW CANDIDATES WHO HAS ACTUALLY PRESENTED A PROGRAM'; ENDORSED OVER J.J. DEMPSEY. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,SENATOR,,,NM,"CUTTING, BRONSON",Republican,1,,1,,THROUGH THE FOG — INCUMBENT R PROGRESSIVE; PAPER URGES RE-ELECTION OVER CONFLICTING NEW DEAL CONCERNS. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1934,SENATOR,,,NM,DILLON,Republican,0,,,,OPPONENT TO HATCH; 'IF YOU THINK MR. DILLON MORE NEARLY REPRESENTS THE NEW DEAL THAN SENATOR HATCH... CONSULT A PSYCHOLOGIST'. | Phase 9 e=0 OCR-verified: opposed (subagent OCR re-read).,0.88
NM,Albuquerque Tribune,128400,1934,SENATOR,,,NM,"HATCH, CARL",Democrat,1,1,,,SHORT-TERM SENATE SEAT; PAPER ENDORSES OVER DILLON. | Phase 2 endorsement-direction verified: NARRATIVE/LIST (subagent OCR re-read).,0.92
NM,Albuquerque Tribune,128400,1936,ASSESSOR,,BERNALILLO COUNTY,NM,"FLASKA, JOHN",Democrat,1,1,,,"INCUMBENT; 'DONE A GOOD JOB, DESERVES RE-ELECTION'. | Phase 13 VISION-VERIFIED 1936 (400 DPI editorial re-read): direction + name confirmed against editorial. | Phase 2 endorsement-direction verified: vision.",0.92
NM,Albuquerque Tribune,128400,1936,CNTY COMM,,BERNALILLO COUNTY,NM,"CORDOVA, NICK N.",Republican,1,,,,ENDORSED. | Phase 13 VISION-VERIFIED 1936 (400 DPI editorial re-read): direction + name confirmed against editorial. | Phase 2 endorsement-direction verified: vision.,0.85
NM,Albuquerque Tribune,128400,1936,CNTY COMM,,BERNALILLO COUNTY,NM,"HAYDEN, J. MARTIN",Republican,1,,,,ENDORSED OVER INCUMBENT D COMMISSIONERS WHO REJECTED FEDERAL HEALTH AID. | Phase 13 VISION-VERIFIED 1936 (400 DPI editorial re-read): direction + name confirmed against editorial. | Phase 2 endorsement-direction verified: vision.,0.85
