state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NM,Las Cruces Sun News,128700,1976,NM,BOND,,UNIVERSITY BONDS,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,TAX,,INDIGENT CARE TAX,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,1,COUNTY OFFICE TERMS,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,2,EXECUTIVE OFFICE TERMS,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,3,TAX EXEMPTION,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,4,EDUCATION BOARD,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,5,COUNTY BOARDS,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,6,SEVERANCE TAX,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,1976,NM,AMENDMENT,7,LEGISLATURE,1,RECOMMENDED YES.,
NM,Las Cruces Sun News,128700,2014,NM,OTHER,,SPECIAL TRANSPORTATION DISTRICT,0,RECOMMENDED NO ON SPECIAL TRANSPORTATION DISTRICT.,
NM,Las Cruces Sun News,128700,2014,NM,BOND,A,GENERAL OBLIGATION BOND A,1,RECOMMENDED YES ON BOND A.,
NM,Las Cruces Sun News,128700,2014,NM,AMENDMENT,ALL,CONSTITUTIONAL AMENDMENTS - YES ON ALL FIVE,1,RECOMMENDED YES ON ALL FIVE CONSTITUTIONAL AMENDMENTS.,
NM,Las Cruces Sun News,128700,2014,NM,BOND,B,GENERAL OBLIGATION BOND B,1,RECOMMENDED YES ON BOND B.,
NM,Las Cruces Sun News,128700,2014,NM,BOND,C,GENERAL OBLIGATION BOND C,1,RECOMMENDED YES ON BOND C.,
NM,Las Cruces Sun News,128700,2016,NM,AMENDMENT,,CONSTITUTIONAL AMENDMENT - BAIL FOR CRIMINAL DEFENDANTS,1,RECOMMENDED YES ON CONSTITUTIONAL AMENDMENT DEALING WITH BAIL FOR CRIMINAL DEFENDANTS.,
NM,Las Cruces Sun News,128700,2016,NM,BOND,A,BOND ISSUE A,1,RECOMMENDED YES ON BOND A.,
NM,Las Cruces Sun News,128700,2016,NM,BOND,B,BOND ISSUE B,1,RECOMMENDED YES ON BOND B.,
NM,Las Cruces Sun News,128700,2016,NM,BOND,C,BOND ISSUE C,1,RECOMMENDED YES ON BOND C.,
NM,Las Cruces Sun News,128700,2016,NM,BOND,D,BOND ISSUE D,1,RECOMMENDED YES ON BOND D.,
