state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NC,Charlotte News,132301,1960,GOVERNOR,,,NC,"SANFORD, TERRY",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1960,SENATOR,,,NC,"JORDAN, B. EVERETT",Democrat,1,1,,, ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1960,H,10,,NC,"JONAS, CHARLES RAPER",Republican,1,,,,Tenth District,0.95
NC,Charlotte News,132301,1960,CNTY COMM,,,NC,"BROWN, ERNEST",Democrat,1,,,,Mecklenburg County Commission ROUND 8 FIX: party filled D per 1960 NC Mecklenburg context (all-D commission slate per OCR; 1962 records confirm same individuals as D).,0.9
NC,Charlotte News,132301,1960,CNTY COMM,,,NC,"GARRISON, HERBERT",Democrat,1,,,,Mecklenburg County Commission ROUND 8 FIX: party filled D per 1960 NC Mecklenburg context (all-D commission slate per OCR; 1962 records confirm same individuals as D).,0.9
NC,Charlotte News,132301,1960,CNTY COMM,,,NC,"LAWING, CRAIG",Democrat,1,,,,Mecklenburg County Commission ROUND 8 FIX: party filled D per 1960 NC Mecklenburg context (all-D commission slate per OCR; 1962 records confirm same individuals as D).,0.9
NC,Charlotte News,132301,1960,CNTY COMM,,,NC,"MCADEN, SID",Democrat,1,,,,Mecklenburg County Commission ROUND 8 FIX: party filled D per 1960 NC Mecklenburg context (all-D commission slate per OCR; 1962 records confirm same individuals as D).,0.9
NC,Charlotte News,132301,1960,CNTY COMM,,,NC,"BLYTHE, FRANK",Democrat,1,,,,Mecklenburg County Commission ROUND 8 FIX: party filled D per 1960 NC Mecklenburg context (all-D commission slate per OCR; 1962 records confirm same individuals as D).,0.9
NC,Charlotte News,132301,1962,SENATOR,,,NC,"ERVIN, SAM J. JR.",Democrat,1,1,,," ROUND 6 FIX: d_inc=1 (Ervin D was NC Senator since 1954, incumbent in 1962).",0.95
NC,Charlotte News,132301,1962,H,8,,NC,"JONAS, CHARLES RAPER",Republican,1,,1,,"Eighth District ROUND 6 FIX: name standardized to CHARLES RAPER (matched 1960/1964/1970 records). ROUND 6 FIX: r_inc=1 (Jonas was NC H since 1953, incumbent in 1962).",0.95
NC,Charlotte News,132301,1962,STATE SENATOR,,,NC,"BELK, IRWIN",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,STATE REP,,,NC,"HICKS, ERNEST L.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,STATE REP,,,NC,"VOGLER, JAMES B.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,STATE REP,,,NC,"GARINGER, ELMER H.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,STATE REP,,,NC,"HAYNES, A. MYLES JR.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,STATE REP,,,NC,"EVANS, MARTHA",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1962,CNTY COMM,,,NC,"LOWE, CHARLES M.",Democrat,1,,,,incumbent,0.95
NC,Charlotte News,132301,1962,CNTY COMM,,,NC,"BLYTHE, FRANK",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1962,CNTY COMM,,,NC,"LAWING, CRAIG",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1962,CNTY COMM,,,NC,"WILMER, HENRY",Republican,1,,,,,0.95
NC,Charlotte News,132301,1962,CNTY COMM,,,NC,"SHRIVER, ALFRED JR.",Republican,1,,,,,0.95
NC,Charlotte News,132301,1962,DA/PROSECUTOR,,,NC,"DOWNS, KENNETH R.",Democrat,1,,,,Mecklenburg District Solicitor; incumbent,0.95
NC,Charlotte News,132301,1964,PRESIDENT,,,NC,"JOHNSON, LYNDON B.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,GOVERNOR,,,NC,"MOORE, DAN K.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,LT GOVERNOR,,,NC,"SCOTT, ROBERT W.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,INSURANCE COMMISSIONER,,,NC,"LANIER, EDWIN S.",Democrat,1,1,,," ROUND 15 FIX: d_inc=1 (Edwin S. Lanier was NC Insurance Commissioner 1949-1976, incumbent in 1964).",0.9
NC,Charlotte News,132301,1964,TREASURER,,,NC,"GILL, EDWIN",Democrat,1,1,,,"State Treasurer ROUND 15 FIX: d_inc=1 (Edwin Gill was NC Treasurer 1953-1977, incumbent in 1964).",0.9
NC,Charlotte News,132301,1964,AGRICULTURE COMMISSIONER,,,NC,"GRAHAM, JAMES A.",Democrat,1,1,,," ROUND 15 FIX: d_inc=1 (James Graham was NC Ag Comm 1964-2001, but first elected 1964, so NOT incumbent yet — actually he succeeded Ballentine; need to verify). ROUND 16 FIX: middle initial A. added for consistency.",0.9
NC,Charlotte News,132301,1964,H,8,,NC,"JONAS, CHARLES RAPER",Republican,1,,1,,"Eighth District Congress ROUND 6 FIX: r_inc=1 (Jonas was NC H since 1953, incumbent in 1964).",0.95
NC,Charlotte News,132301,1964,STATE SENATOR,,,NC,"BELK, IRWIN",Democrat,1,1,,, ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1964,STATE SENATOR,,,NC,"EVANS, MARTHA",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,STATE SENATOR,,,NC,"MOORE, HERMAN",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,STATE REP,,,NC,"VOGLER, JAMES B.",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1964,STATE REP,,,NC,"HICKS, E. L.",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1964,STATE REP,,,NC,"GARINGER, E. H.",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1964,STATE REP,,,NC,"SAXON, HERMAN",Republican,1,,1,,"incumbent ROUND 11 FIX: r_inc=1 per 1964 v2 OCR ""the Republican incumbent, Mr. Saxon, deserves to be returned.""",0.95
NC,Charlotte News,132301,1964,STATE REP,,,NC,"GOODMAN, ARTHUR",Democrat,1,,,,fifth seat,0.95
NC,Charlotte News,132301,1964,CNTY COMM,,,NC,"BLYTHE, J. FRANK",Democrat,1,1,,,incumbent ROUND 7 FIX: d_inc=1 (cross-year incumbent).,0.95
NC,Charlotte News,132301,1964,CNTY COMM,,,NC,"ATKINSON, SAM T. JR.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,CNTY COMM,,,NC,"WALLACE, J. MASON JR.",Democrat,1,,,,,0.95
NC,Charlotte News,132301,1964,CNTY COMM,,,NC,"WILMER, HENRY",Republican,1,,1,, ROUND 7 FIX: r_inc=1 (cross-year incumbent).,0.95
