state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NC,Charlotte Observer,132300,1960,PRESIDENT,,,NC,"NIXON, RICHARD",Republican,1,,,,Lodge for VP,0.98
NC,Charlotte Observer,132300,1960,GOVERNOR,,,NC,"GAVIN, ROBERT L.",Republican,0,,,,Direction fix: paper endorsed Sanford D over Gavin R,0.97
NC,Charlotte Observer,132300,1960,LT GOVERNOR,,,NC,"PHILPOTT, H. CLOYD",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1960,SENATOR,,,NC,"JORDAN, B. EVERETT",Democrat,1,1,,,incumbent,0.96
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"BLYTHE, J. FRANK",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"BROWN, ERNEST K.",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"GARRISON, J. HERBERT",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"BUTCHER, JERRY",Republican,0,,,,fourth seat - hope one of four Rs wins,0.6
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"PAGE JR., JESSE W.",Republican,0,,,,fourth seat candidate,0.6
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"RANDLE, MERLE D.",Republican,0,,,,fourth seat candidate,0.6
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"VINROOT, G. E.",Republican,0,,,,fourth seat candidate,0.6
NC,Charlotte Observer,132300,1960,CNTY COMM,,,NC,"LAWING, CRAIG",Democrat,0,1,,,"Name + office + direction fix: was DA/PROSECUTOR; actually 4th D CntyComm incumbent, paper declined",0.9
NC,Charlotte Observer,132300,1962,SENATOR,,,NC,"ERVIN JR., SAM J.",Democrat,1,,,,,0.97
NC,Charlotte Observer,132300,1962,INSURANCE COMMISSIONER,,,NC,"LANIER, EDWIN S.",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1962,SUPREME COURT,,,NC,"DENNY, EMERY B.",Democrat,1,,,,Chief Justice,0.95
NC,Charlotte Observer,132300,1962,SUPREME COURT,,,NC,"SHARP, SUSIE",Democrat,1,,,,Associate Justice,0.95
NC,Charlotte Observer,132300,1962,H,9,,NC,"JONAS, CHARLES R.",Republican,0,,,,"Paper declined: ""Take your choice"" between Jonas R and Kitchin D",0.9
NC,Charlotte Observer,132300,1962,H,9,,NC,"KITCHIN, A. PAUL",Democrat,0,,,,"Paper declined: ""Take your choice"" between Jonas R and Kitchin D",0.9
NC,Charlotte Observer,132300,1962,STATE SENATOR,22,,NC,"BELK, IRWIN",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"EVANS, MARTHA W.",Democrat,1,,,,vote for five,0.95
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"HAYNES, MYLES",Democrat,1,,,,vote for five,0.95
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"GARINGER, ELMER H.",Democrat,1,,,,vote for five,0.95
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"HICKS, ERNEST",Democrat,1,,,,vote for five,0.95
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"HARTSOCK JR., T. G.",Republican,1,,,,vote for five - take choice,0.9
NC,Charlotte Observer,132300,1962,STATE REP,36,,NC,"SAXON, J. HERMAN",Republican,1,,,,vote for five - take choice,0.9
NC,Charlotte Observer,132300,1962,CNTY COMM,,,NC,"BLYTHE, J. FRANK",Democrat,1,1,,,,0.95
NC,Charlotte Observer,132300,1962,CNTY COMM,,,NC,"SHRIVER JR., ALFRED W.",Republican,1,,,,Party fix: 1962 had no clear party in OCR; 1964 OCR shows Shriver R,0.95
NC,Charlotte Observer,132300,1962,CNTY COMM,,,NC,"LOWE, CHARLES M.",Democrat,1,,,,,0.95
NC,Charlotte Observer,132300,1962,CNTY COMM,,,NC,"WILMER, HENRY B.",Democrat,1,,,,no recommendation for fifth seat,0.95
NC,Charlotte Observer,132300,1962,DA/PROSECUTOR,,,NC,"DOWNS, KENNETH R.",Democrat,1,,,,District Solicitor,0.95
