state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NC,Charlotte Observer,132300,1960,NC,BOND,1,"$675,000 bond for Charlotte Community College system",1,,0.95
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,1,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,2,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,3,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,4,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,5,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1962,NC,AMENDMENT,6,State Constitutional Amendment,1,Vote Yes on all six,0.9
NC,Charlotte Observer,132300,1964,NC,BOND,1,State School Bonds,1,Vote For,0.95
NC,Charlotte Observer,132300,1968,NC,AMENDMENT,1,Constitutional Amendment No. 1,1,For,0.95
NC,Charlotte Observer,132300,1968,NC,AMENDMENT,2,Constitutional Amendment No. 2,1,For,0.95
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,1,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,2,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,3,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,4,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,5,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,6,State Constitutional Amendment,1,Vote FOR all seven,0.9
NC,Charlotte Observer,132300,1970,NC,AMENDMENT,7,State Constitutional Amendment,1,Vote FOR all seven,0.9
