state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NC,Greensboro News and Record,132700,1984,ATTORNEY GENERAL,,,NC,"THORNBURG, LACY H",Democrat,1,,,,Bolded in summary list,0.85
NC,Greensboro News and Record,132700,1984,AUDITOR,,,NC,"RENFROW, EDWARD",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,CNTY COMM,,Guilford County,NC,"GALYON, J DOUGLAS",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,CNTY COMM,,Guilford County,NC,"MANZI, JACQUELINE R",Republican,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,COMMISSIONER OF AGRICULTURE,,,NC,"GRAHAM, JAMES A",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,COMMISSIONER OF LABOR,,,NC,"BROOKS, JOHN C",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,GOVERNOR,,,NC,"MARTIN, JAMES G",Republican,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,H,6,Sixth Congressional District,NC,"BRITT, ROBIN",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,INSURANCE COMMISSIONER,,,NC,"LONG, JAMES E",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,JUDGE,18,Guilford County District Court,NC,"ALLOWAY, SHERRY FOWLER",Republican,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,JUDGE,18,Guilford County District Court,NC,"DAISY, WILLIAM L",Republican,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,JUDGE,18,Guilford County District Court,NC,"HUNTER, WILLIAM K",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,JUDGE,18,Guilford County District Court,NC,"JOSEPH, MICHAEL F",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,JUDGE,18,Guilford County District Court,NC,"WILLIAMS, PAUL THOMAS",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,LT GOVERNOR,,,NC,"JORDAN, ROBERT B III",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,PRESIDENT,,,NC,"MONDALE, WALTER",Democrat,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,REGISTER OF DEEDS,,Guilford County,NC,"PATSEAVOURAS, KAY",Republican,1,,1,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,,Guilford County Board of Education,NC,"BOLTON, JOHN E JR",,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,,Guilford County Board of Education,NC,"GEIGER, JAMES",,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,1,Greensboro Board of Education,NC,"WILLIAMS, JAMES T JR",,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,2,Greensboro Board of Education,NC,"DAVIS, JAMES P",,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,3,Greensboro Board of Education,NC,"KING, MICHAEL",,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,4,Greensboro Board of Education,NC,"WILLIAMS, MERRILOU R",,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,5,Greensboro Board of Education,NC,"BEALE, SARAH J",,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,6,Greensboro Board of Education,NC,"HICKS, J EDDIE",,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SCHOOL BOARD,AT-LARGE,Greensboro Board of Education,NC,"LAMBETH, CHARLES F",,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SEC OF STATE,,,NC,"EURE, THAD",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SENATOR,,,NC,"HUNT, JAMES B JR",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,26,NC House District 26,NC,"GIST, HERMAN",Democrat,1,,,,Unopposed,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,27,NC House District 27,NC,"LINEBERRY, ALBERT SR",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,27,NC House District 27,NC,"SEYMOUR, MARY P",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,28,NC House District 28,NC,"GIBSON, J B",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,28,NC House District 28,NC,"JARRELL, MARY",Democrat,1,,1,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE REP,29,NC House District 29,NC,"GRIMSLEY, WILLIAM T",Democrat,1,,1,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE SENATOR,19,NC Senate District 19,NC,"EDWARDS, ELTON",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,STATE SENATOR,31,NC Senate District 31,NC,"MARTIN, WILLIAM N",Democrat,1,1,,,Unopposed,0.95
NC,Greensboro News and Record,132700,1984,STATE SENATOR,32,NC Senate District 32,NC,"GRAY, RACHEL G",Democrat,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1984,SUPERINTENDENT,,,NC,"PHILLIPS, CRAIG",Democrat,1,1,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SUPREME COURT,,Associate Justice,NC,"FRYE, HENRY E",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1984,SUPREME COURT,,Associate Justice,NC,"MITCHELL, BURLEY B JR",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1986,CNTY CLERK,,Guilford County,NC,"CARROLL, EDWARD R",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1986,CNTY COMM,2,Guilford County District 2,NC,"MANZI, JACKIE",Republican,1,,1,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1986,CNTY COMM,3,Guilford County District 3,NC,"KEARNS, DOROTHY",Democrat,1,,1,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1986,CNTY COMM,3,Guilford County District 3,NC,"MARKS, ROBERT L",Democrat,1,,,,Bolded in summary list,0.85
NC,Greensboro News and Record,132700,1986,CNTY COMM,4,Guilford County District 4,NC,"ANDERSON, WILLIAM H",Republican,1,,1,,Bolded in summary list,0.85
NC,Greensboro News and Record,132700,1986,COURT OF APPEALS,,NC Court of Appeals,NC,"GREENE, K EDWARD",Democrat,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1986,COURT OF APPEALS,,NC Court of Appeals,NC,"PARKER, SARAH",Democrat,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1986,COURT OF APPEALS,,NC Court of Appeals,NC,"PEARCE, BETTY J",Republican,1,,,,Bolded in summary list,0.90
NC,Greensboro News and Record,132700,1986,DA/PROSECUTOR,,Guilford County,NC,"KIMEL, HORACE M",Democrat,1,,,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1986,H,6,Sixth Congressional District,NC,"COBLE, HOWARD",Republican,1,,1,,Bolded in summary list,0.95
NC,Greensboro News and Record,132700,1986,SCHOOL BOARD,2,Greensboro Board of Education,NC,"DAVIS, JAMES P",,1,,,,Bolded in summary list (nonpartisan),0.90
NC,Greensboro News and Record,132700,1986,SCHOOL BOARD,3,Greensboro Board of Education,NC,"WALL, PERSHING E SR",,1,,,,Bolded in summary list (nonpartisan),0.90
