state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NC,Greensboro News and Record,132700,1984,NC,AMENDMENT,,Constitutional amendment requiring AG and DA candidates be authorized to practice law prior to election,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1984,NC,REFERENDUM,,Restructure Guilford County Board of Commissioners from 5 to 7 members elected from 4 districts,1,FOR vote recommended | V5: prop_type filled from desc analysis.,0.95
NC,Greensboro News and Record,132700,1986,NC,BOND,,"Guilford County bond - $21 million for courthouse, jail in High Point and mental/family health facilities",1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1986,NC,BOND,,Guilford County water bonds - $2 million,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1986,NC,BOND,,Guilford County sanitary sewer bonds - $4 million,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1986,NC,AMENDMENT,,Constitutional amendment to permit General Assembly to authorize bonds for higher education facilities,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1986,NC,AMENDMENT,,Constitutional amendment for election to fill remainder of unexpired term if vacancy occurs >60 days before next election,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1986,NC,AMENDMENT,,Constitutional amendment to allow General Assembly to grant powers for seaport and airport development,1,FOR vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Guilford County parks bond,1,Yes vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Guilford County community college bond,1,Yes vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Greensboro streets and bridges bond,1,Yes vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Greensboro redevelopment bond,1,Yes vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Greensboro mass transportation bond,1,Yes vote recommended,0.95
NC,Greensboro News and Record,132700,1988,NC,BOND,,Greensboro housing bond,1,Yes vote recommended,0.95
