state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
NC,Greensboro Record,132702,1964,PRESIDENT,,PRESIDENT OF THE UNITED STATES,NC,"JOHNSON, LYNDON B.",Democrat,1,1,,,"Editorial 'The Choice' endorses Johnson over Goldwater citing leadership and experience | V2: name std JOHNSON, LYNDON B → JOHNSON, LYNDON B. (cross-paper GDN match).",0.95
NC,Greensboro Record,132702,1964,VICE PRESIDENT,,VICE PRESIDENT OF THE UNITED STATES,NC,"HUMPHREY, HUBERT",Democrat,1,,,,Endorsed as part of Johnson-Humphrey ticket,0.90
NC,Greensboro Record,132702,1966,CNTY COMM,,Guilford County,NC,"GOURLEY, WILLARD JR",Republican,1,,,,"Described as 'energetic, ambitious, and tested in leadership'; editorial says Republicans deserve two seats",0.70
NC,Greensboro Record,132702,1966,CNTY COMM,,Guilford County,NC,"MONTGOMERY, DALE",Republican,1,,1,,Praised as 'effective mediator' on board; editorial recommends Republicans deserve two seats and split tickets,0.70
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"BOWLES, HARGROVE",Democrat,1,,,,"Endorsed; ran NC Dept of Conservation and Development | V2: name std BOWLES, HARGROVE JR → BOWLES, HARGROVE (cross-paper GDN match).",0.90
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"EDWARDS, ELTON",Democrat,1,,,,Experienced legislator,0.90
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"EXUM, JAMES G JR",Democrat,1,,,,Untested but impressive credentials,0.90
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"PHILLIPS, CHARLES W",Democrat,1,,,,Experienced legislator; humanitarian,0.90
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"SHORT, MARCUS",Democrat,1,,,,Experienced legislator,0.90
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"THOMPSON, THURMAN T",Republican,0,,,,Criticized as KKK member; party leaders tried to make him withdraw,0.95
NC,Greensboro Record,132702,1966,STATE REP,,Guilford County,NC,"WHITLEY, D P JR",Democrat,1,,,,Experienced conservative legislator,0.90
NC,Greensboro Record,132702,1966,STATE SENATOR,,Guilford-Randolph,NC,"JORDAN, HENRY",Democrat,1,,,,Former state senator and highway commission chairman,0.85
NC,Greensboro Record,132702,1966,STATE SENATOR,,Guilford-Randolph,NC,"KEMP, ED",Democrat,1,,,,Veteran legislator; political comer,0.85
NC,Greensboro Record,132702,1966,STATE SENATOR,,Guilford-Randolph,NC,"MCLENDON, L P JR",Democrat,1,,,,Seeking second term in upper chamber,0.85
NC,Greensboro Record,132702,1968,ATTORNEY GENERAL,,ATTORNEY GENERAL OF NORTH CAROLINA,NC,"MORGAN, ROBERT",Democrat,1,,,,Long been a legislator of uncommon energy and persuasiveness; qualifications dwarf challenger,0.90
NC,Greensboro Record,132702,1968,CNTY COMM,,Guilford County,NC,"LINVILLE, R N",Democrat,1,1,,,Chief Democratic spokesman in courthouse; encourages hope for re-election | V2 Pattern K fix.,0.90
NC,Greensboro Record,132702,1968,H,6,Sixth Congressional District,NC,"PREYER, L. RICHARDSON",Democrat,1,,,,"Editorial favors Preyer's more reasonable approach to federal-local relations, school integration; recognizes constitutional limits | V2: name std PREYER, L RICHARDSON → PREYER, L. RICHARDSON (cross-paper GDN match). | V5 conf boost: GDN cross-paper agreement on Preyer H-6 endorsement.",0.88
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"ALEXANDER, ELRETA MELTON",Republican,1,,,,Attorney of proven skill and courage; combination of qualifications can ill be spared,0.85
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"ENOCHS, HERMAN JR",Democrat,1,,,,Tested in Greensboro Municipal Court; experience favors Democrats,0.70
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"GENTRY, B GORDON",Democrat,1,,,,Founding judge of Guilford Domestic Relations Court,0.70
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"HAWORTH, BYRON",Democrat,1,,,,Veteran of High Point court,0.70
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"KUYKENDALL, E D JR",Democrat,1,,,,Tested in Greensboro Municipal Court,0.70
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"MILES, J BENJAMIN",Democrat,1,,,,Tested in Greensboro Municipal Court,0.70
NC,Greensboro Record,132702,1968,JUDGE,,Guilford County District Court,NC,"WASHINGTON, EDWARD K",Democrat,1,,,,Experience as solicitor of Superior Court,0.70
NC,Greensboro Record,132702,1968,LT GOVERNOR,,LIEUTENANT GOVERNOR OF NORTH CAROLINA,NC,"TAYLOR, H. PAT, JR.",Democrat,1,,,,"By all other measurements, Pat Taylor is plainly better equipped than Don Garren; six terms in House, House Speaker 1965 | V2: name std TAYLOR, H PAT JR → TAYLOR, H. PAT, JR. (cross-paper GDN match).",0.95
NC,Greensboro Record,132702,1968,PRESIDENT,,PRESIDENT OF THE UNITED STATES,NC,"WALLACE, GEORGE",Independent,0,,,,Editorial calls Wallace 'clearly unfit for the presidency' citing simplistic reasoning,0.95
NC,Greensboro Record,132702,1968,SENATOR,,US SENATOR - NORTH CAROLINA,NC,"ERVIN, SAM J., JR.",Democrat,1,1,,,"Political monument with experience as state judge, state Supreme Court justice, congressman, senator since 1954 | V2: name std ERVIN, SAM JR → ERVIN, SAM J., JR. (cross-paper GDN match). | V5 conf boost: GDN cross-paper agreement + 1968 OCR confirms Ervin SEN.",0.88
NC,Greensboro Record,132702,1968,STATE REP,,Guilford County,NC,"CLARK, DAVID M",Democrat,1,,,,Among Democratic candidates; not a poor candidate,0.60
NC,Greensboro Record,132702,1968,STATE REP,,Guilford County,NC,"FRYE, HENRY E",Democrat,1,,,,Estimable representative of a race long deprived of a legislative spokesman,0.85
NC,Greensboro Record,132702,1968,STATE REP,,Guilford County,NC,"PHILLIPS, C W",Democrat,1,1,,,Incumbent; earned return to House | V2 Pattern K fix.,0.90
NC,Greensboro Record,132702,1968,STATE REP,,Guilford County,NC,"RIDENHOUR, JOHN L III",Democrat,1,,,,Among Democratic candidates; not a poor candidate,0.60
NC,Greensboro Record,132702,1968,STATE REP,,Guilford County,NC,"SHORT, W M",Democrat,1,1,,,Incumbent; earned return to House | V2 Pattern K fix.,0.90
