state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Akron Beacon Journal,134150,1968,CNTY CLERK,,,OH,"YACOBUCCI, FRANK P.",Republican,1,,,,1968 ballot: X for Clerk of Court of Common Pleas (Yacobucci R),0.94
OH,Akron Beacon Journal,134150,1968,CNTY COMM,,,OH,"MADDEN, CHARLES F. JR.",Republican,1,,,,"1968 ballot: X for County Commissioner (Madden R, Slusser R both endorsed over Herberich D, Davis D). Original wrongly labeled Madden as Democrat; corrected in re-QA.",0.94
OH,Akron Beacon Journal,134150,1968,CNTY COMM,,,OH,"SLUSSER, RICHARD E.",Republican,1,,,,"1968 ballot: X for County Commissioner (Slusser R, paired with Madden R)",0.94
OH,Akron Beacon Journal,134150,1968,CORONER,,,OH,"KYRIAKIDES, A. H.",Republican,1,,,,1968 ballot: X for Coroner (Kyriakides R over Repasky D). Previously low-confidence 0.75 bumped to 0.95 in re-QA 2026-05-26 after direct X-mark verification.,0.95
OH,Akron Beacon Journal,134150,1968,COUNTY ENGINEER,,,OH,"VANBRIMMER, RALPH",Democrat,1,,,,1968 ballot: X for County Engineer (VanBrimmer D),0.93
OH,Akron Beacon Journal,134150,1968,COURT OF APPEALS,9,,OH,"BRENNEMAN, MYRON T.",,1,,,,"1968 non-partisan ballot: X for Court of Appeals 9th District unexpired Feb 5, 1971",0.93
OH,Akron Beacon Journal,134150,1968,DA/PROSECUTOR,,,OH,"BARBUTO, JAMES V.",Democrat,1,,,,1968 ballot: X for Prosecuting Attorney (Barbuto D over Oldham R),0.94
OH,Akron Beacon Journal,134150,1968,H,13,,OH,"MOSHER, CHARLES A.",Republican,1,,,,1968 ballot: X for US Rep 13th District (Mosher R over Betleski D). Original April 2026 extraction had wrong district 12; corrected in re-QA 2026-05-26.,0.95
OH,Akron Beacon Journal,134150,1968,H,14,,OH,"AYRES, WILLIAM H.",Republican,1,,,,1968 ballot: X for US Rep 14th District (Ayres R over Ocasek D),0.95
OH,Akron Beacon Journal,134150,1968,H,17,,OH,"ASHBROOK, JOHN M.",Republican,1,,,,1968 ballot: X for US Rep 17th District (Ashbrook R over Levering D). Original had wrong district 13; corrected in re-QA 2026-05-26.,0.95
OH,Akron Beacon Journal,134150,1968,JUDGE,,,OH,"MAHONEY, EDWARD J.",,1,,,,1968 non-partisan ballot: Common Pleas Jan 5 1969 'BOTH QUALIFIED'; per standing rule both endorsed=1. Added in re-QA.,0.80
OH,Akron Beacon Journal,134150,1968,JUDGE,,,OH,"PRICE, THEODORE R.",,1,,,,1968 non-partisan ballot: Common Pleas Jan 5 1969 'BOTH QUALIFIED' Price + Mahoney; per standing rule both endorsed=1. Added in re-QA.,0.80
OH,Akron Beacon Journal,134150,1968,JUDGE,,,OH,"QUILLIN, DANIEL B.",,1,,,,"1968 non-partisan ballot: X for Common Pleas (unexpired Jan 2, 1973) over Zurz",0.93
OH,Akron Beacon Journal,134150,1968,JUDGE,,,OH,"REED, EVAN J.",,1,,,,"1968 non-partisan ballot: X for Common Pleas (unexpired Jan 2, 1973)",0.93
OH,Akron Beacon Journal,134150,1968,PRESIDENT,,,OH,"NIXON, RICHARD M.",Republican,1,,,,1968 ballot: X for Nixon-Agnew Republican slate over Humphrey-Muskie (D) and Wallace-Griffin (AIP),0.98
OH,Akron Beacon Journal,134150,1968,RECORDER,,,OH,"THOMAS, THOMAS",Republican,1,,,,1968 ballot: X for County Recorder (Thomas Thomas R over Ruff D). Original wrongly captured Ruff; corrected in re-QA.,0.92
OH,Akron Beacon Journal,134150,1968,SENATOR,,,OH,"SAXBE, WILLIAM B.",Republican,1,,,,1968 ballot: X for US Senator (Saxbe R over Gilligan D),0.97
OH,Akron Beacon Journal,134150,1968,SHERIFF,,,OH,"CAMPBELL, ROBERT D.",Democrat,1,,,,1968 ballot: X for Sheriff (Campbell D),0.94
OH,Akron Beacon Journal,134150,1968,STATE REP,91,,OH,"LEVITT, ROBERT E.",Republican,1,,,,1968 ballot: X for State Rep 91 (Levitt R over Montgomery D),0.92
OH,Akron Beacon Journal,134150,1968,STATE REP,92,,OH,"WITMER, ED",Democrat,1,,,,1968 ballot: X for State Rep 92 (Witmer D over Reichel R),0.92
OH,Akron Beacon Journal,134150,1968,STATE REP,93,,OH,"BOYD, MORRIS L.",Republican,1,,,,1968 ballot: 93rd 'BOTH QUALIFIED'; per standing rule both endorsed=1. Added in re-QA 2026-05-26.,0.80
OH,Akron Beacon Journal,134150,1968,STATE REP,93,,OH,"TURNER, RALPH F. JR.",Democrat,1,,,,1968 ballot: 93rd 'BOTH QUALIFIED' Turner D + Boyd R; per standing rule both endorsed=1. Added in re-QA 2026-05-26.,0.80
OH,Akron Beacon Journal,134150,1968,STATE REP,94,,OH,"MANNING, ROBERT A.",Republican,1,,,,1968 ballot: X for State Rep 94 (Manning R over McGowan D),0.94
OH,Akron Beacon Journal,134150,1968,STATE REP,95,,OH,"WATSON, WILLIAM JR.",Republican,1,,,,1968 ballot: X for State Rep 95 (Watson R over Fiocca D),0.93
OH,Akron Beacon Journal,134150,1968,STATE REP,96,,OH,"HEADLEY, DAVID L.",Democrat,1,,,,1968 ballot: X for State Rep 96 (Headley D over Smith R),0.94
OH,Akron Beacon Journal,134150,1968,STATE REP,97,,OH,"GRAY, JAMES D.",Republican,1,,,,1968 ballot: X for State Rep 97 (Gray R over Poda Jr D). Original wrongly captured Poda; corrected in re-QA.,0.92
OH,Akron Beacon Journal,134150,1968,STATE SENATOR,25,,OH,"NYE, WILLIAM B.",Democrat,1,,,,1968 ballot: X for State Senator 25th District (Nye D over Keller R). Original had wrong district 29; corrected in re-QA.,0.93
OH,Akron Beacon Journal,134150,1968,SUPREME COURT,,,OH,"BROTHERS, MERRILL D.",,1,,,,1968 non-partisan ballot: Brothers paired with Herbert 'BOTH QUALIFIED'; per standing rule both endorsed=1. Added in re-QA.,0.80
OH,Akron Beacon Journal,134150,1968,SUPREME COURT,,,OH,"HERBERT, THOMAS M.",,1,,,,1968 non-partisan ballot: X for Supreme Court Justice (Herbert; Brothers labeled 'BOTH QUALIFIED'),0.95
OH,Akron Beacon Journal,134150,1968,SUPREME COURT,,,OH,"MATTHIAS, JOHN M.",,1,,,,1968 non-partisan ballot: X for Supreme Court Justice (Matthias over Allen Brown),0.95
OH,Akron Beacon Journal,134150,1968,SUPREME COURT,,,OH,"TAFT, KINGSLEY A.",,1,,,,1968 non-partisan ballot: X for Chief Justice (Taft over Duffy),0.95
OH,Akron Beacon Journal,134150,1968,TREASURER,,,OH,"SWANSON, ARTHUR E.",Democrat,1,,,,1968 ballot: X for County Treasurer (Swanson D over Howard R). Original wrongly captured Howard; corrected in re-QA.,0.92
OH,Akron Beacon Journal,134150,1968,VICE PRESIDENT,,,OH,"AGNEW, SPIRO T.",Republican,1,,,,1968 ballot: X for Nixon-Agnew Republican slate,0.98
OH,Akron Beacon Journal,134150,1970,AUDITOR,,Summit County,OH,"BOWER, C. L.",Democrat,1,,,,"X-marked for County Auditor; editorial: 'C. L. BOWER'S long record of performance justifies another term as County Auditor in preference to his able opponent, Robert W. Herberich' [original office: CNTY AUDITOR]",0.97
OH,Akron Beacon Journal,134150,1970,AUDITOR,,,OH,"TRACY, ROGER W., JR.",Republican,1,,,,X-marked on Office Type Ballot for Auditor of State,0.97
OH,Akron Beacon Journal,134150,1970,CNTY COMM,,Summit County,OH,"FITZGIBBONS, JACK",Republican,1,,,,"X-marked for County Commissioner (Unexpired term ending December 31, 1972); editorial: 'JACK FITZGIBBONS for the short term'",0.97
OH,Akron Beacon Journal,134150,1970,CNTY COMM,,Summit County,OH,"NEIMAN, HAROLD",Republican,1,,,,"X-marked for County Commissioner (Full term commencing January 4, 1971); editorial: 'we give preference to HAROLD NEIMAN for the long term'",0.97
OH,Akron Beacon Journal,134150,1970,COURT OF APPEALS,9,,OH,"VICTOR, WILLIAM H.",,1,,,,"X-marked on Non-Partisan Ballot for Judge of the Court of Appeals (9th District) (Full Term Commencing February 9, 1971)",0.95
OH,Akron Beacon Journal,134150,1970,GOVERNOR,,,OH,"GILLIGAN, JOHN J.",Democrat,1,,,,X-marked on Office Type Ballot; explicitly endorsed in editorial because 'he is willing to face up to the issues of today and meet them boldly',0.98
