state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OH,Akron Beacon Journal,134150,1970,OH,CHARTER AMENDMENT,,Adoption of the new Summit County charter (modernize county government),1,Editorial strongly favors: 'The Beacon Journal strongly favors all four. The charter offers the chance to modernize county government. It is opposed only by those who have certain selfish interests to protect.',0.97
OH,Akron Beacon Journal,134150,1970,OH,STATE ISSUE,1,Constitutional amendment enabling the Legislature to give tax exemptions on homesteads owned by persons over 65,0,"Editorial opposes: 'We think that No. 1, enabling the Legislature to give tax exemptions on homesteads owned by persons over 65, is ill-advised.'",0.97
OH,Akron Beacon Journal,134150,1970,OH,STATE ISSUE,2,Constitutional amendment to shorten voter residency requirements,1,"Editorial favors: 'We favor No. 2, which would shorten voter residency requirements'",0.97
OH,Akron Beacon Journal,134150,1970,OH,STATE ISSUE,3,Constitutional amendment to simplify giving notice of charter amendments,1,Editorial favors: 'and No. 3 to simplify giving notice of charter amendments',0.96
OH,Akron Beacon Journal,134150,1970,OH,TAX LEVY,,Summit County tax levies (three unnamed levies endorsed in editorial as bundle),1,Editorial endorsed three unnamed Summit County tax levies for worthy purposes as a bundle; original ballot did not identify specific levy numbers. Consolidated from 3 placeholder rows during QA.,0.85
OH,Akron Beacon Journal,134150,1972,OH,AKRON CHARTER AMENDMENT,5,City of Akron - Shall Section 70a of the City Charter be amended to remove the requirement for an annual adjustment in the salaries of Police Division and Fire Division,1,Beacon Journal recommends YES; removes outdated wage escalator language; will not affect pay or manpower,0.96
OH,Akron Beacon Journal,134150,1972,OH,AKRON CHARTER AMENDMENT,6,City of Akron - Shall Section 104 of the City Charter be amended to change the term of appointment of the Personnel Director from one to three years,1,Beacon Journal recommends YES; will provide stability in Civil Service management,0.96
OH,Akron Beacon Journal,134150,1972,OH,PROPOSED CONSTITUTIONAL AMENDMENT,2,Amendment relative to conditions and prohibitions upon levy of a tax on income (except a municipal income tax) or increasing rates without approval of a majority of voting electors; would repeal graduated state income tax and require flat-rate tax,0,Beacon Journal strongly urges NO vote to keep the needed and equitable graduated income tax,0.97
OH,Akron Beacon Journal,134150,1972,OH,PROPOSED CONSTITUTIONAL CONVENTION,1,"Shall there be a Convention to revise, alter, or amend the Constitution of the State of Ohio?",0,Beacon Journal recommends NO; Constitution can be amended through regular processes,0.96
OH,Akron Beacon Journal,134150,1972,OH,TAX LEVY,,"Barberton City School District - 4.6-mill, two-year emergency operating levy",1,"Editorial: 'The Barberton schools 4.6-mill, two-year emergency operating levy also deserves a yes vote. The need for the cash to keep the Barberton schools open has been substantiated.'",0.92
OH,Akron Beacon Journal,134150,1972,OH,TAX LEVY,21,South Summit Joint Vocational School District - Issue 21,1,"Editorial: 'Support also is urged for Issues 21 and 22, for the South Summit Joint Vocational School District'",0.90
OH,Akron Beacon Journal,134150,1972,OH,TAX LEVY,22,South Summit Joint Vocational School District - Issue 22,1,"Editorial: 'Support also is urged for Issues 21 and 22, for the South Summit Joint Vocational School District'",0.90
OH,Akron Beacon Journal,134150,1972,OH,TAX LEVY,3,"Summit County - Additional tax for benefit of Edwin Shaw Hospital, 5-year levy, .36-mill",1,Beacon Journal urges YES vote,0.96
OH,Akron Beacon Journal,134150,1972,OH,TAX LEVY,4,"Summit County - Renewal of 1.90 mills for Children Services and Placement of Children, 5-year levy",1,Beacon Journal urges YES vote,0.96
OH,Akron Beacon Journal,134150,1974,OH,STATE ISSUE,1,Real estate tax reduction for permanently disabled,0,To allow a reduction in real estate taxes for the permanently disabled.,0.98
OH,Akron Beacon Journal,134150,1974,OH,STATE ISSUE,2,Repeal one-year term for superintendent of public works,1,To repeal the constitutional requirement that the governor appoint a superintendent of public works for a one-year term.,0.98
OH,Akron Beacon Journal,134150,1974,OH,STATE ISSUE,3,Expand purposes for industrial development bonds,1,To expand the purposes for which Ohio can issue public industrial development bonds.,0.98
OH,Akron Beacon Journal,134150,1974,OH,SUMMIT COUNTY ISSUE,4,Permanent property tax levy of .75 mill for Juvenile Court Center,1,A permanent property tax levy of .75 (3/4) mill to support the Juvenile Court Center.,0.98
OH,Akron Beacon Journal,134150,1974,OH,SUMMIT COUNTY ISSUE,5,Establish commission to devise new county charter,1,To establish a commission to devise a new county charter; no charter proposals would go into effect unless approved by voters in a subsequent election.,0.98
OH,Akron Beacon Journal,134150,1974,OH,SUMMIT COUNTY ISSUE,6,Property tax renewal of .46 mill for Board of Mental Retardation,1,A property tax renewal of .46 mill for a period of five years to support projects of the county Board of Mental Retardation.,0.98
OH,Akron Beacon Journal,134150,1974,OH,SUMMIT COUNTY ISSUE,7,Property tax renewal of .37 mill plus .88 mill increase for Mental Health and Mental Retardation Board,1,A property tax renewal of .37 mill and an increase of .88 mill - a total of 1.25 mills - for 10 years to support projects of the county Mental Health and Mental Retardation Board.,0.98
OH,Akron Beacon Journal,134150,2008,OH,BALLOT MEASURE,2,Ohio Issue 2: continue the work of the Clean Ohio program (environmental and conservation funding),1,"Editorial 'Four big choices' (Nov 2, 2008) — 'Yes on Issue 2 to continue the good work of the Clean Ohio program'",0.95
OH,Akron Beacon Journal,134150,2008,OH,BALLOT MEASURE,5,Ohio Issue 5: curb usurious payday lending practices (rate cap on payday loans),1,"Editorial 'Four big choices' (Nov 2, 2008) — 'Yes on Issue 5 to curb the usurious ways of payday lenders'. Reinforced by Nov 3 editorial 'Again, yes on Issue 5'.",0.95
OH,Akron Beacon Journal,134150,2008,OH,BALLOT MEASURE,6,Ohio Issue 6: constitutional amendment to permit casino gambling in Ohio,0,"Editorial 'Four big choices' (Nov 2, 2008) — 'Reject the false promise of casino gambling. No on Issue 6'",0.95
OH,Akron Beacon Journal,134150,2008,OH,BALLOT MEASURE,8,Akron Issue 8: sewers/college scholarships/stronger Akron — Mayor Plusquellic proposed leasing the city sewer system in endowment to fund scholarships for Akron high school graduates,1,"Editorial 'Four big choices' (Nov 2, 2008) — 'Yes on Issue 8'",0.92
