state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Cincinnati Enquirer,134700,1958,SUPREME COURT,,,OH,"CAMPBELL, WILLARD D.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; FULL TERM COMMENCING JANUARY 1 1959; VOTE FOR TWO,0.95
OH,Cincinnati Enquirer,134700,1958,SUPREME COURT,,,OH,"ZIMMERMAN, CHARLES B.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; FULL TERM COMMENCING JANUARY 1 1959; VOTE FOR TWO,0.95
OH,Cincinnati Enquirer,134700,1958,SUPREME COURT,,,OH,"STEWART, JAMES GARFIELD",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; FULL TERM COMMENCING FEBRUARY 9 1959; VOTE FOR ONE,0.85
OH,Cincinnati Enquirer,134700,1958,COURT OF APPEALS,1,,OH,"HILDEBRANT, RICHARD H.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; FIRST APPELLATE DISTRICT; FULL TERM COMMENCING FEBRUARY 9 1959,0.95
OH,Cincinnati Enquirer,134700,1958,COURT OF COMMON PLEAS,,,OH,"KOHNEN, RALPH B.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; UNEXPIRED TERM ENDING FEBRUARY 12 1961; VOTE FOR ONE; VS LEONARD C. GARTNER,0.85
OH,Cincinnati Enquirer,134700,1958,COUNTY COURT,,,OH,"CONNERS, THOMAS J.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; FULL TERM COMMENCING JANUARY 1 1959,0.85
OH,Cincinnati Enquirer,134700,1958,COUNTY COURT,,,OH,"COOK, HOWARD T.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; COUNTY COURT,0.85
OH,Cincinnati Enquirer,134700,1958,COUNTY COURT,,,OH,"GATES, ROBERT G.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; COUNTY COURT,0.85
OH,Cincinnati Enquirer,134700,1958,COUNTY COURT,,,OH,"GILDAY, PAUL E.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; COUNTY COURT,0.85
OH,Cincinnati Enquirer,134700,1958,COUNTY COURT,,,OH,"GORMAN, DAVID N.",Nonpartisan,1,,,,SAMPLE BALLOT ENDORSEMENT; COUNTY COURT,0.85
