state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OH,Cincinnati Enquirer,134700,1958,OH,BOND,1,SCHOOL BOND ISSUE FOR ERECTING AND IMPROVING SCHOOLHOUSES - CINCINNATI CITY SCHOOL DISTRICT,1,SAMPLE BALLOT MARKED X FOR THE BOND ISSUE,0.9
OH,Cincinnati Enquirer,134700,1958,OH,TAX,3,PROPERTY TAX LEVY FOR CURRENT OPERATING EXPENSES OF HAMILTON COUNTY,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY,0.9
OH,Cincinnati Enquirer,134700,1958,OH,TAX,4,HAMILTON COUNTY PARK DISTRICT LEVY FOR ACQUIRING AND DEVELOPING PARKS INCLUDING SHARON WOODS AND WINTON WOODS,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY,0.9
OH,Cincinnati Enquirer,134700,1960,OH,TAX,1,PROPERTY TAX LEVY FOR CONSTRUCTING REPAIRING OR IMPROVING COUNTY ROADS - HAMILTON COUNTY,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY,0.9
OH,Cincinnati Enquirer,134700,1960,OH,TAX,2,TAX LEVY FOR CONSTRUCTING TRUNK OR MAIN LINE STORM AND SANITARY SEWERS IN HAMILTON COUNTY,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY,0.9
OH,Cincinnati Enquirer,134700,1960,OH,TAX,3,TAX LEVY RENEWAL FOR MAINTENANCE AND OPERATION OF THE DANIEL DRAKE MEMORIAL HOME AND HOSPITAL OF HAMILTON COUNTY,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY; RENEWAL,0.9
OH,Cincinnati Enquirer,134700,1960,OH,TAX,4,TAX LEVY RENEWAL FOR MAINTENANCE AND OPERATION OF DUNHAM HOSPITAL HAMILTON COUNTY,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY; RENEWAL,0.9
OH,Cincinnati Enquirer,134700,1960,OH,TAX,5,TAX LEVY FOR MAINTAINING AND DEVELOPING SHARON WOODS WINTON WOODS AND MIAMI WHITEWATER FOREST PARKS AND ACQUIRING ADDITIONAL LANDS FOR PARK PURPOSES - HAMILTON COUNTY PARK DISTRICT,1,SAMPLE BALLOT MARKED X FOR THE TAX LEVY,0.9
OH,Cincinnati Enquirer,134700,1960,OH,BOND,6,PROPOSED BOND ISSUE FOR THE CINCINNATI GENERAL HOSPITAL - CITY OF CINCINNATI,1,SAMPLE BALLOT MARKED X FOR THE BOND ISSUE,0.9
OH,Cincinnati Enquirer,134700,1960,OH,AMENDMENT,7,PROPOSED CHARTER AMENDMENT - CITY OF CINCINNATI,1,SAMPLE BALLOT MARKED X FOR THE CHARTER AMENDMENT; SPECIFIC CHARTER SECTION BEING AMENDED NOT CLEARLY READABLE,0.8
