state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Cincinnati Post,134750,1950,GOVERNOR,,,OH,"LAUSCHE, FRANK J.",Democrat,1,1,,,CROSS-PARTY ENDORSEMENT OF DEMOCRATIC GOVERNOR; LAUSCHE SEEKING RE-ELECTION; CLEARLY READABLE NAME WITH X MARK,0.88
OH,Cincinnati Post,134750,1950,SEC OF STATE,,,OH,"BROWN, TED W.",Republican,1,,1,,X MARK ENDORSEMENT; SPLIT TICKET WITH LAUSCHE (D) FOR GOVERNOR,0.85
OH,Cincinnati Post,134750,1950,AUDITOR,,,OH,"FERGUSON, JOSEPH T.",Democrat,1,1,,,X MARK ENDORSEMENT; DEMOCRATIC AUDITOR,0.85
OH,Cincinnati Post,134750,1950,TREASURER,,Hamilton,OH,"TRACY, ROGER W.",Republican,1,,1,,X MARK ENDORSEMENT; REPUBLICAN TREASURER; SPLIT TICKET; DNAME FILL: Hamilton County (R45),0.85
OH,Cincinnati Post,134750,1950,SUPREME COURT,CHIEF JUSTICE,,OH,"WEYGANDT, CARL V.",Nonpartisan,1,,,,NON-PARTISAN BALLOT; CHIEF JUSTICE OF SUPREME COURT; X MARK,0.7
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"PROCTOR, HARRY E.",Charter,1,,,,CHARTER CANDIDATE; LISTED FIRST AMONG POST'S FAVORED CANDIDATES; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"BERRY, THEODORE M.",Charter,1,,,,CHARTER CANDIDATE; PROMINENT AFRICAN AMERICAN POLITICAL LEADER IN CINCINNATI; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"ROBERTS, A. E.",Charter,1,,,,CHARTER CANDIDATE; FIRST NAME APPEARS AS INITIALS ONLY; DNAME FILL: Cincinnati (R45 corrected),0.88
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"GOLDSTEIN, HAROLD K.",Charter,1,,,,CHARTER CANDIDATE; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"DOLBEY, DOROTHY NICHOLS",Charter,1,,,,CHARTER CANDIDATE; PROMINENT CINCINNATI REFORMER; NAME PRINTED AS DOROTHY NICHOLS DOLBEY; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"CASH, ALBERT D.",Charter,1,,,,CHARTER CANDIDATE; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"WALDVOGEL, EDWARD N.",Charter,1,,,,CHARTER CANDIDATE; DNAME FILL: Cincinnati (R45 corrected),0.88
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"LEIS, SIMON L.",Republican,1,,,,REPUBLICAN; LISTED AS 'WELL QUALIFIED' ON THE REPUBLICAN SIDE; LEIS FAMILY PROMINENT IN HAMILTON COUNTY POLITICS; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"BAUER, CHARLES W.",Republican,1,,,,REPUBLICAN; LISTED AS 'WELL QUALIFIED'; DNAME FILL: Cincinnati (R45 corrected),0.9
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"STEWART, POTTER",Republican,1,,,,REPUBLICAN; LISTED AS 'WELL QUALIFIED'; POTTER STEWART LATER SERVED AS US SUPREME COURT JUSTICE (1958-1981); DNAME FILL: Cincinnati (R45 corrected),0.92
OH,Cincinnati Post,134750,1951,CITY COUNCIL,,Cincinnati,OH,"ALLEN, DOUGLASS M. JR.",Republican,1,,,,REPUBLICAN; LISTED AS 'WELL QUALIFIED'; DNAME FILL: Cincinnati (R45 corrected),0.88
OH,Cincinnati Post,134750,1952,PRESIDENT,,,OH,"EISENHOWER, DWIGHT D.",Republican,1,,,,LISTED FIRST; 1952 PRESIDENTIAL RACE,0.92
OH,Cincinnati Post,134750,1952,GOVERNOR,,,OH,"TAFT, CHARLES P.",Republican,1,,,,CHARLES PHELPS TAFT II; PROMINENT CINCINNATI REPUBLICAN; SON OF PRESIDENT TAFT; LOST GENERAL ELECTION TO LAUSCHE,0.9
OH,Cincinnati Post,134750,1952,SENATOR,,,OH,"BRICKER, JOHN W.",Republican,1,,1,,INCUMBENT REPUBLICAN SENATOR; FORMERLY GOVERNOR OF OHIO,0.9
OH,Cincinnati Post,134750,1952,LT GOVERNOR,,,OH,"NYE, GEORGE D.",Republican,1,,,,,0.78
OH,Cincinnati Post,134750,1952,SEC OF STATE,,,OH,"BROWN, TED W.",Republican,1,,1,,ALSO ENDORSED IN 1950,0.85
OH,Cincinnati Post,134750,1952,AUDITOR,,,OH,"RHODES, JAMES A.",Republican,1,,,,JAMES A. RHODES LATER SERVED AS FOUR-TERM GOVERNOR OF OHIO,0.85
OH,Cincinnati Post,134750,1952,TREASURER,,Hamilton,OH,"TRACY, ROGER W.",Republican,1,,1,,ALSO ENDORSED IN 1950; DNAME FILL: Hamilton County (R45),0.85
OH,Cincinnati Post,134750,1952,ATTORNEY GENERAL,,,OH,"O'NEILL, C. WILLIAM",Republican,1,,1,,,0.82
OH,Cincinnati Post,134750,1952,H,1,,OH,"SCHERER, GORDON H.",Republican,1,,,,CONGRESS 1ST DISTRICT,0.8
OH,Cincinnati Post,134750,1952,H,2,,OH,"WAGNER, EARL T.",Republican,1,,,,CONGRESS 2D DISTRICT,0.78
OH,Cincinnati Post,134750,1952,STATE SENATOR,,,OH,"HOFFHEIMER, HARRY M.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED,0.72
OH,Cincinnati Post,134750,1952,STATE SENATOR,,,OH,"DEDDENS, WILLIAM H.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED,0.72
OH,Cincinnati Post,134750,1952,STATE SENATOR,,,OH,"ROLF, DONALD H.",,1,,,,NAME FIX from 1952 OCR (R55): Rolf not Ebel,0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"GRONEMAN, ROBERT F.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED; LAST NAME SPELLING UNCERTAIN; NAME FIX from 1952 OCR (R55): Groneman,0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"JENNINGS, BYRON T.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED,0.78
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"KEESHAN, JOHN E.",,1,,,,NAME FIX from 1952 OCR (R55): Keeshan,0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"MCCLURE, A. BRUCE",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED,0.78
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"O'HARE, MARJORY J.",,1,,,,NAME FIX from 1952 OCR (R55): O'Hare,0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"RECKMAN, ROBERT F.",,1,,,,NAME FIX from 1952 OCR (R55): Reckman not Rankin,0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"BETTMAN, GILBERT",,1,,,,NAME FIX from 1952 OCR (R55): Bettman (well-known OH legislator),0.85
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"CLARK, JAMES R. JR.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED; APPEARS TO HAVE JR. SUFFIX,0.65
OH,Cincinnati Post,134750,1952,STATE REP,,,OH,"FREEMAN, CHARLES M.",,1,,,,NO PARTY LISTED; DISTRICT NOT SPECIFIED,0.72
OH,Cincinnati Post,134750,1952,CNTY COMM,,Hamilton,OH,"WEHKING, HOBART A.",,1,,,,NAME FIX from 1952 OCR (R55): Wehking Hobart,0.85
OH,Cincinnati Post,134750,1952,CNTY COMM,,Hamilton,OH,"MORR, FRED J.",,1,,,,NAME FIX from 1952 OCR (R55): Morr not Meier,0.85
OH,Cincinnati Post,134750,1952,DA/PROSECUTOR,,Hamilton,OH,"HOVER, C. WATSON",,1,,,,PROSECUTING ATTORNEY; HAMILTON COUNTY; DNAME FILL: Hamilton County (R45),0.78
OH,Cincinnati Post,134750,1952,CLERK OF COURTS,,Hamilton,OH,"HUNSICKER, ELMER F.",,1,,,,NAME FIX from 1952 OCR (R55): Hunsicker Elmer F,0.85
OH,Cincinnati Post,134750,1952,SHERIFF,,Hamilton,OH,"TEHAN, DAN",Republican,1,,,,CROSS-YEAR PARTY FILL; SHERIFF; HAMILTON COUNTY; DNAME FILL: Hamilton County (R45),0.82
OH,Cincinnati Post,134750,1952,RECORDER,,Hamilton,OH,"SHAVER, GILBERT J.",,1,,,,NAME FIX from 1952 OCR (R55): Shaver not Stover,0.85
OH,Cincinnati Post,134750,1952,CNTY TREASURER,,Hamilton,OH,"O'BRIEN, PAUL A.",,1,,,,COUNTY TREASURER; DNAME FILL: Hamilton County (R45),0.78
OH,Cincinnati Post,134750,1952,COUNTY ENGINEER,,Hamilton,OH,"LEMMEL, GEORGE M.",,1,,,,NAME FIX from 1952 OCR (R55): Lemmel not Lenard,0.85
OH,Cincinnati Post,134750,1952,CORONER,,Hamilton,OH,"LYLE, HERBERT P.",Nonpartisan,1,,,,CORONER; ALSO ENDORSED IN 1950 VOTER'S GUIDE; PARTY FILL: judicial/local nonpartisan; DNAME FILL: Hamilton County (R45),0.8
OH,Cincinnati Post,134750,1952,SUPREME COURT,,,OH,"ZIMMERMAN, CHARLES B.",Nonpartisan,1,,,,OHIO SUPREME COURT,0.82
OH,Cincinnati Post,134750,1952,SUPREME COURT,,,OH,"STEWART, JAMES GARFIELD",Nonpartisan,1,,,,OHIO SUPREME COURT,0.82
OH,Cincinnati Post,134750,1952,COURT OF APPEALS,1,,OH,"HILDEBRANT, RICHARD H.",Nonpartisan,1,,,,COURT OF APPEALS; LAST NAME SPELLING COULD BE HILDEBRANT OR HILDEBRANDT,0.72
OH,Cincinnati Post,134750,1952,COURT OF COMMON PLEAS,,,OH,"BALLOU, ISRAEL",Nonpartisan,1,,,,LISTED BELOW COURT OF APPEALS; NAME READING UNCERTAIN,0.55
OH,Cincinnati Post,134750,1953,CITY COUNCIL,,Cincinnati,OH,"BACHRACH, WALTON H.",Charter,1,,,,CHARTER CANDIDATE; LISTED ALPHABETICALLY FIRST; DNAME FILL: Cincinnati (R45 corrected),0.92
