state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OH,Cincinnati Post,134750,1950,OH,BOND,1,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR STREET IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE ENDORSED BY THE POST,0.82
OH,Cincinnati Post,134750,1950,OH,BOND,2,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR SEWER IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.82
OH,Cincinnati Post,134750,1950,OH,BOND,3,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR FREEWAY IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.82
OH,Cincinnati Post,134750,1950,OH,BOND,4,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR GENERAL HOSPITAL IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.82
OH,Cincinnati Post,134750,1950,OH,BOND,5,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR POLICE AND FIRE STATION AND EQUIPMENT IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.78
OH,Cincinnati Post,134750,1950,OH,BOND,6,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR PARK AND PLAYGROUND IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.78
OH,Cincinnati Post,134750,1950,OH,BOND,7,CITY OF CINCINNATI - PROPOSED BOND ISSUE FOR PUBLIC HEALTH AND SANITARY IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE; EXACT DESCRIPTION UNCERTAIN,0.6
OH,Cincinnati Post,134750,1950,OH,BOND,8,HAMILTON COUNTY - PROPOSED BOND ISSUE FOR COUNTY ROAD IMPROVEMENTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE; HAMILTON COUNTY SECTION,0.68
OH,Cincinnati Post,134750,1950,OH,BOND,9,HAMILTON COUNTY - PROPOSED BOND ISSUE FOR BRIDGES AND AIRPORTS,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE; EXACT DESCRIPTION UNCERTAIN,0.6
OH,Cincinnati Post,134750,1950,OH,BOND,10,HAMILTON COUNTY - PROPOSED BOND ISSUE FOR CURRENT EXPENSES,1,X FOR THE BOND ISSUE; PART OF 10-BOND PACKAGE,0.68
OH,Cincinnati Post,134750,1950,OH,CHARTER AMENDMENT,,CITY OF CINCINNATI CHARTER AMENDMENT PROPOSED BY CITY COUNCIL,1,X YES; CHARTER AMENDMENT; DETAILS OF AMENDMENT DIFFICULT TO READ,0.72
OH,Cincinnati Post,134750,1951,OH,LOCAL TAX,,CITY 4.41 MILL LEVY,1,VOTE FOR; prop_type standardized (R62),0.9
OH,Cincinnati Post,134750,1952,OH,CHARTER AMENDMENT,,PUBLIC HOUSING AMENDMENT TO THE CHARTER,1,VOTE YES,0.85
OH,Cincinnati Post,134750,1953,OH,BALLOT MEASURE,,FLUORIDATION,1,VOTE YES; prop_type standardized (R62),0.92
OH,Cincinnati Post,134750,1954,OH,CHARTER AMENDMENT,,CITY CHARTER AMENDMENT (S-X),0,VOTE NO ON S-X THE CITY CHARTER AMENDMENT,0.75
OH,Cincinnati Post,134750,1956,OH,CONSTITUTIONAL AMENDMENT,,TAX AMENDMENT,1,VOTE YES ON THE TAX AMENDMENT,0.68
OH,Cincinnati Post,134750,1957,OH,CONSTITUTIONAL AMENDMENT,,THREE STATE CONSTITUTIONAL AMENDMENTS,1,VOTE YES FOR ALL THREE STATE CONSTITUTIONAL AMENDMENTS,0.85
OH,Cincinnati Post,134750,1958,OH,CONSTITUTIONAL AMENDMENT,1,MUNICIPAL GOVERNMENT EMPLOYEES,1,PROPOSITION 1; DETAILS PARTIALLY READABLE — APPEARS TO RELATE TO MUNICIPAL GOVERNMENT PUBLIC WORKERS,0.6
OH,Cincinnati Post,134750,1958,OH,CONSTITUTIONAL AMENDMENT,2,RIGHT TO WORK,1,PROPOSITION 2; RIGHT TO WORK CONSTITUTIONAL AMENDMENT — THIS WAS A MAJOR 1958 OHIO BALLOT ISSUE,0.72
OH,Cincinnati Post,134750,1958,OH,BOND,,CINCINNATI SCHOOL BONDS,1,LOCAL ISSUE; VOTE YES,0.78
OH,Cincinnati Post,134750,1959,OH,CONSTITUTIONAL AMENDMENT,1,SALE OF SURPLUS WATER,1,PROPOSITION ONE FOR SALE OF SURPLUS WATER,0.9
OH,Cincinnati Post,134750,1959,OH,LOCAL TAX,,COUNTY PARK LEVY,1,LOCAL ISSUE; prop_type standardized (R62),0.92
OH,Cincinnati Post,134750,1960,OH,BOND,,GENERAL HOSPITAL BONDS,1,CINCINNATI ISSUE; VOTE FOR,0.78
OH,Cincinnati Post,134750,1961,OH,CHARTER AMENDMENT,,ONE-MILL LEVY FOR UNIVERSITY OF CINCINNATI,1,VOTE FOR; UNDER 'CHARTER AMENDMENT' HEADING; ONE-MILL ADDED LEVY FOR UC,0.9
OH,Cincinnati Post,134750,1962,OH,CONSTITUTIONAL AMENDMENT,1,STATE CONSTITUTIONAL AMENDMENT,1,VOTE YES,0.6
OH,Cincinnati Post,134750,1962,OH,LOCAL TAX,,COUNTY PARK LEVY,1,VOTE YES; prop_type standardized (R62),0.68
OH,Cincinnati Post,134750,1963,OH,LOCAL TAX,,COUNTY SEWER LEVY,1,VOTE YES; prop_type standardized (R62),0.95
OH,Cincinnati Post,134750,1964,OH,BOND,1,ROAD BONDS,1,NO. 1; VOTE YES,0.72
OH,Cincinnati Post,134750,1964,OH,LOCAL TAX,2,PARK LEVY,1,NO. 2; VOTE YES; prop_type standardized (R62),0.75
OH,Cincinnati Post,134750,1964,OH,LOCAL TAX,3-4,CINCINNATI SCHOOL LEVIES,1,NOS. 3 AND 4; VOTE YES; prop_type standardized (R62),0.75
OH,Cincinnati Post,134750,1964,OH,CHARTER AMENDMENT,5,ALLOWING USE OF TABULATORS IN CITY ELECTIONS,1,NO. 5; VOTE YES,0.72
OH,Cincinnati Post,134750,1964,OH,CHARTER AMENDMENT,6,PROFESSIONAL PROPOSAL,1,NO. 6; VOTE YES; EXACT DESCRIPTION UNCERTAIN,0.55
OH,Cincinnati Post,134750,1964,OH,CHARTER AMENDMENT,7,MERGER OF PARK AND RECREATION BOARDS,1,NO. 7; VOTE YES,0.72
OH,Cincinnati Post,134750,1965,OH,CONSTITUTIONAL AMENDMENT,1,INCREASING STATE SCHOOL FUNDS BY RAISING SALES TAX,0,VOTE NO; INCREASING STATE SCHOOL FUNDS BY RAISING SALES TAX,0.85
OH,Cincinnati Post,134750,1965,OH,CONSTITUTIONAL AMENDMENT,2,PERMITTING CREATION OF URBAN SERVICE AUTHORITY,1,VOTE YES; PERMITTING CREATION OF URBAN SERVICE AUTHORITY,0.85
OH,Cincinnati Post,134750,1965,OH,CONSTITUTIONAL AMENDMENT,3,PERMITTING JUDGES IN SMALL COUNTIES TO SERVE SEVERAL COURTS,1,VOTE YES,0.85
OH,Cincinnati Post,134750,1965,OH,BOND,4,"HAMILTON COUNTY BOND ISSUE $19,250,000 NEW HOSPITALS",1,"VOTE YES; HAMILTON COUNTY BOND ISSUE FOR $19,250,000 NEW HOSPITALS",0.85
OH,Cincinnati Post,134750,1965,OH,LOCAL TAX,5,HAMILTON COUNTY TAX LEVY 2.98 MILLS CHILD WELFARE AND HOSPITALS,1,VOTE YES; HAMILTON COUNTY TAX LEVY 2.98 MILLS FOR CHILD WELFARE AND HOSPITALS; prop_type standardized (R62),0.82
OH,Cincinnati Post,134750,1966,OH,BOND,,COUNTY BOND ISSUE,1,VOTE FOR,0.6
OH,Cincinnati Post,134750,1967,OH,CONSTITUTIONAL AMENDMENT,,APPORTIONMENT OF OHIO LEGISLATURE,1,VOTE YES,0.88
OH,Cincinnati Post,134750,1968,OH,BOND,1,STATE BOND ISSUE,1,NO. 1; VOTE YES,0.78
OH,Cincinnati Post,134750,1968,OH,CONSTITUTIONAL AMENDMENT,2,HOMESTEAD EXEMPTION,0,NO. 2; VOTE YES; PATTERN L direction fix from 1968 OCR (paper said NO),0.75
OH,Cincinnati Post,134750,1968,OH,CHARTER AMENDMENT,,CINCINNATI CHARTER AMENDMENT,1,VOTE YES,0.78
OH,Cincinnati Post,134750,1970,OH,CONSTITUTIONAL AMENDMENT,1,LEGISLATURE POWER TO REDUCE VALUATION AND TAXES OF HOMESTEADS OF ILL AND INFIRM,1,VOTE YES; PART OF THREE STATE CONSTITUTIONAL AMENDMENTS ALL ENDORSED,0.92
OH,Cincinnati Post,134750,1970,OH,CONSTITUTIONAL AMENDMENT,2,REDUCE VOTER RESIDENCY REQUIREMENT FROM ONE YEAR TO SIX MONTHS,1,VOTE YES,0.92
OH,Cincinnati Post,134750,1970,OH,CONSTITUTIONAL AMENDMENT,3,PERMIT NEWSPAPER PUBLICATION OF PROPOSED CITY CHARTER AMENDMENTS INSTEAD OF MAILED NOTICES,1,VOTE YES,0.92
OH,Cincinnati Post,134750,1970,OH,CHARTER AMENDMENT,,CINCINNATI CHARTER AMENDMENT FIXING COUNCILMEN SALARIES,0,"VOTE NO; PROPOSED AMENDMENT FIXING SALARIES OF CINCINNATI COUNCILMEN AT MORE PAY THAN STATE REPRESENTATIVES ($12,500/YEAR); POST BELIEVES COUNCIL SHOULD SET ITS OWN SALARIES",0.92
OH,Cincinnati Post,134750,1971,OH,LOCAL TAX,,HOSPITAL LEVY (RENEWAL),1,VOTE FOR; RENEWAL LEVY; prop_type standardized (R62),0.88
OH,Cincinnati Post,134750,1972,OH,CONSTITUTIONAL AMENDMENT,1,STATE ISSUE NO. 1 — CONSTITUTIONAL AMENDMENT,0,VOTE YES; PATTERN L direction fix from 1972 OCR (R63): paper said NO on constitutional convention,0.72
OH,Cincinnati Post,134750,1972,OH,BOND,2,STATE ISSUE NO. 2 — INCOME TAX REPEAL,0,VOTE YES; DESC + DIRECTION FIX (R63): paper opposed Income Tax Repeal not Highway Bond per 1972 OCR,0.68
OH,Cincinnati Post,134750,1972,OH,LOCAL TAX,,COUNTY TAX LEVY (RENEWAL),1,VOTE FOR; prop_type standardized (R62),0.72
OH,Cincinnati Post,134750,1973,OH,REFERENDUM,,FLUORIDATION,1,VOTE YES; WATER FLUORIDATION MEASURE,0.9
OH,Cincinnati Post,134750,1973,OH,CONSTITUTIONAL AMENDMENT,1,OHIO CONSTITUTIONAL AMENDMENT ISSUE ONE,0,VOTE NO,0.88
OH,Cincinnati Post,134750,1973,OH,CONSTITUTIONAL AMENDMENT,2,OHIO CONSTITUTIONAL AMENDMENT ISSUE TWO,1,VOTE YES,0.88
OH,Cincinnati Post,134750,1973,OH,CONSTITUTIONAL AMENDMENT,3,OHIO CONSTITUTIONAL AMENDMENT ISSUE THREE,1,VOTE YES,0.88
OH,Cincinnati Post,134750,1973,OH,CONSTITUTIONAL AMENDMENT,4,OHIO CONSTITUTIONAL AMENDMENT ISSUE FOUR,1,VOTE YES,0.88
OH,Cincinnati Post,134750,1975,OH,CHARTER AMENDMENT,,CINCINNATI CHARTER AMENDMENT — WOULD REVAMP USE OF CITY PLANNING AND ZONING COMMISSION,1,VOTE YES,0.82
OH,Cincinnati Post,134750,1975,OH,CONSTITUTIONAL AMENDMENT,1,OHIO ISSUE ONE — WOULD PERMIT COUNTIES TO CHOOSE FROM AMONG THREE ALTERNATIVE FORMS OF GOVERNMENT INSTEAD OF BEING LIMITED TO ONE FORM,1,VOTE YES,0.82
OH,Cincinnati Post,134750,1975,OH,CONSTITUTIONAL AMENDMENT,2,OHIO ISSUE TWO — WOULD AUTHORIZE THE SALE OF BONDS TO FUND IMPROVEMENTS TO STATE PARKS AND RECREATION AREAS,0,VOTE NO,0.78
OH,Cincinnati Post,134750,1975,OH,CONSTITUTIONAL AMENDMENT,3,OHIO ISSUE THREE — WOULD REMOVE PARTISAN LABELS FROM BALLOTS FOR STATE AND LOCAL JUDGES AND ABOLISH THE SYSTEM FOR PARTY PRIMARY NOMINATIONS FOR JUDGES,0,VOTE NO,0.78
OH,Cincinnati Post,134750,1975,OH,CONSTITUTIONAL AMENDMENT,4,OHIO ISSUE FOUR — WOULD GIVE OHIO GENERAL ASSEMBLY POWER TO PASS LAWS TO REGULATE STRIP MINING,1,VOTE YES,0.78
