state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Dayton Daily News,135101,1960,PRESIDENT,,,OH,"KENNEDY, JOHN F.",Democrat,1,,,,,0.95
OH,Dayton Daily News,135101,1960,PRESIDENT,,,OH,"JOHNSON, LYNDON B.",Democrat,1,,,,VP,0.95
OH,Dayton Daily News,135101,1960,H,3,,OH,"SCHENCK, PAUL F.",,1,,,,US Representative,0.95
OH,Dayton Daily News,135101,1960,AUDITOR,,,OH,"RHODES, JAMES A.",,1,,,,Auditor of State,0.9
OH,Dayton Daily News,135101,1960,STATE SENATOR,,,OH,"BAKER, WILLIAM",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,STATE REP,,,OH,"YODER, JESSE",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,STATE REP,,,OH,"WEISENBORN, CLARA E.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,STATE REP,,,OH,"ALBRITTON, DAVID A.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,STATE REP,,,OH,"SANDERS, WILLIAM L.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,STATE REP,,,OH,"RODERER, ROBERT L.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,CNTY COMM,,,OH,"KIEFABER, HARRY J.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,CNTY COMM,,,OH,"SCHELL, ROBERT L.",,1,,,,,0.9
OH,Dayton Daily News,135101,1960,DA/PROSECUTOR,,,OH,"YOUNG, PAUL R.",,1,,,,Prosecuting Attorney,0.95
OH,Dayton Daily News,135101,1960,CNTY CLERK,,,OH,"KREBS, FRANK W.",,1,,,,Clerk of Court of Common Pleas,0.95
OH,Dayton Daily News,135101,1960,SHERIFF,,,OH,"KEITER, BERNARD L.",,1,,,,,0.95
OH,Dayton Daily News,135101,1960,RECORDER,,,OH,"HECK, CHARLES S.",,1,,,,County Recorder,0.95
OH,Dayton Daily News,135101,1960,TREASURER,,,OH,"PFEIFFER, CHARLES A.",,1,,,,County,0.95
OH,Dayton Daily News,135101,1960,DIRECTOR,,,OH,"BAUER, CARL H.",,1,,,,County Engineer; unopposed,0.9
OH,Dayton Daily News,135101,1960,CORONER,,,OH,"ZIPF, ROBERT E.",,1,,,,,0.95
OH,Dayton Daily News,135101,1960,SUPREME COURT,,,OH,"BELL, JAMES F.",,1,,,,Ohio Supreme Court Justice,0.9
OH,Dayton Daily News,135101,1960,SUPREME COURT,,,OH,"TAFT, KINGSLEY A.",,1,,,,Ohio Supreme Court Justice,0.9
OH,Dayton Daily News,135101,1960,SUPREME COURT,,,OH,"PECK, JOHN W.",,1,,,,Ohio Supreme Court Justice,0.9
OH,Dayton Daily News,135101,1960,COURT OF APPEALS,,,OH,"SHERER, PAUL",,1,,,,Judge of Court of Appeals,0.9
OH,Dayton Daily News,135101,1960,JUDGE,,,OH,"KESSLER, CARL D.",,1,,,,Common Pleas,0.9
OH,Dayton Daily News,135101,1960,JUDGE,,,OH,"THOMAS, DON R.",,1,,,,Common Pleas; unopposed,0.9
OH,Dayton Daily News,135101,1960,JUDGE,,,OH,"MILLS, CHARLES LEE",,1,,,,Common Pleas; unopposed,0.9
OH,Dayton Daily News,135101,1960,JUDGE,,,OH,"ZIMMERS, NEAL F.",,1,,,,Probate Court,0.9
OH,Dayton Daily News,135101,1962,GOVERNOR,,,OH,"DISALLE, MICHAEL V.",Democrat,1,1,,,incumbent,0.95
OH,Dayton Daily News,135101,1962,SENATOR,,,OH,"LAUSCHE, FRANK J.",Democrat,1,1,,,incumbent,0.95
OH,Dayton Daily News,135101,1962,H,3,,OH,"EVERS, MORTY",,1,,,,,0.9
OH,Dayton Daily News,135101,1962,H,,,OH,"SCHENCK, PAUL F.",Republican,1,,,,deserves reelection on experience,0.9
OH,Dayton Daily News,135101,1962,H,,,OH,"TAFT, ROBERT JR.",Republican,1,,,,Congressman at large; son of late senator; should be a shoo-in,0.9
OH,Dayton Daily News,135101,1962,STATE SENATOR,,,OH,"SMITH, JOHN C.",Democrat,1,1,,,incumbent,0.95
OH,Dayton Daily News,135101,1962,STATE REP,,,OH,"YODER, JESSE",Democrat,1,,,,,0.9
