state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OH,Dayton Daily News,135101,1960,OH,REFERENDUM,,Renewal of Montgomery County one-mill hospital levy,1,essential,0.9
OH,Dayton Daily News,135101,1960,OH,BOND,,"School, county and township bond issues and tax levies in Miami Valley (general support)",1,Generally support; school issues deserve support across the board,0.75
OH,Dayton Daily News,135101,1962,OH,AMENDMENT,1,Blue Law amendment (Lawson Milk Co. sponsored) exempting some activities/goods from Sunday closing laws,0,Calls for a No vote on No. 1,0.95
OH,Dayton Daily News,135101,1968,OH,AMENDMENT,1,Ohio State Amendment 1 (allows funding of vital capital improvements),1,State Issue,0.9
OH,Dayton Daily News,135101,1968,OH,AMENDMENT,2,Ohio State Amendment 2 (Ohio legislature authority to grant homestead exemptions to ease property tax burden on those over 65),1,State Issue,0.9
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,"Montgomery County 1.5-mill children's services levy (welfare programs, juvenile detention center, retarded children's work and neighborhood parks and playgrounds)",1,,0.9
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,1,"Dayton Charter Amendment 1 (boost salaries of mayor and commissioners, permit separate election of mayor)",1,,0.9
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,2,Dayton Charter Amendment 2 (boost salaries; separate election of mayor),1,,0.85
OH,Dayton Daily News,135101,1968,OH,BOND,,Kettering 2.5-mill government levy,1,,0.85
OH,Dayton Daily News,135101,1968,OH,BOND,,Kettering 9.9-mill levy for schools,1,,0.85
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,Townsend charter amendment opening way for an income tax (Farmersville and Jefferson Twp. government levies),1,,0.8
OH,Dayton Daily News,135101,1968,OH,BOND,,"School fund requests in Oakwood, Beavercreek, Fairborn, Miamisburg, Northridge, Mad River, Sugar Creek, Valley View, Washington Twp., Madison Twp., Yellow Springs, Brookville, Jefferson Twp., New Lebanon, Northmont and Wayne Twp.",1,Other Indorsements,0.85
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,Park-recreation levies in Washington and Beavercreek Twps.,1,,0.85
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,Levy for operating new of the Oakland school district in Preble county,1,,0.8
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,"Greene County passage of funds for health, child welfare and recreation programs",1,,0.85
OH,Dayton Daily News,135101,1968,OH,REFERENDUM,,Warren County jail funds,1,new jail in Warren county,0.85
OH,Dayton Daily News,135101,1970,OH,AMENDMENT,1,Allow Ohio legislature to ease property tax burden on the elderly,1,State Issue,0.95
OH,Dayton Daily News,135101,1970,OH,AMENDMENT,2,Reduce Ohio residency voting requirement from one year to six months,1,State Issue,0.95
OH,Dayton Daily News,135101,1970,OH,AMENDMENT,3,Allow municipalities to advertise proposed city charter amendments in local newspapers rather than mailing each registered voter a copy,1,State Issue,0.95
OH,Dayton Daily News,135101,1972,OH,AMENDMENT,1,State constitutional convention,0,Vote NO to oppose,0.95
OH,Dayton Daily News,135101,1972,OH,AMENDMENT,2,Income tax repeal and avoid increases in sales and property taxes,0,Vote NO,0.95
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,"Montgomery County Mental Health Levy (1.5 mill, five year)",1,Vote YES,0.95
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,County vocational school district levy,1,Vote YES to improve vocational training (limited to certain area precincts),0.9
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,Kettering Charter (direct election of the Kettering Mayor),1,Vote YES,0.95
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,Dayton Charter Amendment (give each city district a representative in city government),1,Vote YES,0.95
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,Dayton Income Tax Increase (one half per cent),1,"Vote YES; for public safety, street maintenance, capital improvements and neighborhood grants",0.95
OH,Dayton Daily News,135101,1972,OH,REFERENDUM,,Dayton Liquor Option (Sunday liquor sales),1,Vote YES; limited to certain downtown precincts,0.95
OH,Dayton Daily News,135101,1974,OH,REFERENDUM,,"Montgomery County 'Green' issue - renew .26 mill and increase by .32 mill, for a total of one-half mill, to expand and operate the county's park district",1,Vote YES,0.95
OH,Dayton Daily News,135101,1974,OH,REFERENDUM,,"Montgomery County mental retardation levy of .47 mills to continue schools, training centers, workshops, clinics and residential facilities for retarded children and adults",1,Vote YES,0.95
OH,Dayton Daily News,135101,1974,OH,REFERENDUM,,Kettering 2 per cent income tax (to keep programs and improvements apace with inflation and assume responsibility for city garbage collection),1,Vote YES,0.95
OH,Dayton Daily News,135101,1974,OH,AMENDMENT,1,Statewide Issue 1 - property tax exemption for permanently and totally disabled residents,1,wary YES,0.85
OH,Dayton Daily News,135101,1974,OH,AMENDMENT,2,Statewide Issue 2 - Housecleaning measure removing requirement that governor appoint a superintendent of public works for a one-year term,1,YES,0.9
OH,Dayton Daily News,135101,1974,OH,AMENDMENT,3,Statewide Issue 3 - Allow utilities to take advantage of development revenue bonds and loan guarantees without obligating tax money for water and air clean-up equipment,1,YES; most important,0.95
OH,Dayton Daily News,135101,1974,OH,REFERENDUM,,"Dayton Charter Amendment - change city's primary date from May to June so it can be held with state elections, saving election costs",1,YES on first issue,0.95
OH,Dayton Daily News,135101,1974,OH,REFERENDUM,,Dayton Charter Amendment - allow charter amendments to be publicized by newspaper advertising rather than direct mailing,1,YES on second amendment,0.95
OH,Dayton Daily News,135101,1976,OH,AMENDMENT,1,State Issue 1 - Housekeeping measures to remove outdated provisions from the Ohio Constitution,1,YES,0.95
OH,Dayton Daily News,135101,1976,OH,AMENDMENT,2,State Issue 2 - Housekeeping measure,1,YES,0.95
OH,Dayton Daily News,135101,1976,OH,AMENDMENT,3,State Issue 3 - Housekeeping measure,1,YES,0.95
OH,Dayton Daily News,135101,1976,OH,AMENDMENT,4,State Issue 4 - Enacts 'lifeline' utility rates,1,YES,0.95
OH,Dayton Daily News,135101,1976,OH,AMENDMENT,5,State Issue 5 - Forms utility consumer agency,0,NO,0.95
