state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Dayton Journal Herald,135102,1960,SUPREME COURT,,,OH,"HOOVER, EARL R",,1,,,,OH Supreme Court; preferred over incumbent Bell,0.9
OH,Dayton Journal Herald,135102,1960,SUPREME COURT,,,OH,"PECK, JOHN W",,1,,,,OH Supreme Court incumbent; preferred over O'Neill,0.9
OH,Dayton Journal Herald,135102,1960,SUPREME COURT,,,OH,"TAFT, KINGSLEY A",,1,,,,OH Supreme Court; unopposed,0.9
OH,Dayton Journal Herald,135102,1960,JUDGE,,,OH,"EDWARDS, CECIL E",,1,,,,Common Pleas; currently Municipal Judge,0.95
OH,Dayton Journal Herald,135102,1960,JUDGE,,,OH,"ZIMMERS, NEAL F",,1,,,,Probate Court judge,0.95
OH,Dayton Journal Herald,135102,1960,COURT OF APPEALS,2,,OH,"SHERER, PAUL",,1,,,,2nd District; currently Montgomery County Common Pleas judge,0.95
OH,Dayton Journal Herald,135102,1960,CNTY COMM,,,OH,"KIEFABER, HARRY J",,1,,,,Incumbent,0.95
OH,Dayton Journal Herald,135102,1960,CNTY COMM,,,OH,"STUDEBAKER, DALE H",,1,,,,,0.95
OH,Dayton Journal Herald,135102,1960,DA/PROSECUTOR,,,OH,"YOUNG, PAUL R",,1,,,,,0.95
OH,Dayton Journal Herald,135102,1960,SHERIFF,,,OH,"KEITER, BERNARD L",,1,,,,Incumbent,0.95
OH,Dayton Journal Herald,135102,1960,RECORDER,,,OH,"SCHANTZ, FRED G",,1,,,,,0.95
OH,Dayton Journal Herald,135102,1960,TREASURER,,,OH,"BUVINGER, C CLARK",,1,,,,County; former county commissioner,0.95
OH,Dayton Journal Herald,135102,1960,CORONER,,,OH,"ZIPF, ROBERT E",,1,,,,Incumbent,0.95
OH,Dayton Journal Herald,135102,1960,STATE SENATOR,,Montgomery-Preble,OH,"WHALEN, CHARLES W JR",Republican,1,,,,Three-term state rep,0.95
OH,Dayton Journal Herald,135102,1960,STATE REP,,Montgomery County,OH,"WEISENBORN, CLARA E",Republican,1,,,,Seeking 5th term,0.95
OH,Dayton Journal Herald,135102,1960,STATE REP,,Montgomery County,OH,"SANDERS, WILLIAM L",Republican,1,,,,Retired newspaperman,0.95
OH,Dayton Journal Herald,135102,1960,STATE REP,,Montgomery County,OH,"ALBRITTON, DAVID D",Republican,1,,,,High school teacher,0.95
OH,Dayton Journal Herald,135102,1960,STATE REP,,Montgomery County,OH,"JEFFREY, HARRY JR",Republican,1,,,,Son of former congressman,0.95
OH,Dayton Journal Herald,135102,1960,STATE REP,,Montgomery County,OH,"YODER, JESSE",Democrat,1,,,,House majority leader last session,0.95
OH,Dayton Journal Herald,135102,1960,PRESIDENT,,,OH,"NIXON, RICHARD M",Republican,1,,,,,0.95
OH,Dayton Journal Herald,135102,1960,AUDITOR,,,OH,"RHODES, JAMES A",Republican,1,,,,State Auditor incumbent,0.95
OH,Dayton Journal Herald,135102,1960,PRESIDENT,,,OH,"LODGE, HENRY CABOT",Republican,1,,,,VP nominee,0.95
OH,Dayton Journal Herald,135102,1960,H,3,,OH,"SCHENCK, PAUL",Republican,1,,,,Incumbent; 3rd Ohio congressional district,0.95
OH,Dayton Journal Herald,135102,1962,CNTY COMM,,,OH,"HILL, ALFRED P",Republican,1,,,,Preferred over incumbent Lightner,0.9
OH,Dayton Journal Herald,135102,1962,GOVERNOR,,,OH,"RHODES, JAMES A",Republican,1,,,,'We Endorse Rhodes'; over incumbent DiSalle,0.95
OH,Dayton Journal Herald,135102,1962,CNTY JUDGE,,,OH,"NOLAN, ROBERT L",,1,,,,"County Court, 4-year term; incumbent",0.95
OH,Dayton Journal Herald,135102,1962,CNTY JUDGE,,,OH,"MACMILLAN, WILLIAM W JR",,1,,,,"County Court, 4-year term",0.95
OH,Dayton Journal Herald,135102,1962,CNTY JUDGE,,,OH,"SMITH, ARTHUR L",,1,,,,"County Court, 2-year term",0.95
OH,Dayton Journal Herald,135102,1962,CNTY JUDGE,,,OH,"IZENSON, FRED M",,1,,,,"County Court, 2-year term",0.95
OH,Dayton Journal Herald,135102,1962,H,3,,OH,"SCHENCK, PAUL",Republican,1,,,,Incumbent; 11 years service,0.95
