state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OH,Dayton Journal Herald,135102,1962,OH,AMENDMENT,,Lawson 'Sunday Necessities' Amendment to OH Constitution,0,Editorial opposes the amendment,0.95
OH,Dayton Journal Herald,135102,1962,OH,BOND,,"Greene County $515,000 bond issue for new jail",1,,0.95
OH,Dayton Journal Herald,135102,1962,OH,BOND,,"Greene County $480,000 bond issue for courthouse office annex",1,,0.95
OH,Dayton Journal Herald,135102,1962,OH,REFERENDUM,,Greene County one-half mill operating levy,1,,0.95
OH,Dayton Journal Herald,135102,1968,OH,AMENDMENT,1,State Issue One,1,Endorsed,0.9
OH,Dayton Journal Herald,135102,1968,OH,REFERENDUM,,Montgomery County Children's levy,1,,0.9
OH,Dayton Journal Herald,135102,1968,OH,REFERENDUM,,Dayton city charter amendment proposals,1,,0.9
OH,Dayton Journal Herald,135102,1968,OH,BOND,,Dayton city school district renewal,1,,0.9
OH,Dayton Journal Herald,135102,1970,OH,AMENDMENT,2,Reduce voter residency requirement from one year to six months,1,Proposed Constitutional Amendment No. 2,0.95
OH,Dayton Journal Herald,135102,1970,OH,AMENDMENT,1,Homestead Exemption Amendment - tax reform for elderly age 65+,1,Issue One,0.95
OH,Dayton Journal Herald,135102,1970,OH,AMENDMENT,3,Allow newspaper advertising in lieu of mailed notice for proposed municipal charter amendments,1,,0.95
OH,Dayton Journal Herald,135102,1972,OH,AMENDMENT,II,Repeal graduated state income tax; prohibit graduated tax; require referendum for flat-rate income tax,0,JH urges NO,0.95
OH,Dayton Journal Herald,135102,1972,OH,AMENDMENT,I,Constitutional Convention,0,JH recommends NO,0.95
OH,Dayton Journal Herald,135102,1972,OH,AMENDMENT,II,Repeal of State Income Tax,0,JH recommends NO,0.95
OH,Dayton Journal Herald,135102,1972,OH,REFERENDUM,,Half-percent increase in Dayton city income tax,1,,0.95
OH,Dayton Journal Herald,135102,1972,OH,BOND,,1.5-mill Montgomery County mental health levy,1,,0.95
