state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OH,Youngstown Vindicator,137250,2002,CNTY COMM,,,OH,"CRANMER, DAVID",Democrat,1,1,,,Columbiana County commissioner; endorsed for re-election despite voting to impose 0.5% sales tax,0.97
OH,Youngstown Vindicator,137250,2002,CNTY COMM,,,OH,"WILLIAMS, GARY L",Republican,0,,,,Columbiana County recorder challenging Cranmer; Vindicator opposed his position on tax issue,0.95
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,7,,OH,"VUKOVICH, JOSEPH J",Democrat,1,1,,,7th District Court of Appeals incumbent; endorsed for re-election,0.97
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,7,,OH,"PIKE, ASHLEY",Republican,0,,,,Columbiana County Common Pleas judge challenging Vukovich for 7th District Court of Appeals,0.95
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,7,,OH,"WAITE, CHERYL",Democrat,1,1,,,7th District Court of Appeals incumbent; unopposed; endorsed for re-election,0.95
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"VETTORI, DIANE S",,1,,,,Mahoning County Court judge race; nonpartisan ballot; former assistant prosecutor; Democrat-aligned; endorsed,0.95
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"POPIO, LOREN",,0,,1,,Mahoning County Court incumbent (appointed July 2001 by Gov Taft); nonpartisan ballot; Republican-aligned,0.94
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"DOCKRY, MICHAEL B",,0,,,,Mahoning County Court candidate; former Austintown Township administrator; nonpartisan ballot; Republican-aligned,0.93
OH,Youngstown Vindicator,137250,2002,CNTY COMM,,,OH,"MANNING, DON",Republican,1,,,,Trumbull County Commissioner candidate; endorsed over Tsagaris in light of corruption investigations,0.97
OH,Youngstown Vindicator,137250,2002,CNTY COMM,,,OH,"TSAGARIS, JAMES",Democrat,0,1,,,Trumbull County Commissioner incumbent; did not keep editorial board appointment; subject of federal corruption investigation,0.97
OH,Youngstown Vindicator,137250,2002,STATE SENATOR,33,,OH,"HAGAN, ROBERT F",Democrat,1,1,,,Ohio Senate 33rd District incumbent; endorsed for re-election,0.97
OH,Youngstown Vindicator,137250,2002,STATE SENATOR,33,,OH,"HANNI, HOLLY",Republican,0,,,,Ohio Senate 33rd District Republican challenger; field market manager; daughter of former Mahoning Dem chair,0.95
OH,Youngstown Vindicator,137250,2002,STATE REP,65,,OH,"HARWOOD, SANDRA STABILE",Democrat,1,,,,Ohio House 65th District Democratic nominee; lawyer in private practice; endorsed,0.97
OH,Youngstown Vindicator,137250,2002,STATE REP,65,,OH,"CALKO, JAMES A JR",Republican,0,,,,Ohio House 65th District Republican; 21-year-old YSU junior; inexperience cited,0.94
OH,Youngstown Vindicator,137250,2002,STATE REP,65,,OH,"LANGE, WERNER",Independent,0,,,,Ohio House 65th District independent; minister and former college teacher; strong supporter of Traficant,0.93
OH,Youngstown Vindicator,137250,2002,STATE REP,64,,OH,"SFERRA, DANIEL",Democrat,0,1,,,Ohio House 64th District incumbent; former Warren mayor; mentioned in Sabatine bribery testimony; not endorsed due to federal corruption investigation concerns,0.93
OH,Youngstown Vindicator,137250,2002,STATE REP,64,,OH,"LAW, RANDY",Republican,0,,,,Ohio House 64th District Republican challenger; did not keep editorial board appointment; cannot be considered for endorsement,0.93
OH,Youngstown Vindicator,137250,2002,ATTORNEY GENERAL,,,OH,"PETRO, JIM",Republican,1,,,,Republican nominee for Ohio Attorney General; outgoing state auditor; endorsed,0.97
OH,Youngstown Vindicator,137250,2002,ATTORNEY GENERAL,,,OH,"HERINGTON, LEIGH",Democrat,0,,,,Democratic state senator from Ravenna; lacks experience running major public agency,0.95
OH,Youngstown Vindicator,137250,2002,AUDITOR,,,OH,"MONTGOMERY, BETTY",Republican,1,,,,Republican attorney general running for state auditor; endorsed,0.97
OH,Youngstown Vindicator,137250,2002,AUDITOR,,,OH,"SMITH, HELEN KNIPE",Democrat,0,,,,Democratic opponent; did not respond to editorial board invitation; cannot be considered for endorsement,0.95
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"KRICHBAUM, R SCOTT",,1,,1,,Mahoning County Common Pleas judge incumbent; Republican-aligned; nonpartisan ballot; endorsed for re-election,0.95
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"CALLEN, JAMES B",,0,,,,Mahoning Common Pleas challenger; Democratic-aligned; executive director of Northeast Ohio Legal Services; nonpartisan ballot,0.94
OH,Youngstown Vindicator,137250,2002,TREASURER,,,OH,"DETERS, JOSEPH",Republican,1,,1,,Ohio State Treasurer incumbent; endorsed for re-election,0.97
OH,Youngstown Vindicator,137250,2002,TREASURER,,,OH,"BOYLE, MARY",Democrat,0,,,,Democratic challenger; pay-to-play allegations not supported by evidence per editorial,0.96
OH,Youngstown Vindicator,137250,2002,SUPREME COURT,,,OH,"STRATTON, EVELYN LUNDBERG",,1,,1,,Ohio Supreme Court justice; Republican-aligned; nonpartisan ballot; endorsed for re-election,0.97
OH,Youngstown Vindicator,137250,2002,SUPREME COURT,,,OH,"BURNSIDE, JANET",,0,,,,Cuyahoga County Common Pleas judge; Democratic-aligned; nonpartisan ballot; challenging Stratton,0.95
OH,Youngstown Vindicator,137250,2002,SUPREME COURT,,,OH,"BLACK, TIM",,1,,,,Endorsement summary; nonpartisan ballot; Democratic-aligned,0.97
OH,Youngstown Vindicator,137250,2002,SUPREME COURT,,,OH,"O'CONNOR, MAUREEN",,0,,,,Ohio lieutenant governor; Republican-aligned; nonpartisan ballot; not endorsed for seat vacated by Justice Douglas,0.96
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"MALONEY, TIMOTHY P",,1,,,,Mahoning County Probate Court judge; incumbent; nonpartisan ballot; endorsed for re-election,0.96
OH,Youngstown Vindicator,137250,2002,JUDGE,,,OH,"SWEENEY, MAUREEN A",,0,,,,Mahoning County Probate challenger; in private practice; former Poland Village solicitor; nonpartisan ballot,0.95
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,11,,OH,"RICE, CYNTHIA",,1,,,,11th District Court of Appeals; former assistant US attorney; nonpartisan ballot; endorsed for seat vacated by Judge Nader,0.96
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,11,,OH,"HASSETT, MARK J",,0,,,,11th District Court of Appeals candidate from Chagrin Falls; in private practice; nonpartisan ballot,0.94
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,11,,OH,"BLACK, JEFF",,0,,,,11th District Court of Appeals candidate from Willoughby; magistrate in Willoughby Municipal Court; nonpartisan ballot,0.94
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,11,,OH,"CHRISTLEY, JUDITH",,1,,1,,11th District Court of Appeals incumbent judge; Republican-aligned; nonpartisan ballot; challenged colleague O'Neill,0.95
OH,Youngstown Vindicator,137250,2002,COURT OF APPEALS,11,,OH,"O'NEILL, WILLIAM M",,0,1,,,11th District Court of Appeals incumbent judge; Democratic-aligned; nonpartisan ballot,0.95
OH,Youngstown Vindicator,137250,2002,STATE REP,57,,OH,"BOCCIERI, JOHN",Democrat,1,,,,Ohio House 57th District; C-130 pilot in USAF Reserves; endorsed over Republican Ron Hood,0.96
OH,Youngstown Vindicator,137250,2002,STATE REP,57,,OH,"HOOD, RON",Republican,0,1,,,Ohio House 57th District incumbent; refused editorial board interview; not endorsed,0.95
OH,Youngstown Vindicator,137250,2002,STATE REP,59,,OH,"CARANO, KENNETH",Democrat,1,,,,Endorsement summary,0.95
OH,Youngstown Vindicator,137250,2002,STATE REP,59,,OH,"HULL, NANCY",Republican,0,,,,Ohio House Republican nominee; Boardman Board of Education member; teacher and guidance counselor,0.9
OH,Youngstown Vindicator,137250,2002,STATE REP,60,,OH,"PATTON, SYLVESTER",Democrat,1,1,,,Endorsement summary,0.95
OH,Youngstown Vindicator,137250,2002,STATE REP,60,,OH,"FOCKLER, JOHN K JR",Libertarian,0,,,,Libertarian challenger; Struthers resident and hotel employee,0.93
OH,Youngstown Vindicator,137250,2002,CNTY CLERK,,,OH,"O'BRIEN, MARGARET R",Democrat,1,1,,,Trumbull County Clerk of Courts; third four-year term incumbent; endorsed,0.95
OH,Youngstown Vindicator,137250,2002,CNTY CLERK,,,OH,"MANNING, DON",Republican,0,,,,Republican challenger for Trumbull Clerk of Courts; did not respond to editorial board; cannot be considered for endorsement. Note: name matches the Manning endorsed for Trumbull Commissioner on 10/13 but editorial here lists different challenger for clerk race,0.8
OH,Youngstown Vindicator,137250,2002,RECORDER,,,OH,"MARCHESE, DIANA",Democrat,1,1,,,Trumbull County Recorder incumbent; second term; endorsed,0.95
OH,Youngstown Vindicator,137250,2002,RECORDER,,,OH,"NEVARD, RICHARD",Republican,0,,,,Republican challenger for Trumbull Recorder; did not respond to editorial board; cannot be considered for endorsement,0.94
OH,Youngstown Vindicator,137250,2002,GOVERNOR,,,OH,"TAFT, BOB",Republican,1,,1,,Ohio Governor incumbent; endorsed for re-election largely for role in securing GM Lordstown investment,0.97
OH,Youngstown Vindicator,137250,2002,GOVERNOR,,,OH,"HAGAN, TIM",Democrat,0,,,,Democratic challenger; Youngstown native; former Cuyahoga County commissioner,0.96
OH,Youngstown Vindicator,137250,2002,H,17,,OH,"WOMER BENJAMIN, ANN",Republican,1,,,,Ohio US House 17th District; Ohio state representative for four terms; endorsed over Ryan and Traficant,0.97
OH,Youngstown Vindicator,137250,2002,H,17,,OH,"RYAN, TIMOTHY J",Democrat,0,,,,Ohio state senator from Niles; characterized as inexperienced,0.96
OH,Youngstown Vindicator,137250,2002,H,17,,OH,"TRAFICANT, JAMES A JR",Independent,0,,,1,Former US Representative (had been Democrat) expelled from Congress July 2002 and imprisoned for bribery/racketeering; running as independent,0.97
OH,Youngstown Vindicator,137250,2002,H,6,,OH,"STRICKLAND, TED",Democrat,1,1,,,US House 6th District; four-term incumbent from Lucasville; endorsed for new 6th District,0.97
OH,Youngstown Vindicator,137250,2002,H,6,,OH,"HALLECK, MIKE",Republican,0,,,,US House 6th District Republican; former Columbiana County commissioner; ODOT administrator on leave,0.96
OH,Youngstown Vindicator,137250,2002,SEC OF STATE,,,OH,"BLACKWELL, KENNETH",Republican,1,,1,,Endorsement summary; no individual endorsement editorial in this clipping set,0.93
OH,Youngstown Vindicator,137250,2002,STATE REP,1,,OH,"BLASDEL, CHARLES",Republican,1,,,,Endorsement summary; no individual endorsement editorial in this clipping set; party inferred,0.85
OH,Youngstown Vindicator,137250,2002,STATE REP,61,,OH,"BOCCIERI, JOHN",Democrat,1,,,,Endorsement summary; listed as 57th in original 10/24 editorial - district renumbered,0.94
OH,Youngstown Vindicator,137250,2002,CNTY COMM,,,OH,"LUDT, DAVID",,1,,,,Mahoning County Commissioner; endorsement summary; no individual endorsement editorial in this clipping set,0.85
OH,Youngstown Vindicator,137250,2004,COURT OF APPEALS,11,,OH,"TRAPP, MARY JANE",Democrat,1,,,,"11th District Court of Appeals, open seat (Christley vacating). Endorsed over O'Toole based on more extensive background.",0.97
OH,Youngstown Vindicator,137250,2004,COURT OF APPEALS,11,,OH,"O'TOOLE, COLLEEN M",Republican,0,,,,Opposed in favor of Trapp; Vindicator found both qualified but Trapp more extensive.,0.95
OH,Youngstown Vindicator,137250,2004,CNTY CLERK,,,OH,"VIVO, ANTHONY",Democrat,1,1,,,Mahoning County clerk of courts; 10-year incumbent; endorsed for re-election.,0.98
OH,Youngstown Vindicator,137250,2004,CNTY CLERK,,,OH,"HOLOWATUK, SANDRA",Republican,0,,,,Mahoning County clerk of courts challenger; opposed.,0.95
OH,Youngstown Vindicator,137250,2004,RECORDER,,,OH,"GERBERRY, RONALD",Democrat,1,1,,,"Mahoning County recorder, completing first term; endorsed for second term.",0.97
OH,Youngstown Vindicator,137250,2004,RECORDER,,,OH,"GILLAM, RUSSELL III",Republican,0,,,,Mahoning County recorder challenger; opposed.,0.94
OH,Youngstown Vindicator,137250,2004,STATE REP,1,,OH,"BLASDEL, CHARLES",Republican,1,,1,,Ohio House 1st District (East Liverpool); endorsed for needing a Valley voice at GOP table.,0.95
OH,Youngstown Vindicator,137250,2004,STATE REP,1,,OH,"RAYL, FRANK E JR",Democrat,0,,,,Ohio House 1st District; did not appear for interview; opposed.,0.9
OH,Youngstown Vindicator,137250,2004,STATE REP,59,,OH,"CARANO, KENNETH A",Democrat,1,1,,,Ohio House 59th District; incumbent endorsed for re-election.,0.96
OH,Youngstown Vindicator,137250,2004,STATE REP,59,,OH,"MILLER, KATHY",Republican,0,,,,"Ohio House 59th District; Boardman Trustee, party-switcher; opposed.",0.93
OH,Youngstown Vindicator,137250,2004,STATE REP,60,,OH,"PATTON, SYLVESTER",Democrat,1,1,,,Ohio House 60th District; incumbent endorsed despite his mayoral plans.,0.95
OH,Youngstown Vindicator,137250,2004,STATE REP,60,,OH,"KELLER, NICOLAS",Republican,0,,,,Ohio House 60th District; YSU student; opposed.,0.92
OH,Youngstown Vindicator,137250,2004,STATE REP,61,,OH,"BOCCIERI, JOHN A",Democrat,1,1,,,Ohio House 61st District; Air National Guard major; endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,STATE REP,61,,OH,"POPE, RANDY",Republican,0,,,,Ohio House 61st District; opposed.,0.92
OH,Youngstown Vindicator,137250,2004,STATE REP,64,,OH,"SFERRA, DAN",Democrat,1,1,,,Ohio House 64th District; former Warren mayor; incumbent endorsed.,0.95
OH,Youngstown Vindicator,137250,2004,STATE REP,64,,OH,"LAW, RANDY",Republican,0,,,,Ohio House 64th District; did not appear for interview; opposed.,0.9
OH,Youngstown Vindicator,137250,2004,STATE REP,65,,OH,"HARWOOD, SANDRA STABILE",Democrat,1,1,,,Ohio House 65th District; effective on air base fight; endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,STATE REP,65,,OH,"JOHNSON, DON",Republican,0,,,,"Ohio House 65th District; retired truck driver, Teamsters; opposed.",0.9
OH,Youngstown Vindicator,137250,2004,CNTY CLERK,,,OH,"INFANTE ALLEN, KAREN",Democrat,1,,,,Trumbull County clerk of courts; open seat (O'Brien retiring); endorsed.,0.97
OH,Youngstown Vindicator,137250,2004,CNTY CLERK,,,OH,"SIMON, DAVID T",Republican,0,,,,Trumbull County clerk of courts; opposed.,0.95
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"POLIVKA, DANIEL E",Democrat,1,1,,,Trumbull County commissioner; summary endorsement.,0.95
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"DECAPITO, PHILIP O",Republican,0,,,,Trumbull County commissioner challenger; Citigroup account executive; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"HELTZEL, PAUL E",Democrat,1,,,,Trumbull County commissioner; defeated incumbent Angelo in primary; strongly endorsed.,0.97
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"COLELLO, MICHAEL",Republican,0,,,,Trumbull County commissioner; Mecca Township trustee; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,STATE SENATOR,32,,OH,"DANN, MARC",Democrat,1,1,,,Ohio Senate 32nd District (Trumbull/Ashtabula); appointed 2003 after Ryan elected to Congress; endorsed for full term.,0.97
OH,Youngstown Vindicator,137250,2004,STATE SENATOR,32,,OH,"PASQUALONE, GARY L",Republican,0,,,,Ohio Senate 32nd District challenger; lawyer; opposed.,0.94
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"MOYER, THOMAS J",Republican,1,,1,,Ohio Supreme Court Chief Justice; nonpartisan ballot but Republican primary; seeking 4th term; endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"CONNALLY, C ELLEN",Democrat,0,,,,Ohio Supreme Court CJ challenger; former Cleveland Municipal Court judge; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"PFEIFER, PAUL E",Republican,1,,1,,Ohio Supreme Court; unopposed; Vindicator urges complimentary vote.,0.93
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"LANZINGER, JUDITH ANN",Republican,1,,,,"Ohio Supreme Court (Sweeney's seat, open); 6th District Court of Appeals judge; endorsed.",0.96
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"FUERST, NANCY A",Democrat,0,,,,Ohio Supreme Court (Sweeney's open seat); Cuyahoga common pleas judge; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"O'DONNELL, TERRENCE",Republican,0,,1,,Ohio Supreme Court; appointed May 2003; Vindicator endorsed O'Neill instead.,0.95
OH,Youngstown Vindicator,137250,2004,SUPREME COURT,,,OH,"O'NEILL, WILLIAM",Democrat,1,,,,Ohio Supreme Court; 11th District Court of Appeals judge; endorsed for dissenting voice.,0.96
OH,Youngstown Vindicator,137250,2004,H,17,,OH,"RYAN, TIM",Democrat,1,1,,,US House 17th District (Trumbull/Mahoning/Portage/Summit); completing first term; endorsed.,0.97
OH,Youngstown Vindicator,137250,2004,H,17,,OH,"CUSIMANO, FRANK J",Republican,0,,,,US House 17th District challenger; political newcomer; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,H,14,,OH,"LATOURETTE, STEVEN",Republican,1,,1,,US House 14th District; completing 10 years; endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,H,14,,OH,"CAFARO, CAPRI",Democrat,0,,,,US House 14th District challenger; did not appear for Vindicator interview; opposed.,0.92
OH,Youngstown Vindicator,137250,2004,H,6,,OH,"STRICKLAND, TED",Democrat,1,1,,,US House 6th District (Mahoning/Columbiana/Ohio River counties); faces write-in challenger; endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"TRAFICANTI, ANTHONY",Democrat,1,,,,Mahoning County commissioner; succeeding Sherlock (open seat); endorsed.,0.96
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"MCNALLY, JOHN A IV",Democrat,1,,,,Mahoning County commissioner; Youngstown law director; succeeding Reese (open seat); endorsed.,0.97
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"MOFFIE, SAM",Republican,0,,,,Mahoning County commissioner; opposed sales tax; opposed.,0.95
OH,Youngstown Vindicator,137250,2004,CNTY COMM,,,OH,"STRANGE, PATRICK",Republican,0,,,,Mahoning County commissioner; opposed sales tax; opposed.,0.95
OH,Youngstown Vindicator,137250,2004,JUDGE,,,OH,"DELLICK, THERESA",Republican,1,,1,,Mahoning County Juvenile Court judge; appointed by Taft 2001; endorsed for full term.,0.95
OH,Youngstown Vindicator,137250,2004,JUDGE,,,OH,"SMITH, WADE W JR",Democrat,0,,,,Mahoning County Juvenile Court challenger; opposed.,0.93
OH,Youngstown Vindicator,137250,2004,JUDGE,,,OH,"KOBLY, ELIZABETH A",Democrat,1,,,,Mahoning Common Pleas Court; current Youngstown Municipal Court judge; endorsed over short-tenure incumbent.,0.95
