state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OK,Tulsa Tribune,138251,1920,ASSESSOR,,,OK,"HOOKER, W. S.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,CNTY ATTORNEY,,,OK,"MUNROE, TOM L.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,CNTY CLERK,,,OK,"WEAVER, O. S.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,CNTY COMM,1,,OK,"WOODEN, F. M.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; FIRST DISTRICT,0.95
OK,Tulsa Tribune,138251,1920,CNTY COMM,2,,OK,"RICHIE, W. R.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; SECOND DISTRICT,0.95
OK,Tulsa Tribune,138251,1920,CNTY COMM,3,,OK,"NORTH, W. L.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; THIRD DISTRICT,0.95
OK,Tulsa Tribune,138251,1920,CNTY JUDGE,,,OK,"WILLIAMS, W. B.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,CNTY TREASURER,,,OK,"STUCKEY, W. W.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,CORPORATION COMMISSIONER,,,OK,"ECHOLS, R. E.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,COURT CLERK,,,OK,"PORTER, J. D.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,H,,,OK,"HOWARD, E. E.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; LISTED AS FOR CONGRESSMAN; DISTRICT NOT SPECIFIED,0.9
OK,Tulsa Tribune,138251,1920,JUDGE,APPELLATE COURT,,OK,"DAVENPORT, JAMES S.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; JUDGE APPELLATE COURT,0.95
OK,Tulsa Tribune,138251,1920,PRESIDENT,,,OK,"COX, JAMES M.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; TRIBUNE URGES READERS TO SUPPORT,0.95
OK,Tulsa Tribune,138251,1920,SENATOR,,,OK,"FERRIS, SCOTT",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,SHERIFF,,,OK,"WOOLLEY, JAMES",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT,0.95
OK,Tulsa Tribune,138251,1920,STATE REP,,,OK,"GRAHAM, N. E.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; LISTED AS FOR REPRESENTATIVE,0.9
OK,Tulsa Tribune,138251,1920,STATE REP,,,OK,"GUTHREY, E. BEE",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; LISTED AS FOR REPRESENTATIVE,0.9
OK,Tulsa Tribune,138251,1920,SUPERINTENDENT,,,OK,"HEDGES, MINNETTE",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; SUPERINTENDENT OF SCHOOLS,0.95
OK,Tulsa Tribune,138251,1920,SURVEYOR,,,OK,"COLLINS, H. A.",Democrat,1,,,,FULL DEMOCRATIC TICKET ENDORSEMENT; COUNTY SURVEYOR,0.95
