state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OK,Tulsa Tribune,138251,1926,OK,REFERENDUM,89,GROSS PRODUCTION BILL; TAX ON OIL INDUSTRY,0,TRIBUNE SAYS VOTE NO; CALLS IT DISCRIMINATORY AND UNFAIR; WOULD THROW UNWARRANTED TAX BURDEN ON OIL INDUSTRY,0.95
OK,Tulsa Tribune,138251,1930,OK,AMENDMENT,,WOMAN'S AMENDMENT; ALLOW WOMEN TO HOLD THREE HIGHEST STATE OFFICES,1,TRIBUNE STRONGLY SUPPORTS; SAYS OKLAHOMA DENIES HALF ITS CITIZENS FULL RIGHTS; SHOOT THE WHOLE NICKEL,0.9
OK,Tulsa Tribune,138251,1930,OK,BOND,,"$500,000 BOND ISSUE FOR TULSA COUNTY FAIR BOARD",1,TRIBUNE SAYS BOTH QUESTIONS SHOULD RECEIVE SUPPORT OF ALL VOTERS; WOULD ALLOW FOUR-STATE FAIR EXPANSION,0.9
OK,Tulsa Tribune,138251,1930,OK,TAX,,2-MILL EXCESS LEVY FOR CITY GOVERNMENT CURRENT EXPENSES,1,TRIBUNE SAYS BOTH QUESTIONS SHOULD RECEIVE SUPPORT OF ALL VOTERS; NEEDED TO AVOID FINANCIAL CRISIS FOR MUNICIPAL GOVERNMENT,0.9
OK,Tulsa Tribune,138251,1932,OK,INITIATIVE,175,GOVERNOR MURRAY'S INITIATED TAX MEASURE,0,TRIBUNE SAYS VOTE NO ON STATE QUESTION NO. 175,0.95
OK,Tulsa Tribune,138251,1936,OK,AMENDMENT,,A&M COLLEGE NON-PARTISAN BOARD OF REGENTS AMENDMENT,1,TRIBUNE URGES YES VOTE,0.9
OK,Tulsa Tribune,138251,1936,OK,AMENDMENT,,ALLOW MUNICIPALITIES AND COUNTIES TO CREATE POLICE PENSION FUNDS FROM BURGLARY INSURANCE PREMIUMS,1,TRIBUNE URGES YES VOTE,0.9
OK,Tulsa Tribune,138251,1936,OK,AMENDMENT,,HENSHAW PROHIBITION REPEAL AMENDMENT,1,TRIBUNE SUPPORTS REPEAL; SAYS VOTERS SHOULD DECIDE WHETHER TO GO ALONG WITH REST OF STATES THAT DITCHED NATIONAL PROHIBITION,0.9
OK,Tulsa Tribune,138251,1936,OK,REFERENDUM,,BUS FRANCHISE PROPOSAL FOR TULSA STREET TRANSPORTATION,0,TRIBUNE SAYS VOTE NO; WOULD PUT STREET TRANSPORTATION ON COMPETITIVE BASIS DESTROYING EFFICIENCY AND ADDING COSTS,0.9
OK,Tulsa Tribune,138251,1938,OK,AMENDMENT,242,RETIREMENT AND DEATH BENEFIT FOR TEACHERS,1,TRIBUNE VOTER GUIDE SAYS VOTE YES,0.85
