state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OK,Tulsa World,138250,1920,COURT OF CRIMINAL APPEALS,,,OK,"BESSEY, E. S.",,1,,,,ENDORSED; CRIMINAL COURT OF APPEALS EDITORIAL; JUDGE FROM MIAMI OK; KNOWN TO WORLD FOR MANY YEARS; MAN OF HIGH IDEALS AND IMPECCABLE CHARACTER; COMMENDED UNQUALIFIEDLY,0.9
OK,Tulsa World,138250,1920,H,8,,OK,"HARRIS, ZACH",Democrat,0,,,,OPPOSED; SECURED PLACE ON TICKET BY QUESTIONABLE METHODS; TO ELECT HARRIS IS TO CONDONE A FRAUD; BOURBON MACHINE CANDIDATE,0.9
OK,Tulsa World,138250,1920,H,8,,OK,HERRICK,Republican,1,,,,ENDORSED; AS TO INDEPENDENT VOTING EDITORIAL; WORLD ADVISES HONEST VOTERS OF THE EIGHTH DISTRICT TO SUPPORT HERRICK AND REBUKE THE IMPUDENT BOURBON MACHINE,0.85
OK,Tulsa World,138250,1920,PRESIDENT,,,OK,"COX, JAMES M.",Democrat,0,,,,OPPOSED; COX GETS THE PRESIDENTIAL OK SECTION DISCUSSES OPPOSITION; WORLD URGES VOTING AGAINST COX AND WILSON LEAGUE,0.85
OK,Tulsa World,138250,1920,PRESIDENT,,,OK,"HARDING, WARREN G.",Republican,1,,,,ENDORSED AS PART OF STRAIGHT REPUBLICAN TICKET; WORLD URGES VOTE FOR HARDING AND AGAINST COX; SAYS BOTH EVENTS SHOULD OCCUR BUT HARRELD ELECTION IS MORE IMPORTANT,0.9
OK,Tulsa World,138250,1920,SENATOR,,,OK,FERRIS,Democrat,0,,,,OPPOSED; WILLING TO ACCEPT WILSON LEAGUE WITHOUT RESERVATION; WOULD VOTE FOR ANYTHING OBLIGATING AMERICA TO EUROPEAN POLITICS,0.8
OK,Tulsa World,138250,1920,SENATOR,,,OK,"HARRELD, J. W.",Republican,1,,,,STRONG ENDORSEMENT; HARRELDS ELECTION ESSENTIAL EDITORIAL; MORE IMPORTANT THAN PRESIDENTIAL RACE; OPPOSED TO WILSON LEAGUE IN TOTO; MULTIPLE EDITORIALS ACROSS SEVERAL DAYS,0.95
OK,Tulsa World,138250,1922,DISTRICT COURT JUDGE,22,,OK,"HEPBURN, JIM",Republican,1,,,,STRONG ENDORSEMENT; JIM HEPBURN EDITORIAL; FORMER COUNTY PROSECUTOR OF OKMULGEE COUNTY; ELECTRIFIED OKLAHOMA BY CHALLENGING ROBERTSON-DENNIS CLIQUE; HONEST FEARLESS PUBLIC SERVANT; TWENTY-SECOND DISTRICT COMPOSED OF CREEK OKMULGEE AND OKFUSKEE COUNTIES,0.95
OK,Tulsa World,138250,1922,GOVERNOR,,,OK,"FIELDS, JOHN",Republican,1,,,,ENDORSED; FIELDS COURT ACTIONS DISCUSSED IN POSITIVE TERMS ON EDITORIAL PAGE; WORLD OPPOSES DEMOCRATIC CANDIDATE WALTON AS DANGEROUS POLITICAL TYPE,0.75
OK,Tulsa World,138250,1922,GOVERNOR,,,OK,"WALTON, JACK",Democrat,0,,,,OPPOSED; DANGEROUS POLITICAL TYPES EDITORIAL; CRITICIZED AS DEMAGOGUE PROMISING RADICAL THINGS TO LABOR; CLASS WARFARE POLITICS; FIRST NAME FROM HISTORICAL CONTEXT,0.8
OK,Tulsa World,138250,1922,H,1,,OK,CHANDLER,Republican,1,,1,,ENDORSED; A JUSTIFIED APPROBATION EDITORIAL; INCUMBENT CONGRESSMAN; FIDELITY TO REPUBLICAN PRINCIPLES HAS CONTRIBUTED TO SATISFACTORY CONDITIONS FOR CAPITAL AND LABOR,0.85
OK,Tulsa World,138250,1924,H,1,,OK,,Republican,1,,,,ENDORSED; AN INSPIRING CANDIDATE EDITORIAL; REPUBLICAN CANDIDATE FOR FIRST DISTRICT CONGRESS; REFERRED TO AS E.J.; BACKGROUND IN OIL FIELDS; NAME PARTIALLY ILLEGIBLE IN SMALL TEXT,0.5
OK,Tulsa World,138250,1924,PRESIDENT,,,OK,"COOLIDGE, CALVIN",Republican,1,1,,,ENDORSED; PRAISED AS FIRST AND ONLY MAN WHO HAS DEMONSTRATED ABILITY TO COMMAND CONFIDENCE RESPECT AND SUPPORT OF BOTH KLUX AND ANTIKLUX; TONE SOMEWHAT AMBIGUOUS BUT CONSISTENT WITH WORLDS GENERAL REPUBLICAN SUPPORT,0.7
OK,Tulsa World,138250,1924,SENATOR,,,OK,"PINE, W. B.",Republican,0,,,,OPPOSED; IF PINE WINS OKLAHOMA GAINS UNENVIABLE DISTINCTION OF BEING STILL WITHIN GRASP OF INVISIBLE EMPIRE; ASSOCIATED WITH KKK; FIRST NAME FROM HISTORICAL CONTEXT,0.9
OK,Tulsa World,138250,1924,SENATOR,,,OK,"WALTON, JACK",Democrat,1,,,,ENDORSED; THE OKLAHOMA SENATORIAL CAMPAIGN EDITORIAL; IF WALTON WINS OKLAHOMA BROADCASTS TO NATION IT HAS THROWN OFF INFLUENCE OF INVISIBLE EMPIRE; ANTI-KLAN ISSUE OVERRIDES PARTY LOYALTY; FORMER GOVERNOR IMPEACHED IN 1923,0.95
OK,Tulsa World,138250,1924,SUPREME COURT,,,OK,,Republican,1,,,,ENDORSED REPUBLICAN CANDIDATES FOR SUPREME COURT GENERALLY; LETS KEEP THE HIGH COURT FREE EDITORIAL; ALL REPUBLICANS EXCEPT SPRADLING TAKE POSITION AGAINST KLAN; ALL DEMOCRATIC CANDIDATES EXCEPT CLARK ARE KKK MEMBERS; INDIVIDUAL NAMES NOT LISTED,0.75
OK,Tulsa World,138250,1924,SUPREME COURT,6,,OK,SPRADLING,Republican,1,,,,ENDORSED FOR 6TH DISTRICT SUPREME COURT; WORLD SUPPORTS SPRADLING NOT BECAUSE HE IS REPUBLICAN BUT BECAUSE HE HAS NOT YET SHOWN SUBSERVIENCY TO KLAN; OPPONENT ALBERT HUNT HAS RENDERED SERVICES TO KLAN; BOTH ARE KLAN-CONNECTED,0.85
OK,Tulsa World,138250,1926,GOVERNOR,,,OK,"BENEDICT, OMER",Republican,1,,,,STRONG ENDORSEMENT; FRONT PAGE A TULSA MAN FOR GOVERNOR EDITORIAL; FIRST TULSA CITIZEN TO BE CANDIDATE FOR GOVERNOR; CLEAN IN REPUTE; WORLD ASKS ALL TULSA COUNTY READERS TO CONSIDER HIS MERITS; PLEDGED NEW DEAL IN STATE GOVERNMENT,0.95
OK,Tulsa World,138250,1926,GOVERNOR,,,OK,"JOHNSTON, HENRY",Democrat,0,,,,OPPOSED; CALLED KLAN CANDIDATE; DARNELLS PLEA FOR HELP EDITORIAL DISCUSSES KLAN-JOHNSTON FORCES AND CORRUPTION; WORLD URGES VOTERS TO CAST BALLOTS FOR REPUBLICAN TO RID STATE OF KLAN INFLUENCE,0.9
OK,Tulsa World,138250,1926,H,1,,OK,"MONTGOMERY, SAM",Republican,1,,1,,STRONG ENDORSEMENT; MONTGOMERY IN CONGRESS EDITORIAL; YOUNG ABLE HONEST WITH COURAGE OF A NUBIAN LION; CAUGHT EYE OF HOUSE VETERANS; ONE OF BRIGHTEST AND ABLEST MEN OKLAHOMA HAS EVER CALLED INTO PUBLIC SERVICE; INCUMBENT SEEKING RE-ELECTION,0.95
OK,Tulsa World,138250,1926,STATE REP,,,OK,"OWENS, O. O.",Republican,1,,,,ENDORSED; AN UNUSUAL CANDIDATE EDITORIAL; WANTS LEGISLATIVE INVESTIGATION OF SUPREME COURT; STRAIGHTFORWARD ADVERTISEMENTS CONSTITUTE NEW PAGE IN OKLAHOMA POLITICS; WORLD BELIEVES HE IS CAPABLE AND WORTHY,0.95
