state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
OR,Albany Democrat-Herald,138300,1958,CNTY COMM,,,OR,"DOWNING, WAYNE",,1,,,,INCUMBENT LINN COUNTY COMMISSIONER FROM LACOMB; 12 YEARS OF SERVICE; SHOULD BE RETAINED | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,0.9
OR,Albany Democrat-Herald,138300,1958,CNTY COMM,,,OR,"INGRAM, BURL",,0,,,,OPPOSED; DEPUTY COUNTY ASSESSOR FROM ALBANY; PAPER FEELS HE SHOULD WAIT FOR PROPER OPENING; INCUMBENT SHOULD BE RETAINED | Phase 9 e=0 OCR-verified: opposed candidate (subagent OCR re-read).,0.85
OR,Albany Democrat-Herald,138300,1958,DA/PROSECUTOR,,,OR,"JOHNS, COURTNEY R.",,1,,,,INCUMBENT LINN COUNTY DISTRICT ATTORNEY; EIGHT-YEAR RECORD PLUS FOUR YEARS AS DEPUTY PROSECUTOR; SHOULD BE RETAINED | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,0.9
OR,Albany Democrat-Herald,138300,1958,DA/PROSECUTOR,,,OR,"MCCORMICK, ROSS",,0,,,,OPPOSED; ONLY TWO YEARS AS PRACTICING LAWYER; LACKS REASON TO DISPLACE INCUMBENT | Phase 9 e=0 OCR-verified: opposed candidate (subagent OCR re-read).,0.85
OR,Albany Democrat-Herald,138300,1958,GOVERNOR,,,OR,"HATFIELD, MARK",Republican,1,,,,BEST QUALIFIED CANDIDATE; PERSONAL INTEGRITY AND POLITICAL HONESTY; NOT BEHOLDEN TO SELFISH OR SPECIAL INFLUENCE | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,1.0
OR,Albany Democrat-Herald,138300,1958,H,1,,OR,"NORBLAD, WALTER",Republican,1,,1,,SENIOR MEMBER OF OREGON DELEGATION; ONLY REPUBLICAN MEMBER; STEADY EFFECTIVE WORKER; DESERVES RE-ELECTION | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,1.0
OR,Albany Democrat-Herald,138300,1958,H,1,,OR,"THORNTON, ROBERT Y.",Democrat,0,,,,OPPOSED; EDITORIAL FAULTS HIS RECORD AS ATTORNEY GENERAL AND SAYS HIS PRESENT JOB MERITS PROMOTION ONLY TO RETIREMENT | Phase 9 e=0 OCR-verified: opposed candidate (subagent OCR re-read).,0.9
OR,Albany Democrat-Herald,138300,1958,H,4,,OR,"GEDDES, PAUL",,1,,,,RECORD OF ABLE DEDICATED INTELLIGENT PUBLIC SERVICE; MAIN ARCHITECT OF FAR-REACHING NATURAL RESOURCE LEGISLATION; SINCERE INFORMED PUBLIC LIBERAL | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,0.85
OR,Albany Democrat-Herald,138300,1958,STATE REP,,,OR,"FITZWATER, ROY",Democrat,1,1,,,INCUMBENT HOUSE MEMBER; 1957 SESSION RECORD NOT WITHOUT MERIT; PAPER REJECTS AFL-CIO SINGLE-SHOOT TACTIC AGAINST HIM | Phase 10 NEEDS_RA: soft: paper picked Purdy over Fitzwater; E=1 endorsement not clearly supported - consider EMPTY. | Phase 2 endorsement-direction verified: NARRATIVE_ENDORSE (subagent OCR re-read).,0.65
OR,Albany Democrat-Herald,138300,1958,STATE REP,,,OR,"KIRKPATRICK, NANCY",Democrat,,,,,"LEBANON; SCHOOL TEACHER; AFL-CIO ENDORSED HER ALONE; PAPER DOES NOT ENDORSE HER, INSTEAD DEFENDS FITZWATER | Phase 11 NEEDS_RA: no direction recoverable from OCR.",0.7
