state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
OR,Albany Democrat-Herald,138300,1960,OR,AMENDMENT,5,CONSTITUTIONAL AMENDMENT PROPOSED BY 1959 LEGISLATURE TO EMPOWER LEGISLATURE TO BRING SWEEPING REVISIONS TO STATE CONSTITUTION VIA REFERRAL TO PEOPLE,1,OREGON CONSTITUTION OBSOLETE AND BULKY; CURRENT INITIATIVE/CONSTITUTIONAL CONVENTION METHODS INADEQUATE; A START IN THE RIGHT DIRECTION,1.0
OR,Albany Democrat-Herald,138300,1960,OR,AMENDMENT,1,CONSTITUTIONAL AMENDMENT TO FIT TERMS OF LEGISLATORS PRECISELY TO BEGINNING OF EACH BIENNIAL LEGISLATIVE SESSION,1,NO APPARENT REASON FOR DISPUTE; CLOSES GAP BETWEEN END OF TERM AND START OF SERVICE; PROTECTS GOVERNORSHIP SUCCESSION,1.0
OR,Albany Democrat-Herald,138300,1960,OR,BALLOT MEASURE,ALBANY-ANNEX-1960,ALBANY CITY ANNEXATION MEASURE - ANNEX 'ISLAND' PROPERTIES SURROUNDED BY CITY LIMITS (LARGEST PARCEL WEST OF WAVERLY CEMETERY BETWEEN SALEM ROAD AND D. E. NEBERGALL MEAT CO.),1,PAPER URGES UNANIMOUS APPROVAL; WOULD NOT INCREASE TAXES AND WOULD SLIGHTLY LOWER MILLAGE BY ADDING TO CITY'S TAX BASE.,0.97
OR,Albany Democrat-Herald,138300,1960,OR,BOND,6,CONSTITUTIONAL AMENDMENT ENABLING OREGON STATE SYSTEM OF HIGHER EDUCATION TO ISSUE BONDS UP TO THREE-FOURTHS OF ONE PERCENT OF TOTAL TRUE CASH VALUE OF REAL PROPERTY,1,BONDS WOULD CONSTRUCT BUILDINGS AT HIGHER LEARNING INSTITUTIONS; SELF-LIQUIDATING DORMITORIES; AFL-CIO AND FARM ORGANIZATIONS ENDORSE; NO HESITANCY,1.0
OR,Albany Democrat-Herald,138300,1962,OR,BALLOT MEASURE,6,DAYLIGHT SAVING TIME MEASURE EFFECTIVE FROM 1AM LAST SUNDAY IN APRIL TO 2AM LAST SATURDAY IN SEPTEMBER EACH YEAR,,PAPER SAYS NO VOTE WOULD BE FUTILE; ACKNOWLEDGES RESIGNATION TO MEASURE PASSING DUE TO POPULATION CENTERS CONTROLLING LEGISLATURE; NO EXPLICIT YES ENDORSEMENT EITHER,0.7
OR,Albany Democrat-Herald,138300,1962,OR,BALLOT MEASURE,9,LEGISLATIVE APPORTIONMENT MEASURE,1,A FAIR EQUITABLE COMPROMISE; APPORTIONMENT BETWEEN HOUSE AND SENATE,0.7
OR,Albany Democrat-Herald,138300,1964,OR,BALLOT MEASURE,51,ALBANY ANNEXATION OF SURROUNDED MUNICIPAL TERRITORY,1,NO VOTE WOULD MEAN REJECTION; YES VOTE WITHOUT QUESTION THE RIGHT VOTE,0.95
OR,Albany Democrat-Herald,138300,1964,OR,TAX,52,"ALBANY CITY TAX BASE INCREASE OF SLIGHTLY LESS THAN $100,000 TO TOTAL OF $318,924",1,INCREASE IMPERATIVE; CITY HAS OUTGROWN ITS BUDGETING CAPACITY; WE THINK THIS MEASURE SHOULD PASS,0.95
OR,Albany Democrat-Herald,138300,1964,OR,BALLOT MEASURE,53,ALBANY THIRD CITY MEASURE,,EDITORIAL DEFERS POSITION TO MONDAY; NO STATED POSITION YET,0.7
OR,Albany Democrat-Herald,138300,1966,OR,BOND,1,"ALBANY $1,300,000 SEWAGE TREATMENT AND SEWER FACILITIES BOND",1,DISTASTEFUL BUT NECESSARY; STATE SANITARY AUTHORITY MANDATE; STOP POLLUTION OF OREGON RIVERS; MUST VOTE YES,0.95
OR,Albany Democrat-Herald,138300,1966,OR,AMENDMENT,2,STATE CONSTITUTIONAL AMENDMENT REPEALING ARTICLE XI-F(1) BONDING LIMIT FOR HIGHER EDUCATION AND COMMUNITY COLLEGES,0,VOTE NO; CONFUSING NATURE OF BALLOT TITLE; UNINTENDED EFFECTS; OPPOSED BY BOTH BOARDS OF EDUCATION; WOULD HAMPER ORDERLY DEVELOPMENT,0.95
OR,Albany Democrat-Herald,138300,1966,OR,BALLOT MEASURE,52,ALBANY CITY MEASURE NO. 52 - CITY CHARTER AMENDMENT TO SECTION 3: 'THE CITY BOUNDARIES SHALL INCLUDE ALL TERRITORY PRESENTLY SURROUNDED BY INCORPORATED AREAS OF THE CITY OF ALBANY' (ELIMINATE 'ISLANDS' OF UNINCORPORATED AREAS WITHIN CITY BOUNDARIES),1,PAPER ENDORSES YES VOTE; ELIMINATES UNINCORPORATED 'ISLANDS' WHOSE BOUNDARIES ARE CONTIGUOUS TO MUNICIPAL BOUNDARIES. NO TAXES OR EXTENSION OF POWERS INVOLVED.,0.97
OR,Albany Democrat-Herald,138300,1966,OR,BALLOT MEASURE,53,ALBANY CITY MEASURE NO. 53 - 'HOUSECLEANING' CHARTER AMENDMENT TO SECTION II - DESIGNATES TITLES OF APPOINTIVE OFFICERS BY THE COUNCIL; APPOINTIVE OFFICER FILLING TWO OR MORE OFFICES MAY BE AFFECTED ONLY BY COUNCIL,1,PAPER ENDORSES YES VOTE; BRINGS CHARTER UP TO DATE WITH DEPARTMENTAL ADDITIONS AND CHANGES. NO TAXES OR EXTENSION OF POWERS OF ELECTIVE OFFICIALS INVOLVED.,0.95
OR,Albany Democrat-Herald,138300,1966,OR,BALLOT MEASURE,1,STATE MEASURE NO. 1 - PRESERVE PENSION RIGHTS AND OTHER BENEFITS FOR EMPLOYEES OF TRANSPORTATION UTILITIES IF PUBLIC CORPORATIONS (CITY/COUNTY/STATE) TAKE OVER UTILITIES,1,PAPER RECOMMENDS YES VOTE TO 'AVERT POSSIBILITY OF INJUSTICE TO EMPLOYES OF TRANSPORTATION UTILITIES'.,0.95
OR,Albany Democrat-Herald,138300,1966,OR,BALLOT MEASURE,2,STATE MEASURE NO. 2 - HIGHER EDUCATION BOARD BUILDING PROGRAM (PAPER OPPOSED),0,PAPER ADVISED DEFEAT 'BECAUSE WE AGREE WITH TWO OF ITS ORIGINAL BACKERS THAT IT WOULD DISRUPT THE HIGHER EDUCATION BOARD'S BUILDING PROGRAM'.,0.92
OR,Albany Democrat-Herald,138300,1966,OR,BOND,51,"ALBANY CITY MEASURE NO. 51 - $1,300,000 SEWER BOND",1,PAPER RECOMMENDS PASSAGE; FAILURE 'MIGHT MEAN ACTION BY THE STATE SANITARY AUTHORITY WHICH WOULD BE DETRIMENTAL TO ALBANY'S WELFARE'. CLIPPING ALSO NOTES PAPER ENDORSED 'PASSAGE OF ALL THREE OF THE PROPOSED CITY MEASURES' WITHOUT NAMING THE OTHER TWO; ONLY THE SEWER BOND IS RECORDED HERE WITH A SPECIFIC DESCRIPTION.,0.85
OR,Albany Democrat-Herald,138300,1968,OR,BALLOT MEASURE,6,OREGON STATEWIDE 1.5% TRUE CASH VALUE PROPERTY TAX LIMITATION,0,"PAPER WARNS THE LIMITATION WOULD BE INEFFECTIVE BECAUSE TAXES ARE BASED ON TRUE CASH VALUE; 'IF TRUE CASH VALUE SHOULD BE DOUBLED BY APPRAISERS STATE-WIDE, TAXES COULD ALSO BE DOUBLED. AND THAT IS JUST WHAT MAY IN TIME HAPPEN'. EFFECTIVELY OPPOSED.",0.78
OR,Albany Democrat-Herald,138300,1970,OR,BALLOT MEASURE,51,ALBANY CITY MEASURE NO. 51 - REQUIRES CITY TO ACCEPT COMPULSORY STATE ARBITRATION FOR POLICE SALARY DISPUTES,0,PAPER OPPOSES; 'WOULD MEAN TAKING FINAL SALARY DETERMINATION FOR ALL CITY EMPLOYES OUT OF THE HANDS OF LOCAL OFFICIALS'. PAPER SUPPORTS POLICE PAY INCREASES BUT DISAGREES WITH MECHANISM.,0.92
OR,Albany Democrat-Herald,138300,1970,OR,BALLOT MEASURE,52,ALBANY CITY MEASURE NO. 52 - CITY'S ANSWER TO POLICE INITIATIVE,0,PAPER OPPOSES; 'NONE OF THE THREE MEASURES REALLY IS NECESSARY'.,0.85
OR,Albany Democrat-Herald,138300,1970,OR,BALLOT MEASURE,53,"ALBANY CITY MEASURE NO. 53 - $92,400 MONEY MEASURE TO FINANCE POLICE SALARY INCREASES IF MEASURE 51 PASSES",0,PAPER OPPOSES; 'NONE OF THE THREE MEASURES REALLY IS NECESSARY'.,0.92
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,1,OREGON STATE MEASURE NO. 1 - ELIMINATES STATE INSTITUTION LOCATION REQUIREMENTS,1,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,10 (BENTON),BENTON COUNTY MEASURE NO. 10 - ESTABLISHES HOME RULE CHARTER,1,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,10 (LINN),LINN COUNTY MEASURE NO. 10 - ESTABLISHES HOME RULE CHARTER,1,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,11 (LINN),LINN COUNTY MEASURE NO. 11 - ASKS IF DOGS SHOULD BE ALLOWED TO RUN AT LARGE,0,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,2,OREGON STATE MEASURE NO. 2 - ALLOWS LEGISLATURE TO SET SHERIFF QUALIFICATIONS,1,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,BALLOT MEASURE,3,OREGON STATE MEASURE NO. 3 - AMENDS COUNTY PURCHASE AND LEASE LIMITATIONS,1,,0.95
OR,Albany Democrat-Herald,138300,1972,OR,AMENDMENT,4,OREGON STATE MEASURE NO. 4 - CHANGES CONSTITUTIONAL PROVISION REGARDING RELIGION,1,,0.95
