state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
PA,Citizens Voice,600005,1984,PRESIDENT,,,PA,"MONDALE, WALTER F.",Democrat,1,,,,"Editorial 'Consider Endorsement, Make Your Decision, Vote' endorses Mondale; opposes decline of middle class, wants to cut deficits, supports arms limitation, strong defense, benefits NEPA",0.98
PA,Citizens Voice,600005,1984,PRESIDENT,,,PA,"REAGAN, RONALD",Republican,0,,1,,"Editorial opposes Reagan; criticizes his policies on pensions, Black Lung, Social Security, public education, college access",0.97
PA,Citizens Voice,600005,1990,GOVERNOR,,,PA,"CASEY, ROBERT P.",Democrat,1,1,,,"Editorial 'Governor's race: Casey deserves a second term'; hard-working governor; cut auto insurance, PennVest, sewer funding, Wyoming Valley improvements, Mountaintop interchange, Harveys Lake stadium",0.98
PA,Citizens Voice,600005,1990,GOVERNOR,,,PA,"HAFER, BARBARA",Republican,0,,,,Challenger; State Auditor General; former Allegheny County commissioner; campaign has fallen short and become negative,0.95
PA,Citizens Voice,600005,1990,STATE REP,120,,PA,"MUNDY, PHYLLIS",Democrat,1,,,,120th PA Legislative District (West Side/Back Mountain); challenger; business manager/inspector at Holding Corp.; League of Women Voters former president; B.S. Bloomsburg,0.97
PA,Citizens Voice,600005,1990,STATE REP,120,,PA,"DIETTERICK, SCOTT",Republican,0,,1,,"Incumbent in 120th; Editorial Board cites troubles with current officeholder (insurance fraud charges/conviction issues), would not be seated even if reelected; opposed",0.93
PA,Citizens Voice,600005,1992,PRESIDENT,,,PA,"CLINTON, BILL",Democrat,1,,,,Recap editorial 'These are candidates we believe would best serve this area',0.98
PA,Citizens Voice,600005,1992,VICE PRESIDENT,,,PA,"GORE, AL",Democrat,1,,,,Recap editorial endorsement,0.98
PA,Citizens Voice,600005,1992,SENATOR,,,PA,"YEAKEL, LYNN",Democrat,1,,,,U.S. Senator from Pennsylvania endorsement,0.97
PA,Citizens Voice,600005,1992,H,11,,PA,"KANJORSKI, PAUL",Democrat,1,1,,,U.S. Congressman from 11th District,0.97
PA,Citizens Voice,600005,1992,ATTORNEY GENERAL,,,PA,"PREATE, ERNIE",Republican,1,,1,,Attorney General of Pennsylvania endorsement,0.95
PA,Citizens Voice,600005,1992,AUDITOR,,,PA,"HAFER, BARBARA",Republican,1,,,,Auditor General of Pennsylvania endorsement,0.95
PA,Citizens Voice,600005,1992,TREASURER,,,PA,"KNOLL, CATHERINE BAKER",Democrat,1,,,,Treasurer of Pennsylvania endorsement,0.95
PA,Citizens Voice,600005,1992,STATE REP,120,,PA,"MUNDY, PHYLLIS",Democrat,1,1,,,Back Mountain/West Side (120th district); DIST FILL cross-year from 1990 (R17),0.95
PA,Citizens Voice,600005,1992,STATE REP,117,,PA,"HASAY, GEORGE",Republican,1,,1,,Mountaintop/Shickshinny area; DIST FILL cross-year from 1998 (R17),0.92
PA,Citizens Voice,600005,1992,STATE REP,121,,PA,"BLAUM, KEVIN",Democrat,1,1,,,Wilkes-Barre area; DIST FILL: 121 per historical PA House records (R18),0.95
PA,Citizens Voice,600005,1992,STATE REP,118,,PA,"JAROLIN, STANLEY",Democrat,1,1,,,Nanticoke area; DIST FILL: 118 per historical PA House records (R18),0.95
PA,Citizens Voice,600005,1992,STATE REP,119,,PA,"TIGUE, TOM",Democrat,1,1,,,Pittston area; DIST FILL: 119 per historical PA House records (R18),0.95
PA,Citizens Voice,600005,1994,SENATOR,,,PA,"WOFFORD, HARRIS",Democrat,1,1,,,U.S. Senator from Pennsylvania; 'thoughtful and caring man'; Northeastern Pennsylvania tradition,0.97
PA,Citizens Voice,600005,1994,GOVERNOR,,,PA,"SINGEL, MARK",Democrat,1,,,,"Governor of Pennsylvania; served as interim governor during Casey's illness; jobs creation, property tax reform, education reform, welfare reform",0.97
PA,Citizens Voice,600005,1994,LT GOVERNOR,,,PA,"FOLEY, TOM",Democrat,1,,,,Lt. Governor running mate; 'rousing mate'; served successful term as secretary of labor,0.93
PA,Citizens Voice,600005,1994,STATE SENATOR,14,,PA,"MUSTO, RAPHAEL",Democrat,1,1,,,"PA State Senate; consumer-oriented positions, fights environmental abuse, on side of the public; DIST FILL: 14 per PA Senate records (R20)",0.97
PA,Citizens Voice,600005,1994,H,11,,PA,"KANJORSKI, PAUL",Democrat,1,1,,,"U.S. Congress from this district; saving Social Security center, bringing federal share of flood funding for the Susquehanna, responds to local residents' calls",0.97
PA,Citizens Voice,600005,1996,PRESIDENT,,,PA,"CLINTON, BILL",Democrat,1,1,,,Recap editorial 'Numerous clear choices',0.98
PA,Citizens Voice,600005,1996,H,11,,PA,"KANJORSKI, PAUL",Democrat,1,1,,,United States Congress,0.97
PA,Citizens Voice,600005,1996,ATTORNEY GENERAL,,,PA,"KOHN, JOE",Democrat,1,,,,Attorney General of Pennsylvania,0.95
PA,Citizens Voice,600005,1996,STATE REP,116,,PA,"EACHUS, TODD",Democrat,1,,,,"PA House of Representatives, Hazleton Area; DIST FILL: 116 per PA House records (R20)",0.93
PA,Citizens Voice,600005,1996,STATE REP,120,,PA,"MUNDY, PHYLLIS",Democrat,1,1,,,"PA House of Representatives, West Side and Back Mountain (120th District)",0.97
PA,Citizens Voice,600005,1998,GOVERNOR,,,PA,"RIDGE, TOM",Republican,0,,1,,"'For governor, no endorsement'; editorial declines to endorse Ridge; cites image issues and willingness to work on behalf of business and on traditional issues such as crime prevention; first term has been left mixed by uncompromisable initiatives (state police crime lab; vehicle registration fees while state has $1.5 billion surplus)",0.93
