state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
PA,PITTSBURGH POST-GAZETTE,141250,1956,PA,CONSTITUTIONAL AMENDMENT,,PROPOSED REMOVAL OF OBSOLETE STATE CONSTITUTION PROVISION REQUIRING PRIVATE CORPORATIONS TO GIVE 60 DAYS NOTICE BEFORE HOLDING STOCKHOLDER MEETINGS FOR APPROVAL OF INCREASE IN CORPORATE STOCK OR INDEBTEDNESS,1,POST-GAZETTE RECOMMENDS APPROVAL; ENJOYS VIRTUALLY UNANIMOUS SUPPORT AMONG LAWYERS IN THE LEGISLATURE AND AMONG BUSINESSMEN; IN THE PUBLIC INTEREST,0.95
PA,PITTSBURGH POST-GAZETTE,141250,1956,PA,PA AMENDMENT,,Constitutional amendment to remove obsolete provision requiring private corporation to give 60 days notice before stockholder meetings for approval of stock or indebtedness increases,1,Recommend approval; in public interest,0.95
PA,PITTSBURGH POST-GAZETTE,141250,1958,PA,CONSTITUTIONAL AMENDMENT,,AMENDMENT TO PERMIT LEGISLATURE TO CONVERT PRESENT PROPERTY TAX ON STANDING RESERVES OF TIMBER PAID ANNUALLY TO A SEVERANCE TAX PAID WHEN TIMBER IS CUT AND SOLD,1,POST-GAZETTE RECOMMENDS YES VOTE; WOULD ENCOURAGE PRODUCERS TO PERMIT TIMBER TO REACH MATURITY AND HELP PREVENT SOIL EROSION AND FLOODS AND RAISE STATES SHRINKING WATER TABLE,0.95
PA,PITTSBURGH POST-GAZETTE,141250,1958,PA,PA AMENDMENT,,Amendment to permit Legislature to convert property tax on standing reserves of timber to severance tax paid when timber is cut and sold,1,"Yes vote recommended; would encourage timber maturity, prevent erosion/floods, raise water table",0.95
PA,PITTSBURGH POST-GAZETTE,141250,1966,PA,CONSTITUTIONAL AMENDMENT,5-A,Resolution clarifying and simplifying obsolete and unnecessarily wordy sections of the constitution governing law on corporations.,1,Urge voters to approve to help modernize PA's 92-year-old constitution.,0.90
PA,PITTSBURGH POST-GAZETTE,141250,1966,PA,CONSTITUTIONAL AMENDMENT,6-A,Amendment to permit Legislature to provide three-month training course for newly-elected or appointed justices of peace and aldermen.,0,Recommend NO vote; designed to sabotage real reform of fee-paid untrained minor judiciary.,0.90
PA,PITTSBURGH POST-GAZETTE,141250,1966,PA,PA AMENDMENT,3-A,Resolution 3-A: clarifies and simplifies obsolete and unnecessarily wordy sections of the constitution governing law on corporations,1,Help modernize 92-year-old constitution; urge approval,0.95
PA,PITTSBURGH POST-GAZETTE,141250,1966,PA,PA AMENDMENT,6-A,Resolution 6-A: permit Legislature to provide three-month training course for newly-elected or appointed justices of the peace and aldermen,0,Recommend No vote; designed to sabotage real reform - abolition of fee-paid untrained minor judiciary,0.95
PA,PITTSBURGH POST-GAZETTE,141250,1968,PA,BALLOT QUESTION,,State bonus for Vietnam veterans,0,Urged No vote; costly and really an obligation of the federal government,0.93
PA,PITTSBURGH POST-GAZETTE,141250,1968,PA,BALLOT QUESTION,Vietnam Bonus,State bonus for Vietnam veterans.,0,Urge no vote on grounds it doesn't exist; not really an obligation of the state.,0.70
