state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
PA,PITTSBURGH PRESS,400071,1940,H,24,,PA,"SNYDER, J. BUELL",Democrat,0,1,,,PRESS OPPOSES SNYDER; REMEMBER THEM EDITORIAL; VOTED AGAINST ONE OR BOTH HATCH ACTS; FORFEITED RIGHT TO BE RETURNED TO WASHINGTON; FAYETTE COUNTY,0.95
PA,PITTSBURGH PRESS,400071,1940,H,25,,PA,"FADDIS, CHARLES",Democrat,0,1,,,PRESS OPPOSES FADDIS; REMEMBER THEM EDITORIAL; VOTED AGAINST ONE OR BOTH HATCH ACTS; FORFEITED RIGHT TO BE RETURNED TO WASHINGTON; GREENE COUNTY,0.95
PA,PITTSBURGH PRESS,400071,1940,H,33,,PA,"EBERHARTER, HERMAN P.",Democrat,0,1,,,PRESS OPPOSES EBERHARTER; REMEMBER THEM EDITORIAL; VOTED AGAINST ONE OR BOTH HATCH ACTS; FORFEITED RIGHT TO BE RETURNED TO WASHINGTON; ALLEGHENY COUNTY,0.95
PA,PITTSBURGH PRESS,400071,1940,H,33,,PA,"MARSH, JAMES I.",Republican,1,,,,PRESS ENDORSES MARSH IN DEDICATED EDITORIAL AN EASY CHOICE; VOTERS IN 33RD CONGRESSIONAL DISTRICT SHOULD HAVE LITTLE DIFFICULTY; SERVED NINE YEARS AS ASSISTANT US ATTORNEY; HELPED CONVICT ELECTION CROOKS; MARSH CLEARLY DESERVES TO DEFEAT MCARDLE,0.97
PA,PITTSBURGH PRESS,400071,1940,H,33,,PA,"MCARDLE, JOSEPH A.",Democrat,0,1,,,PRESS OPPOSES MCARDLE; PRESENT CONGRESSMAN FROM DISTRICT; SUPPORTED FAMOUS GAG BILLS UNDER EARLE ADMINISTRATION; OPPOSED HATCH CLEAN POLITICS BILLS AND SELECTIVE SERVICE; LIENS FILED FOR FAILURE TO PAY INCOME TAXES; WENT TO WASHINGTON ON SPECIAL TRAIN AS IF MOMENTOUS EVENT,0.97
PA,PITTSBURGH PRESS,400071,1940,PRESIDENT,,,PA,"ROOSEVELT, FRANKLIN D.",Democrat,0,1,,,PRESS OPPOSES ROOSEVELT; HEADLINE WHY WE ARE AGAINST ROOSEVELT; ONE-MAN RULE CONTRARY TO DEMOCRACY; LEADING INTO WAR AND ONE-MAN RULE; GROWING BUREAUCRACY HAS FASTENED ITSELF UPON MANY ASPECTS OF LIVES; BREAK WITH DANGEROUS TREND AGAINST GOVERNMENT OF THE PEOPLE BY THE PEOPLE FOR THE PEOPLE,0.95
PA,PITTSBURGH PRESS,400071,1940,PRESIDENT,,,PA,"WILLKIE, WENDELL",Republican,1,,,,PRESS ENDORSES WILLKIE; FINAL LINE WERE VOTING FOR WILLKIE AND MCNARY; EDITORIAL PRIMARILY ABOUT VP CANDIDATES BUT CONCLUDES WITH CLEAR PRESIDENTIAL TICKET ENDORSEMENT,0.95
PA,PITTSBURGH PRESS,400071,1942,H,24,,PA,"HOFFMAN, CARL H.",Republican,1,,,,PRESS ENDORSES HOFFMAN OF SOMERSET TO DEFEAT SNYDER; THE WAY TO DEFEAT SNYDER IS TO VOTE FOR HIS REPUBLICAN OPPONENT,0.95
PA,PITTSBURGH PRESS,400071,1942,H,24,,PA,"SNYDER, J. BUELL",Democrat,0,1,,,PRESS OPPOSES SNYDER FOR RE-ELECTION; HEADLINE WHO IS SNYDER; WROTE LETTER TO POSTMASTERS ENCOURAGING THEM TO VIOLATE HATCH ACT; VOTED AGAINST HATCH LAW IN CONGRESS; MEMBER OF CONGRESS WHO VIOLATES A LAW OF THAT CONGRESS SHOULD BE REPUDIATED; REPRESENTS NEW DISTRICT OF GREENE FAYETTE AND SOMERSET COUNTIES,0.95
PA,PITTSBURGH PRESS,400071,1942,STATE REP,,,PA,"BOYD, JOHN L.",Democrat,1,,,,PRESS ENDORSES BOYD AS DEMOCRATIC CANDIDATE ON RECORD AGAINST DIRTY MILK LEGISLATION; SPRINGDALE; SAME MULTI-MEMBER DISTRICT AS LEYDIC AND FLEMING,0.9
PA,PITTSBURGH PRESS,400071,1942,STATE REP,,,PA,"FLEMING, ROBERT D.",Republican,1,,1,,PRESS ENDORSES FLEMING; LEYDICS RUNNING MATE WHO VOTED AGAINST MOUL-WOODRING DIRTY MILK BILL; ASPINWALL; SAME MULTI-MEMBER DISTRICT AS LEYDIC,0.93
PA,PITTSBURGH PRESS,400071,1942,STATE REP,,,PA,"LEYDIC, KENNETH L.",Republican,0,,1,,PRESS OPPOSES LEYDIC FOR RE-ELECTION; SUPPORTED MOUL-WOODRING DIRTY MILK BILL IN LAST LEGISLATURE; TARENTUM; MULTI-MEMBER DISTRICT WHERE TWO REPRESENTATIVES ELECTED,0.95
