state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
PA,Scranton Times-Tribune,141600,2006,GOVERNOR,,,PA,"RENDELL, ED",Democrat,1,,,,Philadelphia Democrat seeking second and final term; worked effectively with opposition-controlled Legislature; opponent Lynn Swann's campaign disappointing,0.98
PA,Scranton Times-Tribune,141600,2006,H,10,,PA,"CARNEY, CHRIS",Democrat,1,,,,Democratic challenger from Montrose; political science professor at Penn State and Navy Reserve officer; incumbent Sherwood's admitted affair and lawsuit settlement a factor; Carney's positions better suit district,0.97
PA,Scranton Times-Tribune,141600,2006,H,11,,PA,"KANJORSKI, PAUL",Democrat,1,,,,11-term Democratic incumbent from Nanticoke; endorsement with reservations over $8M in defense contracts to nephews' company; Republican Dr. Joseph Leonardi conducted token campaign,0.96
PA,Scranton Times-Tribune,141600,2006,SENATOR,,,PA,"CASEY, BOB",Democrat,1,,,,"Scranton Democrat, state treasurer and former two-term state auditor general; more in tune with Pennsylvanians than incumbent Santorum on Iraq, Social Security, Medicare, health care, minimum wage",0.98
PA,Scranton Times-Tribune,141600,2006,STATE REP,112,,PA,"SMITH, KEN",Democrat,1,,,,Dunmore Democrat who defeated longtime incumbent Fred Belardi in Democratic primary; only other new representative from immediate area,0.90
PA,Scranton Times-Tribune,141600,2006,STATE REP,113,,PA,"SHIMKUS, FRANK ANDREWS",Democrat,1,,,,"Longtime regional news broadcaster, Democrat seeking first office; advantages over Republican Matt Burke include communications skills and commitment to open government",0.96
PA,Scranton Times-Tribune,141600,2006,STATE SENATOR,22,,PA,"MELLOW, ROBERT",Democrat,1,,,,Senate minority leader from Peckville; faces write-in challenge from Frank Scavo; effectiveness likely to increase next term,0.96
PA,Scranton Times-Tribune,141600,2008,ATTORNEY GENERAL,,,PA,"CORBETT, TOM",Republican,1,,,,Endorsed for Attorney General,0.95
PA,Scranton Times-Tribune,141600,2008,AUDITOR,,,PA,"BEILER, CHET",Republican,1,,,,Endorsed for State Auditor General,0.95
PA,Scranton Times-Tribune,141600,2008,H,10,,PA,"CARNEY, CHRIS",Democrat,1,,,,"Democratic incumbent, 10th Congressional District",0.97
PA,Scranton Times-Tribune,141600,2008,H,11,,PA,"BARLETTA, LOU",Republican,1,,,,Republican challenger endorsed for 11th Congressional District,0.97
PA,Scranton Times-Tribune,141600,2008,PRESIDENT,,,PA,"OBAMA, BARACK",Democrat,1,,,,Endorsed for President,0.97
PA,Scranton Times-Tribune,141600,2008,STATE REP,113,,PA,"SHIMKUS, FRANK",Republican,1,,,,Democratic incumbent who won the Republican write-in nomination; endorsed for 113th Legislative District,0.93
PA,Scranton Times-Tribune,141600,2008,TREASURER,,,PA,"MCCORD, ROB",Democrat,1,,,,Endorsed for State Treasurer,0.95
PA,Scranton Times-Tribune,141600,2010,GOVERNOR,,,PA,"ONORATO, DAN",Democrat,1,,,,"Allegheny County chief executive; better suited than Republican AG Tom Corbett, whose opposition to natural gas extraction tax favors industry",0.97
PA,Scranton Times-Tribune,141600,2010,SENATOR,,,PA,"SESTAK, JOE",Democrat,1,,,,Beat Specter in spring primary; favors regulatory reform of financial industry and health care; endorsed over Republican Pat Toomey,0.97
PA,Scranton Times-Tribune,141600,2010,STATE REP,113,,PA,"MURPHY, KEVIN",Democrat,1,,,,First-term Democratic incumbent endorsed over Republican challenger Mike LaPolla,0.95
