state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
PA,Scranton Times,141601,1950,GOVERNOR,,,PA,"DILWORTH, RICHARDSON",Democrat,1,,,,Endorsed over Republican John S. Fine,0.85
PA,Scranton Times,141601,1950,H,10,,PA,"O'NEILL, HARRY P",Democrat,1,,,,US House from Lackawanna,0.80
PA,Scranton Times,141601,1950,H,11,,PA,"FLOOD, DANIEL J",Democrat,1,,,,Should be re-elected; Luzerne County congressman,0.90
PA,Scranton Times,141601,1950,H,15,,PA,"WALTER, FRANCIS E",Democrat,1,,,,"Tad Walter of Easton, congressional district adjoining Monroe",0.80
PA,Scranton Times,141601,1950,LT GOVERNOR,,,PA,"MUSMANNO, MICHAEL A",Democrat,1,,,,Endorsed over Lloyd Wood,0.80
PA,Scranton Times,141601,1950,SEC OF STATE,,,PA,"RUTH, FRANK W",Democrat,1,,,,Secretary of Internal Affairs,0.75
PA,Scranton Times,141601,1950,SENATOR,,,PA,"MYERS, FRANCIS J",Democrat,1,,,,"US Senate, endorsed over James H. Duff",0.85
PA,Scranton Times,141601,1950,STATE REP,1,,PA,"NEEDHAM, MICHAEL J",Democrat,1,,,,Lackawanna County 1st District state House,0.75
PA,Scranton Times,141601,1950,STATE REP,2,,PA,"PRICE, ROBERT A",Democrat,1,,,,Lackawanna County 2nd District state House,0.75
PA,Scranton Times,141601,1950,STATE REP,3,,PA,"REIDENBACH, WILLIAM J",Democrat,1,,,,Lackawanna County 3rd District state House,0.70
PA,Scranton Times,141601,1950,STATE REP,4,,PA,"WARGO, JOSEPH O",Democrat,1,,,,Lackawanna County 4th District state House,0.75
PA,Scranton Times,141601,1950,STATE REP,5,,PA,"MUNLEY, MARION L",Democrat,1,,,,Lackawanna County 5th District state House,0.80
PA,Scranton Times,141601,1950,STATE REP,6,,PA,"KEARNEY, EMMETT",Democrat,1,,,,Lackawanna County 6th District state House [Name corrected from HANRAHAN per QA],0.75
PA,Scranton Times,141601,1950,SUPREME COURT,,,PA,"EAGEN, MICHAEL J",Democrat,1,,,,Endorsed for PA Supreme Court,0.85
PA,Scranton Times,141601,1952,H,10,,PA,"O'NEILL, HARRY P",Democrat,1,,,,Endorsed for Congress in 10th District,0.90
PA,Scranton Times,141601,1952,PRESIDENT,,,PA,"STEVENSON, ADLAI E",Democrat,1,,,,Times supported Gov. Stevenson for president,0.90
PA,Scranton Times,141601,1952,SENATOR,,,PA,"BARD, GUY K",Democrat,1,,,,Endorsed for US Senator,0.85
PA,Scranton Times,141601,1954,H,10,,PA,"CARRIGG, JOSEPH L",Republican,,,,,Mentioned only,0.70
PA,Scranton Times,141601,1954,H,10,,PA,"JONES, ROBERT H",Democrat,,,,,Mentioned as Democratic candidate for Congress vs Joseph L. Carrigg; close race,0.70
PA,Scranton Times,141601,1954,STATE SENATOR,,,PA,"MCMENAMIN, HUGH J",Democrat,,,,,Expected to be returned as senator from Lackawanna,0.60
PA,Scranton Times,141601,1956,H,10,,PA,"JONES, ROBERT H",Democrat,1,,,,Endorsed for Congress in 10th District (Lackawanna),0.70
PA,Scranton Times,141601,1956,H,11,,PA,"FLOOD, DANIEL J",Democrat,1,,,,Congress 11th District,0.65
PA,Scranton Times,141601,1956,PRESIDENT,,,PA,"STEVENSON, ADLAI E",Democrat,1,,,,Editorial titled 'MAKE IT ADLAI!' - endorsed for President over Eisenhower,0.95
PA,Scranton Times,141601,1956,VICE PRESIDENT,,,PA,"KEFAUVER, ESTES",Democrat,1,,,,Stevenson's running mate,0.85
PA,Scranton Times,141601,1958,GOVERNOR,,,PA,"LAWRENCE, DAVID L",Democrat,1,,,,Slate: Vote For All Of Them,0.95
PA,Scranton Times,141601,1958,H,10,,PA,"CARRIGG, JOSEPH L",Republican,0,,1,,Times opposed - did not support; Republican incumbent,0.60
PA,Scranton Times,141601,1958,LT GOVERNOR,,,PA,"DAVIS, JOHN MORGAN",Democrat,1,,,,Slate endorsement,0.95
PA,Scranton Times,141601,1958,SEC OF STATE,,,PA,"BLATT, GENEVIEVE",Democrat,1,,,,Secretary of Internal Affairs,0.90
PA,Scranton Times,141601,1958,SENATOR,,,PA,"LEADER, GEORGE M",Democrat,1,,,,US Senator slate endorsement,0.95
PA,Scranton Times,141601,1958,STATE REP,1,,PA,"FRIEDENBACH, WILLIAM J",Democrat,1,,,,Lackawanna County 1st District,0.80
PA,Scranton Times,141601,1958,STATE REP,2,,PA,"NEEDHAM, MICHAEL J",Democrat,1,,,,Lackawanna County 2nd District,0.80
PA,Scranton Times,141601,1958,STATE REP,3,,PA,"WARGO, JOSEPH O",Democrat,1,,,,Lackawanna County 3rd District,0.80
PA,Scranton Times,141601,1958,STATE REP,4,,PA,"MUNLEY, MARION L",Democrat,1,,,,Lackawanna County 4th District,0.80
PA,Scranton Times,141601,1958,STATE REP,5,,PA,"LAUBERT, JOHN",Democrat,1,,,,Lackawanna County 5th District (name uncertain),0.60
PA,Scranton Times,141601,1958,SUPREME COURT,,,PA,"BOK, CURTIS",Democrat,1,,,,PA Supreme Court Justice,0.95
PA,Scranton Times,141601,1960,AUDITOR,,,PA,"MINEHART, THOMAS Z",Democrat,1,,,,Democratic candidate for auditor general; 32-year-old Montgomery County attorney,0.90
PA,Scranton Times,141601,1960,COURT OF APPEALS,,,PA,"FLOOD, GERALD F",Democrat,1,,,,Superior Court judge candidate; serving his third term on Philadelphia court,0.85
PA,Scranton Times,141601,1960,H,10,,PA,"PROKOP, STANLEY A",Democrat,1,,1,,"Urge every Kennedy follower to vote for Congressman Prokop, consistent supporter of programs advocated by Democratic nominee for president",0.85
PA,Scranton Times,141601,1960,PRESIDENT,,,PA,"KENNEDY, JOHN F",Democrat,1,,,,Editorial endorses Kennedy for president; from very outset of campaign Times took standpoint,0.95
PA,Scranton Times,141601,1960,TREASURER,,,PA,"SLOAN, GRACE M",Democrat,1,,,,Democratic candidate for state treasurer; Clarion native; first woman nominated for state office by either party,0.90
PA,Scranton Times,141601,1960,VICE PRESIDENT,,,PA,"JOHNSON, LYNDON B",Democrat,1,,,,Vote for Senator Kennedy and his running mate,0.85
PA,Scranton Times,141601,1962,GOVERNOR,,,PA,"DILWORTH, RICHARDSON",Democrat,1,,,,Endorsed for governor over Republican William Scranton; outstanding record as Philadelphia mayor,0.95
PA,Scranton Times,141601,1962,GOVERNOR,,,PA,"SCRANTON, WILLIAM",Republican,0,,,,Republican gubernatorial opponent of Dilworth; opposed by Times,0.85
PA,Scranton Times,141601,1962,H,10,,PA,"GRESHEN, WILLIAM",Democrat,1,,,,Democratic candidate for Congress (name uncertain - possibly Goshen),0.50
PA,Scranton Times,141601,1962,LT GOVERNOR,,,PA,"MCCANN, STEPHEN",Democrat,1,,,,Endorsed for Lieutenant Governor,0.70
PA,Scranton Times,141601,1962,SEC OF STATE,,,PA,"BLATT, GENEVIEVE",Democrat,1,1,,,Seeking re-election as Secretary of Internal Affairs,0.85
PA,Scranton Times,141601,1962,SENATOR,,,PA,"CLARK, JOSEPH",Democrat,1,1,,,Endorsed for re-election to US Senate,0.90
PA,Scranton Times,141601,1962,STATE REP,1,,PA,"MORAN, CYRIL J",Democrat,1,,,,Lackawanna County 1st District,0.80
PA,Scranton Times,141601,1962,STATE REP,2,,PA,"NEEDHAM, MICHAEL J",Democrat,1,,,,Lackawanna County 2nd District,0.85
PA,Scranton Times,141601,1962,STATE REP,3,,PA,"WARGO, JOSEPH O",Democrat,1,,,,Lackawanna County 3rd District,0.85
PA,Scranton Times,141601,1962,STATE REP,4,,PA,"MUNLEY, MARION L",Democrat,1,,,,Lackawanna County 4th District,0.85
PA,Scranton Times,141601,1962,STATE REP,5,,PA,"EDES, WILLIAM",Democrat,1,,,,Lackawanna County 5th District (name uncertain),0.60
PA,Scranton Times,141601,1962,STATE SENATOR,,,PA,"CASEY, ROBERT P",Democrat,1,,,,Endorsed for State Senator,0.85
PA,Scranton Times,141601,1962,SUPREME COURT,,,PA,"KEIM, STEPHEN",Democrat,1,,,,Supreme Court Justice (name uncertain),0.55
PA,Scranton Times,141601,1966,COURT OF APPEALS,,,PA,"PALMER, CLINTON BUDD",Democrat,1,,,,PA Superior Court,0.85
PA,Scranton Times,141601,1966,COURT OF APPEALS,,,PA,"STOUT, JUANITA KIDD",Democrat,1,,,,PA Superior Court,0.85
PA,Scranton Times,141601,1966,GOVERNOR,,,PA,"SHAPP, MILTON J",Democrat,1,,,,Democratic gubernatorial candidate; Times endorsed his candidacy for progressive PA program,0.95
PA,Scranton Times,141601,1966,H,10,,PA,"TRAMA, NEIL",Democrat,1,,,,"Scranton City Councilman, candidate for congressman 10th District",0.90
PA,Scranton Times,141601,1966,LT GOVERNOR,,,PA,"STAISEY, LEONARD C",Democrat,1,,,,State Sen. for Lieutenant Governor,0.90
PA,Scranton Times,141601,1966,SEC OF STATE,,,PA,"BLATT, GENEVIEVE",Democrat,1,1,,,Re-election as secretary of internal affairs,0.90
PA,Scranton Times,141601,1966,STATE REP,,,PA,"MORAN, CYRIL J",Democrat,1,1,,,Re-election to State House (Lackawanna),0.90
PA,Scranton Times,141601,1966,STATE REP,,,PA,"NEEDHAM, MICHAEL J",Democrat,1,1,,,Re-election to State House (Lackawanna),0.90
PA,Scranton Times,141601,1966,STATE REP,,,PA,"WANSACZ, JOHN",Democrat,1,1,,,Re-election to State House (Lackawanna),0.90
PA,Scranton Times,141601,1966,STATE REP,,,PA,"WARGO, JOSEPH G",Democrat,1,1,,,Re-election to State House (Lackawanna),0.90
PA,Scranton Times,141601,1966,STATE SENATOR,,,PA,"HAGGERTY, JAMES J",Democrat,1,,,,Attorney; State senator candidate,0.85
PA,Scranton Times,141601,1968,AUDITOR,,,PA,"CASEY, ROBERT P",Democrat,1,,,,Auditor general; native son of Lackawanna County recognized for unblemished record vs Republican Werner Depuy in conflict of interest,0.95
PA,Scranton Times,141601,1968,COURT OF APPEALS,,,PA,"CERCONE, WILLIAM F",Democrat,1,,,,Superior Court judge,0.95
PA,Scranton Times,141601,1968,H,10,,PA,"MCDADE, JOSEPH M",Republican,1,,1,,Endorsed for Congress; Republican incumbent (Times endorsed across party lines),0.85
PA,Scranton Times,141601,1968,PRESIDENT,,,PA,"HUMPHREY, HUBERT H",Democrat,1,,,,Slate endorsement: Vote for These Candidates,0.95
PA,Scranton Times,141601,1968,SENATOR,,,PA,"CLARK, JOSEPH S",Democrat,1,1,,,US Senator slate endorsement,0.95
PA,Scranton Times,141601,1968,STATE REP,112,,PA,"CROWLEY, PAUL F",Democrat,1,,,,112th District (Lackawanna),0.95
PA,Scranton Times,141601,1968,STATE REP,113,,PA,"NEEDHAM, MICHAEL J",Democrat,1,1,,,113th District (Lackawanna),0.95
PA,Scranton Times,141601,1968,STATE REP,114,,PA,"WANSACZ, JOHN",Democrat,1,1,,,114th District (Lackawanna),0.95
PA,Scranton Times,141601,1968,STATE REP,115,,PA,"WARGO, JOSEPH G",Democrat,1,1,,,115th District (Lackawanna),0.95
PA,Scranton Times,141601,1968,TREASURER,,,PA,"SLOAN, GRACE M",Democrat,1,,,,State Treasurer,0.95
PA,Scranton Times,141601,1968,VICE PRESIDENT,,,PA,"MUSKIE, EDMUND S",Democrat,1,,,,Slate endorsement,0.95
PA,Scranton Times,141601,1970,GOVERNOR,,,PA,"BRODERICK, RAYMOND J",Republican,1,,,,Lt. Gov. Raymond J. Broderick for Governor (Republican),0.90
PA,Scranton Times,141601,1970,GOVERNOR,,,PA,"SHAPP, MILTON J",Democrat,0,,,,Times opposed Shapp - high primary spending and only ~30 percent vote raises questions,0.70
PA,Scranton Times,141601,1970,H,10,,PA,"MCDADE, JOSEPH M",Republican,1,,1,,Cong. Joseph M. McDade endorsed for re-election in 10th Congressional District; powerful advocates for Pennsylvania,0.95
PA,Scranton Times,141601,1970,LT GOVERNOR,,,PA,"SCALERA, RALPH",Republican,1,,,,Judge Ralph Scalera for Lt. Governor (name uncertain),0.60
PA,Scranton Times,141601,1970,PROTHONOTARY,,,PA,"MELLOW, ROBERT",Democrat,1,,,,Lackawanna County Prothonotary; Democratic county candidate,0.85
PA,Scranton Times,141601,1970,SENATOR,,,PA,"SCOTT, HUGH",Republican,1,,1,,US Senator Hugh Scott endorsed for re-election (Republican),0.90
PA,Scranton Times,141601,1970,STATE REP,110,,PA,"DIPPRE, ROBERT",Republican,1,,,,110th District state rep,0.70
