state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
PA,Scranton Times,141601,1956,PA,AMENDMENT,,Amendment to PA Constitution to delete requirement that stock and indebtedness of private corporations may not be increased without stockholders' consent obtained at a meeting held after 60 days' notice. Designed to permit PA corporations to better their competitive position with out-of-state corporations.,1,Times urges approval; backed unanimously by both parties in legislature,0.95
PA,Scranton Times,141601,1972,PA,AMENDMENT,,Constitutional amendment to permit state government to provide direct grants and tax breaks to flood victims (Tropical Storm Agnes June 1972 and Sept 1971 Chester area floods) - lift the constitutional restriction on direct aid to individuals and businesses for disaster relief,1,Editorial: 'A Yes Vote Needed To Help Flood Victims' - urges YES on only constitutional question on Nov 7 ballot,0.98
PA,Scranton Times,141601,1974,PA,CHARTER,,Lackawanna County Home Rule Charter (adoption recommended by Government Study Commission),1,Endorsed YES on adoption,0.95
PA,Scranton Times,141601,1982,PA,BOND/TAX,,Lackawanna County library system funding,1,YES vote urged - who could be against libraries,0.90
PA,Scranton Times,141601,1982,PA,BOND/TAX,,Authorize transfer of $50 million remaining in nursing home fund to loans for improving safety standards of personal care boarding homes,1,YES vote supported on referendum question,0.95
PA,Scranton Times,141601,1982,PA,BOND/TAX,,Lackawanna County library tax mandate (mill property tax for libraries),1,YES vote urged,0.85
PA,Scranton Times,141601,1982,PA,LOCAL,,Personal care homes (Lackawanna County),1,YES vote favored,0.90
PA,Scranton Times,141601,1982,PA,LOCAL,,Clarks Summit and Clarks Green community merger,1,Favor merger as means of reducing costs of local government,0.90
PA,Scranton Times,141601,1990,PA,BOND/TAX,,"State low-interest loans to counties to repair, expand or build new county prisons",1,YES vote recommended,0.95
PA,Scranton Times,141601,1990,PA,BOND/TAX,,Low-interest state loans to volunteer fire companies to build or repair firehouses or purchase fire-fighting/rescue vehicles,1,YES vote recommended,0.95
PA,Scranton Times,141601,1998,PA,CONSTITUTIONAL AMENDMENT,1,Bail referendum - expand judges' ability to deny bail in potential death-penalty cases (would allow judges to deny bail in murder cases punishable by life imprisonment when prosecution shows defendant is a danger to the community),1,Endorsed YES - sensible enhancement of judicial power that could help fight crime.,0.95
PA,Scranton Times,141601,1998,PA,CONSTITUTIONAL AMENDMENT,1,Shall the Pennsylvania Constitution be amended to disallow bail when the proof is evident or presumption great that the accused committed an offense for which the maximum penalty is life imprisonment or that no condition or combination of conditions other than the imprisonment of the accused will reasonably assure the safety of any person and the community?,1,Recap: Recommend YES vote.,0.97
PA,Scranton Times,141601,1998,PA,CONSTITUTIONAL AMENDMENT,2,Jury trial referendum - give prosecutors veto power when defendants decide to waive their constitutional right to a jury trial,0,Endorsed NO - needless and dangerous expansion of prosecutors' power.,0.95
PA,Scranton Times,141601,1998,PA,CONSTITUTIONAL AMENDMENT,2,Shall the Pennsylvania Constitution be amended to provide that the Commonwealth shall have the same right to trial by jury in criminal cases as does the accused?,0,Recap: Recommend NO vote.,0.97
PA,Scranton Times,141601,2002,PA,LOCAL REFERENDUM,,Recovery Referendum: Should the City of Scranton Adopt the Financial Recovery Plan set forth in Ordinance No. 33 of 2002 as proposed by Mayor Christopher A. Doherty and approved by Scranton City Council?,1,Recommended YES on Scranton Recovery Referendum.,0.95
