state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
PA,Scranton Tribune,141602,1950,GOVERNOR,,,PA,"FINE, JOHN S.",Republican,1,,,,Governor of Pennsylvania,0.95
PA,Scranton Tribune,141602,1950,H,,,PA,"DONLAN, FRASER P.",Republican,1,,,,Congress,0.90
PA,Scranton Tribune,141602,1950,JUDGE,,,PA,"GUNTHER, BLAIR F.",Republican,1,,,,Superior Court,0.90
PA,Scranton Tribune,141602,1950,LT GOVERNOR,,,PA,"WOOD, LLOYD H.",Republican,1,,,,Lieutenant Governor,0.95
PA,Scranton Tribune,141602,1950,SEC OF STATE,,,PA,"LIVENGOOD, WILLIAM S., JR.",Republican,1,,,,Secretary of Internal Affairs,0.85
PA,Scranton Tribune,141602,1950,SENATOR,,,PA,"DUFF, JAMES H.",Republican,1,,,,U.S. Senate,0.95
PA,Scranton Tribune,141602,1950,STATE REP,1,,PA,"MANZO, CARL",Republican,1,,,,"First District (PA General Assembly, Lackawanna)",0.90
PA,Scranton Tribune,141602,1950,STATE REP,2,,PA,"LEWIS, HARRY A.",Republican,1,,,,Second District,0.90
PA,Scranton Tribune,141602,1950,STATE REP,3,,PA,"CORDIER, ROBERT J.",Republican,1,,,,Third District,0.90
PA,Scranton Tribune,141602,1950,STATE REP,4,,PA,"ROSS, ARTHUR",Republican,1,,,,Fourth District,0.90
PA,Scranton Tribune,141602,1950,STATE REP,5,,PA,"BLICKENS, GEORGE L.",Republican,1,,,,Fifth District,0.90
PA,Scranton Tribune,141602,1950,STATE REP,6,,PA,"SPENCER, HENRY L.",Republican,1,,,,Sixth District,0.90
PA,Scranton Tribune,141602,1950,STATE SENATOR,,,PA,"KONISZEWSKI, JOHN ""JACK""",Republican,1,,,,State Senator,0.90
PA,Scranton Tribune,141602,1950,SUPREME COURT,,,PA,"EAGEN, MICHAEL J.",Republican,1,,,,Supreme Court,0.90
PA,Scranton Tribune,141602,1952,PRESIDENT,,,PA,"EISENHOWER, DWIGHT D.",Republican,1,,,,Vote Eisenhower editorial,0.98
PA,Scranton Tribune,141602,1954,GOVERNOR,,,PA,"WOOD, LLOYD H.",Republican,1,,,,"Lt. Gov, Republican nominee for Governor",0.95
PA,Scranton Tribune,141602,1954,H,10,,PA,"CARRIGG, JOSEPH L.",Republican,1,,1,,10th Congressional District incumbent,0.95
PA,Scranton Tribune,141602,1956,H,10,,PA,"CARRIGG, JOSEPH L.",Republican,1,,1,,10th District Congress incumbent,0.95
PA,Scranton Tribune,141602,1956,PRESIDENT,,,PA,"EISENHOWER, DWIGHT D.",Republican,1,,1,,Seeking reelection,0.95
PA,Scranton Tribune,141602,1956,SENATOR,,,PA,"DUFF, JAMES H.",Republican,1,,1,,U.S. Senate incumbent vs Joseph S. Clark,0.95
PA,Scranton Tribune,141602,1956,STATE REP,1,,PA,"WEIBEL, J. RUSSELL",Republican,1,,,,"First District state legislature, against wage tax",0.90
PA,Scranton Tribune,141602,1956,STATE REP,2,,PA,"PHILLIPS, WILLIAM E.",Republican,1,,,,"Second District state legislature, against wage tax",0.90
PA,Scranton Tribune,141602,1956,STATE REP,3,,PA,"COLLINS, BERT",Republican,1,,,,"Third District state legislature, against wage tax",0.90
PA,Scranton Tribune,141602,1956,STATE REP,4,,PA,"SAVO, CARL",Republican,1,,,,"Fourth District state legislature, against wage tax",0.90
PA,Scranton Tribune,141602,1956,STATE REP,5,,PA,"EDWARDS, WILLIAM",Republican,1,,,,"Fifth District state legislature, against wage tax",0.90
PA,Scranton Tribune,141602,1960,AUDITOR,,,PA,"KENT, ROBERT F.",Republican,1,,,,State Auditor General,0.95
