state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
PA,York Daily Record,142651,1980,STATE REP,92,,PA,"SMITH, BRUCE",Republican,1,,,,"NEWBERRY TWP CHAIRMAN, MASTER'S IN EDUCATION, TEACHES AT CEDAR CLIFF; UNDERSTANDS LOCAL-STATE RELATIONSHIP",0.82,OCR heavily degraded; party inferred from later coverage,,,,pdf,,142651_19801028,
PA,York Daily Record,142651,1980,STATE REP,,,PA,ANDERSON,,1,,,,"INCUMBENT, ACCESSIBLE AND RESPONSIVE TO PUBLIC",0.65,OCR degraded; first name and party not extractable; district uncertain,,,,pdf,,142651_19801028,Low confidence (0.65)
PA,York Daily Record,142651,1980,STATE REP,193,,PA,"DORR, DONALD",Republican,1,,1,,"INCUMBENT, ACCESSIBLE AND RESPONSIVE TO PUBLIC",0.78,OCR degraded; party/district inferred from 1984 endorsement list,,,,pdf,,142651_19801028,
PA,York Daily Record,142651,1980,H,19,,PA,"GOODLING, BILL",Republican,1,,1,,"HIS OWN MAN, NOT A SYCOPHANT; CONSERVATIVE BUT NOT RIGHT-WING; HASN'T KOWTOWED TO SINGLE-ISSUE GROUPS",0.85,OCR degraded but endorsement direction clear,,,,pdf,,142651_19801029,
PA,York Daily Record,142651,1980,ATTORNEY GENERAL,,,PA,"ZIMMERMAN, LEROY",Republican,1,,,,"EMINENTLY QUALIFIED; FORMER DAUPHIN COUNTY DA FOR 15 YEARS; PROSECUTED 50,000 CASES",0.88,,,,,pdf,,142651_19801030,
PA,York Daily Record,142651,1980,ATTORNEY GENERAL,,,PA,"O'PAKE, MICHAEL A.",Democrat,0,,,,RUNNING FOR RE-ELECTION TO STATE SENATE AT SAME TIME; SMACKS OF OPPORTUNISM,0.85,,,,,pdf,,142651_19801030,
PA,York Daily Record,142651,1980,TREASURER,,,PA,"DWYER, R. BUDD",Republican,1,,,,16 YEARS EXPERIENCE IN STATE LEGISLATURE; INTRODUCED SUNSHINE LAW,0.88,,,,,pdf,,142651_19801030,
PA,York Daily Record,142651,1980,TREASURER,,,PA,"CASEY, ROBERT P. JR.",Democrat,0,1,,,INCUMBENT STATE TREASURER; ELECTED IN 1976 ON NAME CONFUSION WITH ANOTHER ROBERT CASEY,0.85,,,,,pdf,,142651_19801030,
PA,York Daily Record,142651,1980,SENATOR,,,PA,"SPECTER, ARLEN",Republican,,,,,NO ENDORSEMENT; DAILY RECORD FEELS SPECTER AND FLAHERTY EQUALLY QUALIFIED,0.9,,,,,pdf,,142651_19801030,Missing endorsed
PA,York Daily Record,142651,1980,SENATOR,,,PA,"FLAHERTY, PETER",Democrat,,,,,NO ENDORSEMENT; DAILY RECORD FEELS SPECTER AND FLAHERTY EQUALLY QUALIFIED,0.9,,,,,pdf,,142651_19801030,Missing endorsed
PA,York Daily Record,142651,1982,GOVERNOR,,,PA,"THORNBURGH, DICK",Republican,1,,1,,"RETURNED HONESTY, INTEGRITY AND STRONG LEADERSHIP; EARNED ANOTHER TERM",0.93,,,,,pdf,,142651_19821027,
PA,York Daily Record,142651,1982,GOVERNOR,,,PA,"ERTEL, ALLEN",Democrat,0,,,,CRITICIZED FOR ATTACKING THORNBURGH OVER REAGANOMICS; NOT FAIR TO BLAME GOVERNOR FOR FEDERAL POLICY,0.85,,,,,pdf,,142651_19821027,
PA,York Daily Record,142651,1982,SENATOR,,,PA,"HEINZ, JOHN",Republican,1,,1,,MODERATE REPUBLICAN WITH REFRESHING INDEPENDENCE; CHAMPIONED INTERNATIONAL TRADE AND AGING ISSUES,0.93,,,,,pdf,,142651_19821027,
PA,York Daily Record,142651,1982,SENATOR,,,PA,"WECHT, CYRIL H.",Democrat,0,,,,ATTACKS HEINZ ONLY FOR BEING REPUBLICAN; IGNORES HEINZ'S RECORD OF INDEPENDENT THOUGHT,0.85,,,,,pdf,,142651_19821027,
PA,York Daily Record,142651,1982,H,19,,PA,"GOODLING, BILL",Republican,1,,1,,MODERATELY CONSERVATIVE REPUBLICAN; INDEPENDENT FROM REAGAN ON MILITARY SPENDING AND EDUCATION; EARNED RE-ELECTION,0.93,,,,,pdf,,142651_19821027,
PA,York Daily Record,142651,1984,STATE REP,92,,PA,"SMITH, BRUCE",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE REP,93,,PA,"FOSTER, A. CARVILLE",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE REP,94,,PA,"SNYDER, GREGORY",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE REP,95,,PA,"BORTNER, MICHAEL",Democrat,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE REP,193,,PA,"DORR, DONALD",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE REP,199,,PA,"BROUJOS, JOHN",Democrat,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,STATE SENATOR,31,,PA,"ROWLAND, JOHN",,1,,,,ENDORSED IN SUMMARY LIST,0.8,Party not stated in clipping,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,ATTORNEY GENERAL,,,PA,"ERTEL, ALLEN",Democrat,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,AUDITOR,,,PA,"SHANAMAN, SUSAN",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,TREASURER,,,PA,"DWYER, R. BUDD",Republican,1,,,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,H,19,,PA,"GOODLING, BILL",Republican,1,,1,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1984,PRESIDENT,,,PA,"REAGAN, RONALD",Republican,1,,1,,ENDORSED IN SUMMARY LIST,0.92,,,,,pdf,,142651_19841105,
PA,York Daily Record,142651,1988,ATTORNEY GENERAL,,,PA,"MEZVINSKY, EDWARD",Democrat,1,,,,MOST INDEPENDENT ATTORNEY GENERAL; PLEDGED A POLITICAL CORRUPTION INVESTIGATIVE UNIT; NO POLITICAL FAVORS TO REPAY,0.9,,,,,pdf,,142651_19881031,
PA,York Daily Record,142651,1988,ATTORNEY GENERAL,,,PA,"PREATE, ERNIE",Republican,0,,,,HAS THE RESUME AND TRIAL EXPERIENCE BUT WOULDN'T FERRET OUT CORRUPTION WITH MEZVINSKY'S ZEAL,0.85,,,,,pdf,,142651_19881031,
PA,York Daily Record,142651,1988,STATE REP,199,,PA,"BROUJOS, JOHN",Democrat,1,1,,,OPPOSED HOUSE POWER STRUCTURE ON ILLEGAL PAY RAISE; LED ACID RAIN EFFORTS; DESERVES VICTORY ON RECORD AND ENERGY,0.92,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE REP,199,,PA,KOLLER,Republican,0,,,,CAMPAIGN FELL BACK ON WORN GOP STRATEGIES; PAINTED OPPONENT AS BIG-CITY DEMOCRAT STOOGE,0.8,First name not given in OCR,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE REP,93,,PA,"FOSTER, A. CARVILLE",Republican,1,,1,,INCUMBENT REPUBLICAN; A VOTE FOR FOSTER,0.85,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE REP,93,,PA,"LIPPY, LORETTA",Democrat,0,,,,DEMOCRATIC CHALLENGER,0.78,Mention only; opposition implied,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE REP,95,,PA,"BORTNER, MICHAEL",Democrat,1,1,,,"SMART, ENERGETIC; HAS PROVEN HIMSELF WORTHY OF ANOTHER TERM",0.92,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE REP,95,,PA,"SIPE, SHIRLEY",Republican,0,,,,ALL BUT INVISIBLE THROUGHOUT CAMPAIGN,0.82,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE SENATOR,31,,PA,"ALEXANDER, ED",Democrat,1,,,,"TAKE A CHANCE ON ALEXANDER; REASONABLY INTELLIGENT, ARTICULATE AND POLITE",0.85,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,STATE SENATOR,31,,PA,"HOPPER, JOHN",Republican,0,,1,,THREE-TERM INCUMBENT; HAS YET TO DEMONSTRATE FUNDAMENTAL KNOWLEDGE OF BASIC ISSUES,0.88,,,,,pdf,,142651_19881101,
PA,York Daily Record,142651,1988,TREASURER,,,PA,ENGLISH,Republican,1,,,,HAS MEANINGFUL FINANCIAL EXPERIENCE; THE BETTER CHOICE,0.78,OCR degraded; first name not extracted; party inferred (English was R nominee),,,,pdf,,142651_19881102,
PA,York Daily Record,142651,1988,TREASURER,,,PA,"KNOLL, CATHERINE BAKER",Democrat,0,,,,FORMER SHAPP ADMINISTRATION APPOINTEE; HAS NO MEANINGFUL FINANCIAL EXPERIENCE; MAINTAINED PA PATRONAGE TIES,0.88,,,,,pdf,,142651_19881102,
PA,York Daily Record,142651,1988,AUDITOR,,,PA,"HAFER, BARBARA",Republican,1,,,,PLEDGED TO CLEAN HOUSE AND RUN DEPARTMENT EFFICIENTLY; A BULLDOG ON THE INCUMBENT'S TAIL,0.9,,,,,pdf,,142651_19881103,
