state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
PA,York Dispatch,142700,1992,STATE SENATOR,13,,PA,"ARMSTRONG, GIBSON E.",Republican,1,,1,,"Endorsed despite differences over per diem; raised millions for state, opposes power line, and has experience.",0.92,,,,,pdf,,142700_19921019,
PA,York Dispatch,142700,1992,STATE SENATOR,13,,PA,"PETITTO, JOANNE",Democrat,0,,,,Caring person but seriously lacks comprehensive knowledge of issues.,0.9,,,,,pdf,,142700_19921019,
PA,York Dispatch,142700,1992,STATE SENATOR,31,,PA,"MOWERY, HAL",Republican,1,,,,Best choice; has experience to adapt quickly to the job; will push for tax reform.,0.92,,,,,pdf,,142700_19921020,
PA,York Dispatch,142700,1992,STATE SENATOR,31,,PA,"FOWLER, ROBERT H.",Democrat,0,,,,Successful businessman but lacks clear ideas on critical issues; pales beside Mowery.,0.9,,,,,pdf,,142700_19921020,
PA,York Dispatch,142700,1992,STATE REP,199,,PA,"JARVIS, GRACE",Democrat,1,,,,Wholeheartedly endorsed; offers a clearer view on issues; opposes power line and abortion-restriction law.,0.92,,,,,pdf,,142700_19921021,
PA,York Dispatch,142700,1992,STATE REP,199,,PA,"MASLAND, ALBERT",Republican,0,,,,Has experience but Jarvis offers clearer view on issues.,0.9,,,,,pdf,,142700_19921021,
PA,York Dispatch,142700,1992,STATE REP,193,,PA,"NICKOL, STEVEN",Republican,1,,1,,Background in government and grasp on critical issues; best choice for another term.,0.92,,,,,pdf,,142700_19921022,
PA,York Dispatch,142700,1992,STATE REP,193,,PA,"LAU, WAYNE",Democrat,0,,,,Problems facing Pennsylvania too serious to turn over to one as inexperienced as Lau.,0.9,,,,,pdf,,142700_19921022,
PA,York Dispatch,142700,1992,STATE REP,95,,PA,"STETLER, STEPHEN H.",Democrat,1,1,,,Earned re-election; has better approach to weaning people off welfare; pro-choice.,0.92,,,,,pdf,,142700_19921023,
PA,York Dispatch,142700,1992,STATE REP,95,,PA,"GREEN, WIN",Republican,0,,,,Offers more extreme welfare tactics; campaign vague on where jobs come from.,0.88,,,,,pdf,,142700_19921023,
PA,York Dispatch,142700,1992,STATE REP,196,,PA,"PLATTS, TODD",Republican,1,,,,Endorsed for new 196th; ran clean issue-oriented campaign; can be trusted to look out for public's best interest.,0.92,,,,,pdf,,142700_19921026,
PA,York Dispatch,142700,1992,STATE REP,196,,PA,"SHAFFER, KEN",Democrat,0,,,,Negative campaign tactics; attacks on Platts silly and without provocation.,0.9,,,,,pdf,,142700_19921026,
PA,York Dispatch,142700,1992,STATE REP,93,,PA,"WAUGH, MICHAEL",Republican,1,,,,Best choice; has good ideas on encouraging business and joins paper in opposing teachers' right to strike.,0.92,,,,,pdf,,142700_19921027,
