state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
SC,Aiken Standard,143060,1952,PRESIDENT,,,SC,"EISENHOWER, DWIGHT",Republican,1,,,,"EDITORIAL ENDORSES EISENHOWER FOR CLEAN, HONEST LEADERSHIP. NOTES PAPER IS NOT JOINING REPUBLICAN RANKS BUT VOTING AS 'SOUTH CAROLINIANS FOR EISENHOWER' - INDEPENDENT POSITION",0.9
SC,Aiken Standard,143060,1974,H,65,,SC,"CAIN, MARSHALL",,1,,,,RECOMMENDED FOR STATE HOUSE DISTRICT 65. DESCRIBED AS HAVING 'FINE CAREER AHEAD IN PUBLIC LIFE' AND GOOD PROFESSIONAL BACKGROUND,0.75
SC,Aiken Standard,143060,1974,H,83,,SC,"COLLINS, CECIL",,1,,,,RECOMMENDED FOR STATE HOUSE DISTRICT 83. DESCRIBED AS WELL QUALIFIED WITH SERVICE IN STATE HOUSE OF REPRESENTATIVES WITH DISTINCTION. MERITS RETURN TO OFFICE.,0.75
SC,Aiken Standard,143060,1974,H,64,,SC,BRANDY,,1,,,,"RECOMMENDED FOR STATE HOUSE DISTRICT 64. DESCRIBED AS PERSONABLE, ALERT, WITH AMBITIOUS RECORD. SHOULD BRING A PLUS FOR THIS AREA.",0.72
SC,Aiken Standard,143060,1976,COUNTY COUNCIL CHAIR,,,SC,"WARNER, CARROLL",,1,,,,RECOMMENDED FOR COUNTY COUNCIL CHAIRMAN. DESCRIBED AS CLEARLY THE BEST CHOICE OVER INCUMBENT VICE CHAIRMAN CHARLES W. PROSSER.,0.85
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,7,,SC,"CULLINS, RALPH",,1,1,,,"INCUMBENT IN DISTRICT 7. RECOMMENDED FOR RETURN TO COUNCIL. DESCRIBED AS HAVING BEEN 'VOICE OF REASON IN STORM-TOSSED COUNCIL'. CONSCIENTIOUS, KNOWLEDGEABLE, FAITHFUL RESPONSES EXPECTED.",0.8
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,5,,SC,POUND,,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 5. DESCRIBED AS HAVING LONGER EXPOSURE TO DISTRICT PROBLEMS THAN OPPONENT LAURIE LIVINGSTON.,0.76
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,6,,SC,"MCGEE, HOMER",,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 6. DESCRIBED AS HAVING WIDE EXPERIENCE WHICH MAY SERVE DISTRICT AND COUNTY WELL. KNOWN ALL OVER AIKEN COUNTY. NOTED POTENTIAL DRAWBACK IS EMPLOYMENT BY COUNTY AT COURTHOUSE.,0.8
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,1,,SC,"RAY, LUCAS",,1,1,,,INCUMBENT BELIEVED TO RETURN TO OFFICE IN DISTRICT 1. HAS LARGELY DEMONSTRATED HIS FITNESS FOR RE-ELECTION.,0.75
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,2,,SC,"PETTIGREW, JAMES",,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 2. DESCRIBED AS HAVING IMPRESSIVE ACCOMPLISHMENTS IN HIS FIELD. BELIEVED TO BE BEST AMONG TWO RELATIVELY NEW CANDIDATES.,0.74
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,3,,SC,"DUNBAR, MELVIN",,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 3. DESCRIBED AS ONE OF BRIGHT HOPES FOR NEW AND EFFECTIVE COUNTY. ELECTION LIKELY WITH NO TROUBLE.,0.85
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,4,,SC,WOODRING,,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 4. DESCRIBED AS HAVING MUCH TO COMMEND HER ELECTION. INTEGRITY EMPHASIZED. GUIDED BY BEST INTERESTS OF CONSTITUENCY YIELDING REASON AND NOT PARTISAN PERSUASIONS.,0.72
SC,Aiken Standard,143060,1976,COUNTY COUNCIL,8,,SC,"GUY, WALTER",,1,,,,RECOMMENDED FOR COUNTY COUNCIL DISTRICT 8. SCHOOL TEACHER. RESERVED BUT CONSCIENTIOUS. SAYS WHAT HE MEANS AND MEANS WHAT HE SAYS. ELECTION SEEN AS ASSET TO AIKEN COUNTY.,0.75
SC,Aiken Standard,143060,1976,SHERIFF,,,SC,"GRANT, PARK",,1,1,,,INCUMBENT SHERIFF RECOMMENDED FOR RE-ELECTION. NAME APPEARS AS 'SHEET PAN D. GRANT' IN OCR - LIKELY ERROR FOR PARK D. GRANT.,0.72
SC,Aiken Standard,143060,1976,SOLICITOR,,,SC,"LANGSTON, SHIRLEY",,1,,,,"RECOMMENDED FOR SOLICITOR. DESCRIBED AS RELIABLE, FAITHFUL, HONEST AND PATRIOTIC. CAN BE RELIED UPON TO SERVE FAITHFULLY.",0.8
